,Reservoir,Site,DateTime,Depth_m,Rep,TP_ugL,TN_ugL,Flag_TP,Flag_TN,NH4_ugL,SRP_ugL,NO3NO2_ugL,Flag_NH4,Flag_SRP,Flag_NO3NO2,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Flag_DC,Flag_DIC,Flag_DOC,Flag_DN,Flag_DateTime
17,BVR,50,2020-05-14 14:00:00,9,1,19,358,0,0,142,3,5,3,3,0,1.1,3.5,4.6,0.23,0,0,0,0,0
18,BVR,50,2020-05-14 14:10:00,11,1,18.7,640,0,0,503,21,3,3,3,0,2,3.8,5.8,0.5,0,0,0,0,0
19,BVR,50,2020-06-04 12:00:00,0.1,1,10.8,152,0,0,10,5,3,3,0,0,3,2.2,5.2,0.15,0,0,0,0,1
20,BVR,50,2020-06-04 12:00:00,3,1,13.2,197,0,0,11,5,3,3,0,0,4,1.4,5.3,0.15,0,0,0,0,1
21,BVR,50,2020-06-04 12:00:00,6,1,20.2,185,0,0,12,3,3,3,3,0,2,2.3,4.3,0.11,0,0,0,0,1
22,BVR,50,2020-06-04 12:00:00,9,1,26.6,834,0,0,623,40,3,3,0,0,4.3,2.4,6.7,0.72,0,0,0,0,1
23,BVR,50,2020-06-04 12:00:00,11,1,31.1,999,0,0,864,46,7,3,0,0,3.4,2.7,6,0.83,0,0,0,0,1
24,BVR,50,2020-06-25 11:33:00,0.1,1,15.4,233,0,0,8,5,3,3,0,0,3.7,2.2,5.9,0.17,0,0,0,0,0
25,BVR,50,2020-06-25 11:46:00,3,1,9.5,167,0,0,1,5,3,3,0,0,2.7,1.9,4.6,0.13,0,0,0,0,0
26,BVR,50,2020-06-25 11:58:00,6,1,15.1,177,0,0,8,4,3,3,0,0,2.5,2.2,4.7,0.13,0,0,0,0,0
27,BVR,50,2020-06-25 12:20:00,9,1,31.2,458,0,0,254,6,3,3,0,0,1.1,3.8,4.9,0.29,0,0,0,0,0
28,BVR,50,2020-06-25 12:34:00,11,1,47.1,1170,0,0,1160,7,5,3,0,0,1.9,4.5,6.4,1.21,0,0,0,0,0
29,BVR,50,2020-07-02 12:00:00,0.1,1,12.1,204,0,0,8,5,3,3,0,0,3,2,5.1,0.14,0,0,0,0,1
30,BVR,50,2020-07-02 12:00:00,3,1,16.6,234,0,0,17,6,3,3,0,0,3.2,1.5,4.7,0.13,0,0,0,0,1
31,BVR,50,2020-07-02 12:00:00,6,1,18.1,211,0,0,12,3,3,3,3,0,1.3,2.7,4.1,0.12,0,0,0,0,1
32,BVR,50,2020-07-02 12:00:00,9,1,27.7,511,0,0,310,6,6,3,0,0,3.7,2.1,5.9,0.41,0,0,0,0,1
33,BVR,50,2020-07-02 12:00:00,11,1,51.4,1020,0,0,1060,31,3,3,0,0,2.1,4.2,6.3,0.94,0,0,0,0,1
34,BVR,50,2020-07-09 12:00:00,0.1,1,11.2,166,0,0,14,3,3,3,3,0,3.1,2,5.1,0.14,0,0,0,0,1
35,BVR,50,2020-07-09 12:00:00,3,1,14.5,186,0,0,14,7,3,3,0,0,3.9,2.3,6.2,0.15,0,0,0,0,1
36,BVR,50,2020-07-09 12:00:00,6,1,15.5,235,0,0,13,5,3,3,0,0,1.9,2.4,4.3,0.11,0,0,0,0,1
37,BVR,50,2020-07-09 12:00:00,9,1,21.6,587,0,0,517,18,6,3,3,0,0.9,4.4,5.3,0.55,0,0,0,0,1
38,BVR,50,2020-07-09 12:00:00,11,1,78.3,1817,0,0,1520,5,3,3,0,0,2.8,4.2,7,1.36,8,8,8,8,1
