ICPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/13/2026 - 23,0.2,"2,681.50","1,325.50",18.3,"7,622.30",35.7,0.3,0.3,"1,885.80","3,574.70",1.5,0.1,0.1,"18,728.90","3,291.70",2.7,0.4,0.9,7.4,0.9,-0.5,25.2,0.7,0,0,0.1,154.7,0.2,0.1
08/03/2026 - 1,0.4,"2,992.30","1,102.90",7.1,"6,399.30",14.2,0.3,0.1,"1,502.00","2,428.80",0.9,0,0.1,352.1,45.4,0.1,0.1,1.5,5.9,0.1,-0.5,15.6,0.1,0,0,0,15.8,0.1,0.1
08/03/2026 - 2,0.3,"3,010.70","1,094.70",4.7,"6,374.10",1.9,0.5,0.1,"1,524.90","2,385.70",0.8,-0.1,0.1,87.1,9.7,0.1,0.1,1.8,14.9,0,-0.6,15.4,0.1,0,0,0,15.4,0,0
08/03/2026 - 3,0.3,"3,050.70","1,106.70",11,"6,293.70",15.7,0.5,0.2,"1,663.50","2,466.60",1,0,0.1,352.9,44.2,0.2,0.3,3.4,16.5,0.1,-0.6,15.8,0,0,0,0,15.8,0.2,0
08/03/2026 - 5,0.3,"2,875.80","1,231.60",3.3,"7,768.30",60.3,1,0.2,"1,570.60","3,147.50",0.9,0,0.1,"1,708.60",254.3,0.2,0.2,0.7,1.3,0,-0.6,21.2,0,0,0,0,76.1,0,0
08/03/2026 - 7,0.3,"2,938.70","1,167.70",5.3,"6,983.30",20.2,0.8,0.1,"1,521.90","2,733.20",0.8,0,0.1,734.4,399.1,0.4,0.1,1.5,2,0,-0.6,18.2,0,0,0,0,32.3,0.1,0
08/03/2026 - 9,0.3,"2,819.70","1,267.40",4.7,"8,175.80",17.6,1.2,0.2,"1,555.10","3,217.40",0.9,-0.1,0.1,"2,382.40","1,809.80",2.2,0.2,1.1,2.5,0,-0.6,21.7,-0.1,0,0,0,67.6,0,0
08/03/2026 - 11,0.2,"2,781.90","1,237.40",3.3,"7,966.50",15.9,0.9,0,"1,529.80","3,151.50",0.8,-0.1,0.1,"2,278.70","1,830.10",2.2,0.2,1.2,2.6,0,-0.6,21.4,-0.1,0,0,0,67.3,0.1,0
