ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2026 - 1,0.4,"2,733.7","1,070.9",29.9,"7,692.8",8.9,1.0,1.2,"1,481.2","2,389.5",1.6,0.2,0.1,670.7,42.0,0.1,0.1,1.8,0.4,0.2,0.2,14.9,0.3,0.0,0.0,0.0,18.3,0.2,0.1
01/21/2026 - 2,0.3,"2,737.1","1,052.3",17.4,"7,576.1",0.9,2.8,1.6,"2,287.5","2,396.5",1.3,0.1,0.1,373.7,34.6,0.1,0.3,2.1,5.4,0.1,0.2,14.8,0.2,0.0,0.0,0.0,17.6,0.3,0.0
01/21/2026 - 3,0.3,"2,566.0",998.6,23.5,"7,193.6",19.0,2.6,1.1,"1,400.3","2,256.7",1.3,0.2,0.1,664.4,41.1,0.1,0.2,1.8,1.9,0.1,0.1,14.1,0.1,-0.1,0.0,0.0,17.3,0.2,0.0
01/21/2026 - 4,0.4,"2,645.0","1,006.0",20.3,"7,211.2",3.0,6.0,1.1,"1,418.4","2,263.1",1.4,0.1,0.1,349.8,31.8,0.1,0.4,2.2,7.0,0.2,0.1,14.4,0.1,0.0,0.0,0.0,17.3,0.7,0.0
01/21/2026 - 5,0.3,"2,539.8",999.3,26.9,"7,201.7",15.1,1.0,1.1,"1,404.6","2,253.2",1.1,0.2,0.1,675.1,40.8,0.1,0.1,1.7,0.2,0.1,0.1,14.1,0.1,0.0,0.0,0.0,17.5,0.1,0.0
01/21/2026 - 6,0.3,"2,586.8","1,006.8",15.8,"7,232.3",2.9,0.9,1.2,"1,405.5","2,226.6",0.8,0.1,0.1,347.7,31.6,0.1,0.1,1.3,7.5,0.1,0.1,14.2,0.1,0.0,0.0,0.0,16.9,0.1,0.0
01/21/2026 - 7,0.3,"2,553.7",995.6,28.3,"7,212.0",14.5,1.0,1.1,"1,397.0","2,256.2",1.1,0.2,0.1,690.4,42.4,0.1,0.1,1.8,0.2,0.1,0.1,14.2,0.1,0.0,0.0,0.0,17.5,0.2,0.0
01/21/2026 - 8,0.3,"2,594.3","1,007.8",13.6,"7,222.1",2.7,0.9,1.1,"1,413.0","2,246.7",0.7,0.1,0.0,362.0,31.9,0.1,1.2,2.4,3.6,0.1,0.1,14.3,0.0,0.0,0.0,0.0,17.1,0.4,0.0
