ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/2026 - 1,0.3,"2,823.7",980.0,26.1,"6,952.1",22.1,0.1,0.7,"1,402.1","2,221.7",1.3,0.4,0.1,750.5,44.7,0.2,0.2,4.1,8.2,0.2,0.2,13.9,0.1,-0.1,0.0,0.0,18.7,0.3,-0.7
06/29/2026 - 2,0.3,"2,834.4",957.3,20.6,"6,950.8",3.9,0.0,0.7,"1,352.7","2,136.9",1.0,0.4,0.1,498.8,18.1,0.1,0.2,2.1,9.5,0.2,0.2,13.2,0.0,0.0,0.0,0.0,12.3,0.1,-0.7
06/29/2026 - 5,0.2,"2,762.5","1,071.9",22.2,"7,041.6",23.7,0.4,0.6,"1,400.7","2,565.2",-2.0,0.2,0.1,"1,004.5",358.0,0.5,0.3,2.3,5.5,0.2,0.1,16.7,0.0,0.0,0.0,0.0,33.2,0.2,-0.8
06/29/2026 - 6,0.2,"2,778.2","1,084.5",10.8,"7,078.7",0.5,0.3,0.6,"1,394.2","2,576.8",0.8,0.1,0.1,355.2,336.2,0.5,0.2,1.7,7.5,0.2,0.0,16.5,0.0,0.0,0.0,0.0,26.8,0.1,-0.8
06/29/2026 - 7,0.2,"2,709.9","1,134.7",20.7,"7,425.2",18.8,0.5,0.7,"1,426.2","2,815.6",0.9,0.1,0.1,"1,891.9",890.1,1.2,0.3,1.7,6.5,0.2,0.0,19.0,0.0,0.0,0.0,0.0,47.3,0.1,-0.8
06/29/2026 - 8,0.2,"2,679.8","1,136.0",3.0,"7,336.6",-3.6,0.4,0.8,"1,411.4","2,793.9",0.6,0.0,0.1,243.5,871.8,1.1,0.2,0.7,50.7,0.1,0.1,18.9,-0.1,0.0,0.0,0.0,46.7,0.1,-0.8
06/29/2026 - 13,0.2,"2,675.7","1,154.2",4.7,"7,706.5",10.6,0.5,0.7,"1,443.6","2,921.9",0.8,0.1,0.0,"2,151.1","1,184.1",1.7,0.3,1.8,2.7,0.1,0.1,19.3,-0.1,0.0,0.0,0.0,49.6,0.1,-0.9
06/29/2026 - 14,0.2,"2,655.6","1,147.2",2.3,"7,658.1",-3.5,0.6,0.8,"1,433.3","2,874.1",0.6,0.0,0.1,219.3,"1,101.8",1.4,0.3,1.0,49.1,0.1,0.0,19.2,-0.1,0.0,0.0,0.0,47.9,0.1,-0.8
