,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
04/27/2026 - 1,0.3,"2,929.30","1,063.50",17.3,"6,935.20",16.8,1,-0.4,"1,450.40","2,321.70",0.6,0,0.1,179.6,47.9,0.1,0.1,0.3,-2.4,0,-0.4,15.5,0.1,0,0,0,13.7,0,0
04/27/2026 - 2,0.3,"2,993.90","1,067.00",13.9,"7,033.90",1.3,1.4,-0.3,"1,500.70","2,347.80",0.4,0,0.1,39.8,4.2,0,0.2,0.9,5,0,-0.4,15.4,0.1,0,0,0,13.9,0,0
04/27/2026 - 3,0.3,"2,948.40","1,072.10",21.7,"7,017.00",19.4,1.4,-0.4,"1,475.60","2,349.70",0.7,0,0.1,167.9,48.4,0.1,0.2,0.4,-1.9,0,-0.4,15.6,0.1,0,0,0,13.9,0.1,0
04/27/2026 - 4,0.3,"3,038.70","1,093.60",11.9,"7,178.20",1.4,1.4,-0.3,"1,524.80","2,360.10",0.7,0,0.1,36.2,3.9,0,0.2,1.5,4.5,0,-0.3,15.7,0.2,0,0,0,13.4,0.1,0.1
04/27/2026 - 5,0.3,"2,869.50","1,073.70",18.2,"7,100.80",28.3,1.5,-0.4,"1,450.70","2,322.80",0.7,0,0.1,194.5,59.2,0.1,0.2,0.8,-2.1,0,-0.3,15.6,0.2,0,0,0,16.7,0.1,0
04/27/2026 - 6,0.3,"2,894.90","1,070.00",10.3,"7,121.70",2.4,1.6,-0.3,"1,462.60","2,328.00",0.5,-0.1,0.1,24.1,3.9,0,0.2,0.8,2.4,0,-0.4,15.3,0.1,0,0,0,16.1,0,0
04/27/2026 - 7,0.3,"2,868.90","1,093.00",20.5,"7,343.10",29.4,1.5,-0.3,"1,472.70","2,398.70",0.8,0,0.1,262.4,111.4,0.2,0.2,1,-1.9,0,-0.4,15.7,0.1,0,0,0,21.3,0.1,0
04/27/2026 - 8,0.3,"2,893.90","1,081.90",13.7,"7,310.90",0.8,1.3,-0.4,"1,475.30","2,353.70",0.5,-0.1,0.1,22.6,33.6,0.1,0.2,0.7,5.2,0,-0.4,15.7,0.1,0,0,0,19.5,0,0
04/27/2026 - 9,0.2,"2,862.00","1,106.10",26.8,"7,623.40",19.1,1.3,-0.4,"1,465.50","2,467.60",1.2,0,0.1,548.6,305,0.4,0.2,1.1,-1.9,0,-0.4,16.3,0.1,0,0,0,24.6,0.1,0
04/27/2026 - 10,0.2,"2,878.10","1,113.50",14.5,"7,632.30",0.5,1.3,-0.3,"1,495.10","2,486.80",0.5,-0.1,0.1,51.2,205.7,0.2,0.3,1,7.1,0,-0.4,16.3,0.1,0,0,0,22.8,0,0
04/27/2026 - 11,0.2,"2,880.40","1,138.40",27.1,"7,890.80",22.5,1.3,-0.4,"1,503.90","2,550.80",0.8,0,0.1,773.8,461.1,0.6,0.2,1.4,-1.9,0,-0.4,16.9,0.1,0,0,0,28.4,0.1,0
04/27/2026 - 12,0.2,"2,875.30","1,126.90",13.9,"7,716.80",1.2,1.3,-0.4,"1,502.90","2,512.70",0.5,-0.1,0.1,150,317.3,0.3,0.3,1.3,16.4,0,-0.4,16.8,0.1,0,0,0,26.7,0.1,0
04/27/2026 - 13,0.2,"2,824.10","1,128.30",24.6,"7,813.10",21.1,1.2,-0.5,"1,476.70","2,537.50",0.9,0,0.1,825.2,486.1,0.7,0.9,1.7,-1.4,0,-0.4,16.7,0.1,0,0,0,28.8,0.2,0
04/27/2026 - 14,0.3,"2,883.70","1,131.70",10.7,"7,789.90",0,1.3,-0.4,"1,518.00","2,569.70",0.7,-0.1,0.1,68.3,360.3,0.3,0.3,1.2,10.9,0,-0.4,16.9,0.2,0,0,0,27,0,0.1
04/27/2026 - 19,0.1,"2,550.10",947.2,92.9,"6,700.90",7.8,1.8,-0.6,"1,499.30","1,904.90",1.7,0.3,0.1,416.2,101.8,0.2,0.3,0.4,-1.5,0.1,-0.4,13.4,0.2,0,0,0,11.6,0.3,0
04/27/2026 - 20,0.1,"2,531.70",948.3,22.3,"6,656.40",0,2.1,-0.6,"1,496.90","1,916.60",0.5,0.1,0.1,96.9,79.8,0.1,0.3,-0.3,1.7,0.1,-0.4,13.5,0.1,0,0,0,10.7,0.1,0
04/27/2026 - 21,0.1,"2,589.70",974.3,99.5,"6,783.10",10.8,1.8,-0.6,"1,510.10","1,944.50",1.7,0.2,0.1,435.8,120.8,0.2,0.3,0.2,-2.2,0.1,-0.4,13.8,0.1,0,0,0,12.8,0.2,0
04/27/2026 - 22,0.1,"2,613.30",956.1,25.3,"6,660.60",3.1,1.8,-0.5,"1,587.60","1,974.20",0.6,0,0.1,97.3,92.1,0.1,0.4,2.5,8.2,0,-0.4,13.7,0.1,0,0,0,12.8,0.1,0
04/27/2026 - 75,0.1,"2,559.00","1,001.10",98.6,"6,973.60",12.3,2,-0.6,"1,543.60","2,106.70",-0.5,0.2,0.1,507.1,493.4,0.6,0.3,0.1,-1.9,0.1,-0.4,14.8,0.1,0,0,0,22.3,0.2,0
04/27/2026 - 76,0.1,"2,548.80",975.1,22.7,"6,674.20",0.5,1.9,-0.6,"1,554.90","2,020.60",0.5,0,0.1,89.7,301.5,0.3,0.3,0.1,3.1,0,-0.4,14.2,0.1,0,0,0,17.1,0.1,0
04/27/2026 - 77,0.1,"2,555.90","1,010.20",16.4,"6,836.00",-1,1.8,-0.5,"1,591.90","2,178.80",0.4,-0.1,0.2,40.1,859.5,1.2,0.3,-0.4,11,0,-0.4,15.4,0.1,0,0,0,31.3,0,0
