ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/18/2026 - 1,0.5,"2,792.4","1,000.8",27.5,"7,015.9",24.0,1.9,0.5,"1,406.0","2,336.7",1.1,0.1,0.1,340.9,64.6,0.1,0.2,1.6,1.2,0.1,-0.1,14.0,0.1,0.0,0.0,0.1,11.7,0.1,0.1
05/18/2026 - 2,0.4,"2,892.8",940.7,10.1,"7,013.5",5.9,1.1,0.4,"1,487.6","2,176.4",1.0,0.0,0.3,170.0,3.0,0.1,1.3,2.6,5.9,0.1,-0.2,12.9,0.1,0.0,0.0,0.0,9.0,0.1,0.0
05/18/2026 - 5,0.3,"2,725.6","1,025.1",21.8,"7,049.4",22.6,1.7,0.3,"1,377.4","2,393.9",1.0,0.0,0.3,408.3,101.5,0.2,0.2,1.8,1.6,0.1,-0.2,15.0,0.0,0.0,0.0,0.0,17.3,0.1,0.0
05/18/2026 - 6,0.3,"2,843.2","1,038.9",4.9,"7,264.0",3.3,1.5,0.4,"1,413.5","2,367.9",0.8,0.0,0.1,116.3,4.6,0.0,0.2,1.3,12.9,0.1,-0.2,15.0,0.0,0.0,0.0,0.0,16.4,0.1,0.0
05/18/2026 - 7,0.3,"2,691.8","1,091.7",9.9,"7,488.8",13.0,1.6,0.3,"1,411.2","2,596.7",0.9,-0.1,0.1,613.6,523.9,0.5,0.2,2.0,1.2,0.0,-0.3,16.4,0.0,0.0,0.0,0.0,28.7,0.1,0.0
05/18/2026 - 8,0.2,"2,763.9","1,110.7",2.5,"7,624.2",1.4,1.8,0.3,"1,452.7","2,655.2",0.7,-0.1,0.1,86.9,449.9,0.3,0.2,1.3,7.9,0.0,-0.3,16.7,-0.1,0.0,0.0,0.0,27.6,0.1,0.0
05/18/2026 - 13,0.2,"2,762.8","1,094.5",12.7,"7,502.0",17.7,2.3,0.2,"1,436.9","2,621.2",0.9,-0.1,0.1,631.0,524.9,0.5,0.2,2.0,2.0,0.0,-0.3,16.2,-0.1,0.0,0.0,0.0,26.6,0.1,0.0
05/18/2026 - 14,0.2,"2,781.7","1,096.2",4.0,"7,544.5",2.2,1.7,0.2,"1,442.0","2,586.4",0.7,-0.1,0.1,111.1,437.7,0.3,0.3,1.3,8.1,0.0,-0.3,16.2,-0.1,0.0,0.0,0.0,25.5,0.1,0.0
