"Reservoir","Site","DateTime","CastID","Depth_m","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","TotalConc_ugL","YellowSubstances_ugL","Temp_C","Transmission_perc","RFU_370nm","RFU_470nm","RFU_525nm","RFU_570nm","RFU_590nm","RFU_610nm","Flag_GreenAlgae_ugL","Flag_Bluegreens_ugL","Flag_BrownAlgae_ugL","Flag_MixedAlgae_ugL","Flag_YellowSubstances_ugL","Flag_TotalConc_ugL","Flag_Temp_C","Flag_Transmission_perc","Flag_RFU_525nm","Flag_RFU_570nm","Flag_RFU_610nm","Flag_RFU_370nm","Flag_RFU_590nm","Flag_RFU_470nm"
"BVR",50,2023-03-21 17:16:34,5,0.21,7.99,0.57,1.71,0,10.27,0.57,7.67,100,20.57,37.58,11.2,3.33,13.4,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:36,5,0.24,7.5,0.61,2.37,0,10.48,0.57,7.68,100,20.98,38.9,12.52,3.1,14.42,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:39,5,0.27,8.26,0.41,2.28,0,10.95,0.44,7.71,100,20.42,39.83,12.23,3.49,13.57,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:41,5,0.28,8.25,0.7,1.96,0,10.91,0.53,7.74,100,21.04,39.23,12.01,3,14.47,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:44,5,0.34,8.12,0.44,1.49,0.39,10.44,0.54,7.78,100,20.66,38.51,11.76,3.69,14.73,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:46,5,0.39,8.34,0.55,1.9,0,10.78,0.51,7.81,100,20.69,39,11.69,3.26,13.66,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:48,5,0.45,8.77,0.58,1.82,0.01,11.18,0.45,7.87,100,20.66,39.69,11.62,3.46,14.69,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:51,5,0.51,8.52,0.6,2.16,0,11.29,0.49,7.89,100,21.28,40.64,12.41,3.54,14.55,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:53,5,0.59,8.8,0.48,1.95,0.03,11.26,0.43,7.86,100,20.63,40.19,11.86,3.36,14.54,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BVR",50,2023-03-21 17:16:55,5,0.71,8.61,0.58,2.03,0,11.22,0.53,7.77,100,21.56,40.67,12.21,3.62,14.49,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
