"","Year","diff_WVWA","diff_VT"
"1",2013,-0.00579919098110323,NA
"2",2014,-0.0209929156214856,NA
"3",2015,-0.0237707047189249,NA
"4",2016,0.0135783732708142,NA
"5",2017,0.0381677515146984,NA
"6",2018,0.0393015742216476,NA
"7",2019,0.0309948110403881,0.0231122752394706
"8",2020,0.0119638528991632,0.0268149792973992
"9",2021,-0.0176704796712954,-0.0128538401880486
"10",2022,-0.00105729750839794,-0.00283469863316646
