DateTime,Timezone,Staff_Gague_cm,Samples,Current_flow_rate,ISCO_waterlevel,Cummulative_water_volume
8/12/2019 12:00,,12.2,27,0.012,0.122,15936
8/28/2019 12:00,,10,12,0.07,0.98,6650
9/2/2019 12:00,,9.5,5,0.006,0.93,2999
9/11/2019 12:00,,9.9,8,0.05,0.088,4391
9/20/2019 12:00,,8.3,14,0.006,0.96,6146
10/4/2019 12:00,,8,7,0.004,0.08,3099
10/16/2019 12:00,,12,6,,,
10/23/2019 12:00,,9.5,13,0.007,0.102,5768
10/30/2019 12:00,,9,12,0.007,0.1,5363
11/8/2019 12:00,,9,20,0.007,0.098,8674
5/2/2022 16:13,GMT-04,,,0.006,0.093,9116
11/22/2021 12:43,GMT-05,,16,0.006,0.094,1150
9/14/2021 16:16,GMT-04,,14,0.005,0.084,8231
7/21/2021 14:51,GMT-04,,10,0.006,0.094,5977
4/26/2021 15:04,GMT-04,,59,0.038,0.191,34838
4/16/2021 15:35,GMT-04,,236,0.048,0.21,141477
11/9/2020 13:08,GMT-05,,14,0.009,0.11,1
10/5/2020 15:40,GMT-04,,7,0.008,0.103,4135
9/30/2020 13:12,GMT-04,,27,0.05,0.133,15839
9/15/2020 15:04,GMT-04,,21,0.008,0.105,12177
5/9/2022 9:41,GMT-04,,8,0.007,0.102,4680
5/23/2022 15:17,GMT-04,,,0.105,0.286,38397
6/9/2022 15:41,GMT-04,,,0.099,0.281,17538
6/13/2022 14:24,GMT-04,,,0.096,0.277,33647
6/27/2022 12:42,GMT-04,,,0.082,0.261,56933
7/5/2022 10:09,GMT-04,,,0.004,0.082,27764
7/18/2022 9:50,GMT-04,,,0.004,0.084,6900
8/18/2022 12:28,GMT-04,,,0.005,0.09,8225
9/26/2022 13:37,GMT-04,,10,0.004,0.084,5727
10/3/2022 14:07,GMT-04,,12,0.008,0.107,6716
10/24/2022 14:00,GMT-04,,7,0.005,0.091,3660
11/8/2022 14:21,GMT-05,,21,0.006,0.095,12349
11/16/2022 15:29,GMT-05,,26,0.016,0.137,15466
11/28/2022 13:41,GMT-05,,16,0.007,0.102,9369
12/12/2022 10:22,GMT-05,,25,0.011,0.118,14946
