"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"140","BVR","50",2019-05-30,11,"","2020-01-07",666,6.89,6.23,"","",0,0,0,"2019-10-22","2.6","4.2","6.7","0.8","","",0,0,0,0
"141","BVR","100",2019-05-30,0.1,"R1","2019-10-14",21.6,4.75,11.9,"","",0,0,0,"2020-03-23","1.55","3.1","4.65","0.15","","B 30may19 100 s r1",7,7,7,7
"142","BVR","200",2019-05-30,0.1,"R1","2019-10-14",37.5,2.12,18.6,"","",0,0,0,"2019-10-16","2.7","3.3","6","0.2","","",0,0,0,0
"143","FCR","1",2019-05-30,0.1,"R1","2019-10-14",9.24,4.59,56.6,"","",0,0,0,"2020-03-20","1.2","5.3","6.5","0.1","","F30may19 01 5 r1",0,0,0,0
"144","FCR","20",2019-05-30,0.1,"R1","2019-10-14",4.15,2.65,3.31,"","",3,0,3,"2020-03-19","1.9","2.8","4.7","0.1","","F 30may19 20 s r1",7,7,7,7
"145","FCR","30",2019-05-30,0.1,"R1","2019-10-14",3.45,1.24,0,"","",3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","FCR","45",2019-05-30,0.1,"R1","2019-10-14",11.2,2.27,0,"","",0,0,3,"2019-10-16","2.7","3","5.7","0.1","","",0,0,0,0
"147","FCR","50",2019-05-30,0.1,"R1","2019-10-14",13.5,2.39,2.09,"","",0,0,3,"2019-11-05","3.95","2.3","6.25","0.15","","",7,7,7,7
"148","FCR","99",2019-05-30,0.1,"R1","2019-10-14",6.95,5.51,63.8,"","",0,0,0,"2019-11-04","4.1","1.5","5.6","0.2","","",0,0,0,0
"149","FCR","100",2019-05-30,0.1,"R1","2019-10-14",3.1,7.11,63.5,"","",3,0,0,"2019-11-04","3.7","1.4","5.1","0.1","","",0,0,0,0
"150","FCR","101",2019-05-30,0.1,"R1","2019-10-14",6.34,5.22,58.3,"","",0,0,0,"2019-10-16","1.8","3","4.8","0.1","","",0,0,0,0
"151","FCR","102",2019-05-30,0.1,"R1","2019-10-14",4.84,2.23,12.7,"","",0,0,0,"2019-11-01","3.6","1.9","5.5","0.1","","",0,0,0,0
"152","FCR","200",2019-05-30,0.1,"R1","2019-10-14",27.4,5.62,24.8,"","",0,0,0,"2020-03-24","1.6","4","5.6","0.2","","F 30may19 200 s r1",0,0,0,0
"153","FCR","50",2019-06-03,0.1,"","2020-03-18",0.444,6.33,0,"","F 03jun19 s 0.1",3,0,3,"2019-11-05","4.1","3.3","7.3","0.1","sample also run on 11/5/19, average or delete the earlier data?","",0,0,0,0
"154","FCR","50",2019-06-03,3.8,"","2019-10-21",5.98,1.7,0.42,"","",0,3,3,"2019-10-21","2.3","3.3","5.6","0.1","","",0,0,0,0
"155","FCR","50",2019-06-03,5,"","2019-10-07",9.9,4.1,8.2,"","",0,0,0,"2019-11-04","3.8","1.9","5.6","0.1","","",0,0,0,0
"156","FCR","50",2019-06-03,6.2,"","2020-03-18",4.09,3.43,0,"","F 03jun19 s 6.2",3,0,3,"2020-02-20","1.4","2.9","4.4","0.2","","",0,0,0,0
"157","FCR","50",2019-06-03,8,"","2019-10-07",13.56465157,3.142513775,0,"","",0,0,3,"2019-11-04","4.4","1.7","6.1","0.1","","",0,0,0,0
"158","FCR","50",2019-06-03,9,"","2019-10-07",23.8528759,3.260858828,0.032551686,"","",0,0,3,"2019-11-01","4.8","1.6","6.4","0.1","","",0,0,0,0
"159","FCR","100",2019-06-03,0.1,"","2020-03-18",4.83,9.71,72.5,"","F 03jun19 s inf",0,0,0,"2020-02-19","1.1","2.9","4.1","0.2","","",0,0,0,0
"160","FCR","200",2019-06-03,0.1,"","2019-10-07",29.5,5.7,40.6,"","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","FCR","200",2019-06-03,0.1,"","2020-03-18",27.2,9.2,43.8,"","F 03jun19 s wet",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","BVR","50",2019-06-06,0.1,"","2020-03-18",6.48,4.58,0,"","B 06jun19 s 0.1",0,0,3,"2020-02-21","2","2.3","4.3","0.1","","",0,0,0,0
"163","BVR","50",2019-06-06,3,"","2019-10-21",9.16,0.623,0.225,"","",0,3,3,"2019-10-22","2.5","2.6","5.2","0.1","","",0,0,0,0
"164","BVR","50",2019-06-06,6,"","2020-03-18",2.15,6.86,0,"","B 06jun19 s 6",3,0,3,"2020-02-17","1.5","2.2","3.7","0.1","","",0,0,0,0
"165","BVR","50",2019-06-06,9,"","2020-03-18",414,4.53,0,"","B 06jun19 s 9",0,0,3,"2020-02-24","1.9","3.5","5.4","0.5","","",0,0,0,0
"166","BVR","50",2019-06-06,11,"","2020-03-18",883,23.4,0,"","B06jun19 s 11",0,0,3,"2020-02-21","2.9","3.9","6.8","1.1","","",0,0,0,0
"167","FCR","50",2019-06-10,0.1,"","2019-10-07",12.76803613,6.36685721,3.066128698,"","",0,0,3,"2019-11-01","7","1.5","8.5","0.2","","",0,0,0,0
"168","FCR","50",2019-06-10,5,"","2019-10-07",25.3,4.5,3.9,"","",0,0,0,"2020-03-23","2","2.9","4.9","0.2","","F 10jun19 s 5",0,0,0,0
"169","FCR","50",2019-06-10,6.2,"","2019-10-07",38.9,4.7,23.8,"","",0,0,0,"2020-02-19","2.1","3.1","5.2","0.2","","",0,0,0,0
"170","FCR","50",2019-06-10,8,"","2019-10-14",30.7,0.871,3.25,"","",0,3,3,"2020-03-18","1.6","3.2","4.7","0.1","","F 10jun19 t 8",0,0,0,0
"171","FCR","100",2019-06-10,0.1,"","2019-10-07",9.916546278,5.85216829,35.38270019,"","",0,0,0,"2019-11-04","4.05","1.7","5.7","0.15","","",7,7,7,7
"172","FCR","200",2019-06-10,0.1,"","2020-03-18",32.2,8.82,43.9,"","F 10jun19 T wet",0,0,0,"2020-02-19","1.9","4.2","6.1","0.2","","",0,0,0,0
"173","BVR","50",2019-06-13,0.1,"","2020-03-18",3.17,3.3,0,"","B 13jun19 s 0.1",3,0,3,"2020-02-18","1.7","2.4","4.1","0.1","","",0,0,0,0
"174","BVR","50",2019-06-13,3,"","2020-03-18",5.71,2.44,1.57,"","B 13jun19 s 3",0,0,3,"2020-02-27","2.7","1.8","4.5","0.1","","",0,0,0,0
"175","BVR","50",2019-06-13,9,"","2020-03-18",270,2.75,1.13,"","B 13jun19 s 9",0,0,3,"2020-02-18","2","3.2","5.2","0.3","","",0,0,0,0
"176","FCR","50",2019-06-17,0.1,"","2019-10-14",3.56,2.92,2.06,"","",3,0,3,"2019-11-01","4.4","1.9","6.3","0.2","","",0,0,0,0
"177","FCR","50",2019-06-17,3.8,"","2020-03-18",9.68,4.22,0,"","B 17jun19 s 3.8",0,0,3,"2020-02-18","1.5","3","4.6","0.1","","",0,0,0,0
"178","FCR","50",2019-06-17,5,"","2019-10-07",18.04983992,6.017461254,2.229637844,"","",0,0,3,"2020-03-18","1.2","3.2","4.4","0.1","","F 17jun19 s 5",0,0,0,0
"179","FCR","50",2019-06-17,6.2,"","2020-03-18",15.9,0,1.21,"","F 17jun19 s 6.2",0,3,3,"2019-10-22","2","3.9","5.8","0.1","","",0,0,0,0
"180","FCR","50",2019-06-17,8,"","2020-03-18",22.3,2.6,2.24,"","F 17jun19 s 8",0,0,3,"2020-02-25","1","3.3","4.3","0.1","","",0,0,0,0
"181","FCR","50",2019-06-17,9,"","2019-10-21",27.1,1.46,1.34,"","",0,3,3,"2019-10-23","1.7","3.7","5.4","0.1","","",0,0,0,0
"182","FCR","100",2019-06-17,0.1,"","2019-10-07",10.5,6.9,65.4,"","",0,0,0,"2020-03-17","0.25","4.45","4.7","0.1","","F 17jun19 s inf",7,7,7,7
"183","FCR","200",2019-06-17,0.1,"","2019-10-07",30.76247223,8.404832454,51.72182544,"","",0,0,0,"2019-11-01","4.4","2.9","7.3","0.2","","",0,0,0,0
"184","BVR","50",2019-06-20,0.1,"","2020-03-18",7,4.96,1.47,"","B 20jun19 s 0.1",0,0,3,"2019-09-24","3.2","2.4","5.6","0.2","","",0,0,0,0
"185","BVR","50",2019-06-20,3,"","2020-03-18",14,5.55,7.52,"","B 20jun19 s 3",0,0,0,"2020-02-27","3","2.1","5","0.2","","",0,0,0,0
"186","BVR","50",2019-06-20,6,"","2019-10-21",8.75,2.16,1.14,"","",0,0,3,"2019-10-22","2.7","2.8","5.5","0.1","","",0,0,0,0
"187","BVR","50",2019-06-20,9,"","2020-03-18",641,12.3,1.01,"","B 20jun19 s 9",0,0,3,"2020-02-21","2.1","3.2","5.25","0.45","","",7,7,7,7
"188","BVR","50",2019-06-20,11,"","2020-03-18",1180,26.7,1.82,"","B 20jun19 s 11",0,0,3,"2020-02-18","2.2","4.2","6.4","1.2","","",0,0,0,0
"189","BVR","100",2019-06-20,0.1,"R1","2019-10-14",18.4,3.14,11.9,"","",0,0,0,"2019-10-16","1.1","2.5","3.6","0.1","","",0,0,0,0
"190","BVR","200",2019-06-20,0.1,"R1","2019-10-14",43.9,2.32,27.8,"","",0,0,0,"2020-03-19","2","2.8","4.8","0.2","","B 20jun19 b 200 s r1",0,0,0,0
"191","FCR","50",2019-06-20,0.1,"","2019-10-07",16.00124167,5.181904624,6.890190605,"","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","FCR","50",2019-06-24,0.1,"","2020-03-18",4.89,7.79,0,"","F 24jun19 s 0.1",0,0,3,"2020-02-18","2.2","3.1","5.4","0.2","","",0,0,0,0
"193","FCR","50",2019-06-24,6.2,"","2019-10-07",60.23914446,3.15562452,4.001497538,"","",0,0,0,"2020-03-20","1.7","2.95","4.65","0.2","","F 24jun19 s 6.2",7,7,7,7
"194","FCR","50",2019-06-24,8,"","2019-10-07",66.29244911,3.274056659,0.110446423,"","",0,0,3,"2020-03-17","0.8","3.6","4.35","0.1","","F 24jun19 s 8",7,7,7,7
"195","FCR","50",2019-06-24,9,"","2019-10-07",208.8,2.3,6.3,"","",0,0,0,"2020-03-19","1.6","3.9","5.5","0.3","","F 24jun19 s 9",0,0,0,0
"196","FCR","200",2019-06-24,0.1,"","2020-03-18",27.5,8.41,51.7,"","F 24jun19 s wet",0,0,0,"2020-02-19","1.8","4.2","6","0.2","","",0,0,0,0
"197","BVR","1",2019-06-27,0.1,"R1","2019-10-07",6.237309158,9.0203384,3.490621013,"","",0,0,0,"2020-03-19","2.2","2.5","4.7","0.1","","B 27jun19 01 s r1",0,0,0,0
"198","BVR","1",2019-06-27,0.1,"R2","2019-10-07",10.60980365,6.784649216,2.712491841,"","",0,0,3,"2020-03-23","2.1","2.3","4.4","0.1","","B 27jun19 01 s r2",0,0,0,0
"199","BVR","20",2019-06-27,0.1,"R1","2019-10-07",7.237682929,8.476747904,1.839353548,"","",0,0,3,"2019-09-25","2.9","2.7","5.6","0.2","","",0,0,0,0
"200","BVR","20",2019-06-27,0.1,"R2","2019-10-07",5.446197558,7.8121624,2.275901839,"","",0,0,3,"2019-09-25","2.8","2.7","5.5","0.2","","",0,0,0,0
"201","BVR","30",2019-06-27,0.1,"R1","2020-01-07",6.28,4.25,7.99,"","",0,0,0,"2019-09-24","3.2","2.6","5.8","0.2","","",0,0,0,0
"202","BVR","30",2019-06-27,0.1,"R2","2019-10-07",10.02853918,8.295518816,0,"","",0,0,3,"2019-09-24","3.35","2.1","5.35","0.2","","",7,7,7,7
"203","BVR","45",2019-06-27,0.1,"R1","2019-10-07",9.609993768,6.814877584,2.818847005,"","",0,0,3,"2019-09-23","3.4","2.6","6","0.2","","",0,0,0,0
"204","BVR","50",2019-06-27,0.1,"R1","2020-01-07",7.29,5.56,2.04,"","",0,0,3,"2019-09-23","3.3","2.6","6","0.2","","",0,0,0,0
"205","BVR","50",2019-06-27,0.1,"R2","2020-01-07",4.5,4.96,2.02,"","",0,0,3,"2019-09-23","3.3","2.8","6.1","0.2","","",0,0,0,0
"206","BVR","50",2019-06-27,3,"","2019-10-21",3.87,2.78,7.38,"","",3,0,0,"2019-09-24","2.9","2.3","5.1","0.2","","",0,0,0,0
"207","BVR","50",2019-06-27,6,"","2019-10-07",18.1146576,7.0566884,2.852433361,"","",0,0,3,"2019-09-25","3","2.7","5.7","0.2","","",0,0,0,0
"208","BVR","50",2019-06-27,9,"","2019-10-07",507.4555032,8.325724784,4.873666589,"","",0,0,0,"2019-09-25","3.6","4.2","7.7","0.8","","",0,0,0,0
"209","BVR","50",2019-06-27,11,"","2020-01-07",1390,9.25,0.511,"","",0,0,3,"2019-09-24","4.7","4.6","9.3","1.7","","",0,0,0,0
"210","BVR","100",2019-06-27,0.1,"R1","2019-10-07",26.18982338,13.30357414,25.69767176,"","",0,0,0,"2019-09-25","2.3","3.9","6.2","0.2","","",0,0,0,0
"211","BVR","100",2019-06-27,0.1,"R2","2019-10-07",21.15573249,13.0926404,26.87921097,"","",0,0,0,"2019-09-23","1.8","3.9","5.7","0.1","","",0,0,0,0
"212","BVR","200",2019-06-27,0.1,"R1","2019-10-07",47.0230817,6.693961424,38.99331553,"","",0,0,0,"2019-09-23","3.2","3.2","6.4","0.2","","",0,0,0,0
"213","FCR","1",2019-06-27,0.1,"R1","2019-10-07",13.02725714,14.1169701,135.6649139,"","",0,0,0,"2020-03-23","2","5.5","7.5","0.2","","F 27jun19 01 s r1",0,0,0,0
"214","FCR","1",2019-06-27,0.1,"R2","2019-10-07",10.49355527,12.6104237,138.5448285,"","",0,0,0,"2019-09-25","2.2","6.7","8.9","0.2","","",0,0,0,0
"215","FCR","20",2019-06-27,0.1,"R1","2019-10-07",9.842522615,11.8567305,2.376649675,"","",0,0,3,"2019-09-24","3.6","2.7","6.3","0.2","","",0,0,0,0
"216","FCR","30",2019-06-27,0.1,"R1","2019-10-14",4.68,4.21,1.42,"","",0,0,3,"2019-11-04","5.6","1.9","7.5","0.2","","",0,0,0,0
"217","FCR","30",2019-06-27,0.1,"R2","2020-01-07",10.6,11.6,0.744,"","",0,0,3,"2019-09-24","4.3","2.1","6.4","0.3","","",0,0,0,0
"218","FCR","45",2019-06-27,0.1,"R1","2019-10-07",17.90567182,11.0122617,0.462820627,"","",0,0,3,"2019-09-25","3.4","3.8","7.2","0.2","","",0,0,0,0
"219","FCR","45",2019-06-27,0.1,"R2","2019-10-07",21.24856532,10.80108962,0,"","",0,0,3,"2019-09-23","3.7","3.7","7.3","0.2","","",0,0,0,0
"220","FCR","50",2019-06-27,0.1,"R1","2020-01-07",23.9,10.5,2.66,"","",0,0,3,"2019-09-23","3.55","5.25","8.7","0.25","","",7,7,7,7
"221","FCR","50",2019-06-27,5,"","2019-10-07",13.30613114,8.778760544,6.498019125,"","",0,0,0,"2019-09-23","3.5","3.7","7.2","0.2","","",0,0,0,0
"222","FCR","50",2019-06-27,9,"","2019-10-14",129,1.8,4.63,"","",0,3,0,"2019-10-16","1.8","4.3","6.1","0.2","","",0,0,0,0
"223","FCR","99",2019-06-27,0.1,"R1","2019-10-14",12.6,6.83,92.5,"","",0,0,0,"2020-03-23","1.3","2.9","4.2","0.2","","F 27jun19 99 s r1",0,0,0,0
"224","FCR","100",2019-06-27,0.1,"R1","2019-10-14",10.4,8.67,99.5,"","",0,0,0,"2019-10-16","2.9","2.9","5.8","0.3","","",0,0,0,0
"225","FCR","101",2019-06-27,0.1,"R1","2019-10-14",4.33,14.6,144,"changed date from 6/17 to 6/27 bc this site is missing from RCC 6/27 day and we would not have samples it on a normal FCR day","",0,0,0,"2019-11-04","4.1","1.6","5.6","0.2","","",0,0,0,0
"226","FCR","101",2019-06-27,0.1,"R1","2019-10-14",6.76,9.21,88.9,"","",0,0,0,"2019-11-04","4.1","1.6","5.6","0.2","","",0,0,0,0
"227","FCR","102",2019-06-27,0.1,"R1","2019-10-14",11.9,2.79,25.9,"","",0,0,0,"2019-11-04","4.4","1.5","5.9","0.2","","",0,0,0,0
"228","FCR","200",2019-06-27,0.1,"R1","2019-10-14",26.8,5.92,48.3,"","",0,0,0,"2020-03-20","1.65","4","5.7","0.2","","F 27jun19 200 s r1",7,7,7,7
"229","FCR","50",2019-07-01,0.1,"","2020-03-18",9.47,8.08,1.25,"","F 01jul19 s 0.1",0,0,3,"2020-02-25","3.3","3.2","6.5","0.2","","",0,0,0,0
"230","FCR","50",2019-07-01,3.8,"","2019-10-07",9.266476947,7.191474887,0.479164259,"","",0,0,3,"2019-11-04","5","1.8","6.8","0.1","","",0,0,0,0
"231","FCR","50",2019-07-01,5,"","2019-10-07",89.0162312,6.032545944,0.536291933,"","",0,0,3,"2019-11-05","4","2.9","6.8","0.2","not sure why this sample was run twice, need to find the rack map if possible","",0,0,0,0
"232","FCR","50",2019-07-01,6.2,"","2020-03-18",71.2,5.56,2.3,"","F 01jul19 s 6.2",0,0,3,"2020-02-20","1.4","3.5","4.9","0.2","","",0,0,0,0
"233","FCR","50",2019-07-01,8,"","2019-10-07",99.6,4.5,3.9,"","",0,0,0,"2020-03-24","4","4","7","0","sample diluted 2mls to 20 mls, dilution accounted for ","F 01jul19 s 8 DIL 2 to 20 mls",0,0,0,0
"234","FCR","50",2019-07-01,9,"","2019-10-07",421.0728344,3.837103182,3.377899346,"","",0,0,0,"2019-11-05","5.1","3.4","8.5","0.6","","",0,0,0,0
"235","FCR","100",2019-07-01,0.1,"","2020-03-18",6.27,18.5,170,"","F 01jul19 s inf",0,0,0,"2020-02-27","1.8","2.5","4.3","0.2","","",0,0,0,0
"236","BVR","50",2019-07-03,3,"","2020-03-18",5.36,1.53,2.99,"","B 03jul19 s 3",0,3,3,"2019-10-23","2.9","2.5","5.4","0.2","","",0,0,0,0
"237","BVR","50",2019-07-03,6,"","2020-03-18",9.98,2.92,2.29,"","B 03jul19 s 6",0,0,3,"2020-02-20","2","2.4","4.5","0.2","","",0,0,0,0
"238","BVR","50",2019-07-03,9,"","2020-03-18",340,4.7,3.16,"","B 03jul19 s 9",0,0,3,"2020-02-20","1.8","3.5","5.3","0.5","why run twice? Check rack map","",0,0,0,0
"239","BVR","50",2019-07-03,11,"","2019-10-21",139,1.63,0.944,"","",0,3,3,"2019-10-24","2.7","4.7","7.4","1.4","","",0,0,0,0
"240","FCR","50",2019-07-03,3.8,"","2019-10-21",7.95,1.41,3.96,"","",0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","FCR","50",2019-07-08,0.1,"","2019-10-07",9.581031138,6.032545944,0.380490686,"","",0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","FCR","50",2019-07-08,3.8,"","2019-10-07",27.6,6.5,6,"","",0,0,0,"2019-11-01","5.6","1.3","7","0.2","","",0,0,0,0
"243","FCR","50",2019-07-08,5,"","2019-10-21",19.9,0.613,1.57,"","",0,3,3,"2019-10-23","2.5","3.7","6.2","0.2","","",0,0,0,0
"244","FCR","50",2019-07-08,6.2,"","2019-10-07",164.6,4.7,3.8,"","",0,0,0,"2019-11-01","4.7","2.2","6.9","0.3","","",0,0,0,0
"245","FCR","50",2019-07-08,8,"","2019-10-21",171,1.01,3.71,"","",0,3,0,"2019-10-24","1.5","4.6","6.1","0.3","","",0,0,0,0
"246","FCR","100",2019-07-08,0.1,"","2019-10-07",10.10526931,15.34860181,151.7954317,"","",0,0,0,"2020-03-19","0.9","3.1","3.9","0.2","","F 08jul19 s inf",0,0,0,0
"247","FCR","200",2019-07-08,0.1,"","2019-10-21",18.6,4.07,45.6,"","",0,0,0,"2019-10-21","1.9","5.3","7.2","0.1","","",0,0,0,0
"248","BVR","50",2019-07-11,0.1,"","2019-10-21",8.08,2.57,1.24,"","",0,0,3,"2019-10-22","2.8","2.7","5.4","0.1","","",0,0,0,0
"249","BVR","50",2019-07-11,3,"","2019-10-21",10.2,1.11,3.82,"","",0,3,0,"2019-10-24","2.5","2.7","5.3","0.2","","",0,0,0,0
"250","BVR","50",2019-07-11,11,"","2019-10-21",186,2.82,1.34,"","",0,0,3,"2019-10-24","3","5.8","8.8","1.9","","",0,0,0,0
"251","BVR","50",2019-07-11,9,"","2019-10-07",87.55824878,4.042327802,1.98027569,"changed reservoir from FCR to BVR","",0,0,3,"2020-01-09","2.2","3.9","6.1","1","","",0,0,0,0
"252","FCR","50",2019-07-15,3.8,"","2019-10-07",9.5,5.3,2,"","",0,0,3,"2019-11-01","5.4","1.8","7.2","0.2","","",0,0,0,0
"253","FCR","50",2019-07-15,5,"","2019-10-07",22.2,6.4,19.6,"","",0,0,0,"2019-11-05","4.8","2.8","7.6","0.2","","",0,0,0,0
"254","FCR","50",2019-07-15,6.2,"","2019-10-21",106,4.66,3.66,"","",0,0,0,"2019-10-21","2.4","4.5","6.9","0.3","","",0,0,0,0
"255","FCR","50",2019-07-15,8,"","2019-10-14",122,1.37,3.4,"","",0,3,0,"2019-11-05","4.8","2.8","7.6","0.2","","",0,0,0,0
"256","FCR","50",2019-07-15,9,"","2019-10-07",147.3658297,7.268249344,5.88181753,"","",0,0,0,"2019-09-23","2.5","4.5","7","0.3","","",0,0,0,0
"257","FCR","100",2019-07-15,0.1,"","2019-10-14",11,12.9,163,"","",0,0,0,"2019-11-05","3.3","2.5","5.8","0.3","","",0,0,0,0
"258","FCR","200",2019-07-15,0.1,"","2019-10-07",27,10.4,49.6,"","",0,0,0,"2020-03-19","1.9","4.4","6.3","0.2","","F 15jul19 s wet",0,0,0,0
"259","BVR","1",2019-07-18,0.1,"R1","2019-10-14",10.3,0.983,0.601,"","",0,3,3,"2019-10-16","2.7","2.8","5.5","0.1","","",0,0,0,0
"260","BVR","20",2019-07-18,0.1,"R1","2019-10-14",4.9,1.75,1.08,"","",0,3,3,"2020-03-23","2.3","2.5","4.8","0.1","","B 18jul19 20 s r1",0,0,0,0
"261","BVR","30",2019-07-18,0.1,"R1","2019-10-14",7.16,1.15,1.56,"","",0,3,3,"2019-11-05","4.5","1.7","6.3","0.2","","",0,0,0,0
"262","BVR","45",2019-07-18,0.1,"R1","2019-10-14",6.08,1.27,0.808,"","",0,3,3,"2020-03-18","2.1","2.5","4.7","0.1","","B 18jul19 45 s r1",0,0,0,0
"263","BVR","50",2019-07-18,0.1,"R1","2019-10-14",9.83,1.35,0.853,"","",0,3,3,"2019-10-16","2.7","2.9","5.5","0.2","","",0,0,0,0
"264","BVR","50",2019-07-18,0.1,"R1","2020-03-18",1.43,4.38,0.217,"","B 18jul19 50 s r1",3,0,3,"2019-10-16","2.7","2.9","5.5","0.2","","",0,0,0,0
"265","BVR","50",2019-07-18,3,"","2020-03-18",2.46,3.42,0,"","B 18jul19 s 3",3,0,3,"2020-02-24","2.4","2.6","5","0.2","","",0,0,0,0
"266","BVR","50",2019-07-18,6,"R1","2019-10-21",53,4.64,1.62,"","",0,0,3,"2020-03-24","3.075","3.625","5.225","0.3625","sample ran twice, values averages","B 18jul19 s 6 r1",7,7,7,7
"267","BVR","50",2019-07-18,11,"R1","2019-10-21",195,3.47,2.12,"","",0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","BVR","100",2019-07-18,0.1,"R1","2019-10-14",33.3,6.21,23.7,"","",0,0,0,"2019-11-05","4.5","2.6","7.1","0.1","","",0,0,0,0
"269","BVR","200",2019-07-18,0.1,"R1","2020-01-07",56.6,1.27,38.9,"","",0,3,0,"2019-11-04","4.9","2.2","7.1","0.2","","",0,0,0,0
"270","FCR","1",2019-07-18,0.1,"R1","2019-10-14",11.5,5.29,132,"","",0,0,0,"2019-11-04","7.3","5.5","12.8","0.3","","",0,0,0,0
"271","FCR","20",2019-07-18,0.1,"R1","2020-01-07",4.23,9.14,0.524,"","",0,0,3,"2019-10-16","4.8","4.1","8.8","0.2","","",0,0,0,0
"272","FCR","20",2019-07-18,0.1,"R2","2020-01-07",4.9,7.54,0,"","",0,0,3,"2019-09-23","4.6","4.2","8.8","0.2","","",0,0,0,0
"273","FCR","30",2019-07-18,0.1,"R1","2019-10-14",3.42,3.68,2.12,"","",3,0,3,"2020-03-23","3.9","3.4","7.3","0.2","","F 18jul19 30 s r1",0,0,0,0
"274","FCR","45",2019-07-18,0.1,"R1","2019-10-14",6.69,5.07,1.74,"","",0,0,3,"2019-10-16","4.5","3.7","8.2","0.2","","",0,0,0,0
"275","FCR","50",2019-07-18,0.1,"","2019-10-14",17.2,4.98,5.24,"","",0,0,0,"2020-03-23","4.4","3.4","7.8","0.3","","F 18jul19 s 0.1",0,0,0,0
"276","FCR","50",2019-07-18,5,"","2019-10-14",14.8,0.628,3.84,"","",0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","FCR","50",2019-07-18,9,"","2019-10-21",152,2.88,6.19,"","",0,0,0,"2019-09-23","2.8","4.7","7.6","0.3","","",0,0,0,0
"278","FCR","99",2019-07-18,0.1,"R1","2019-10-07",10.95853519,25.2605576,185.4382395,"","",0,0,0,"2019-09-24","2.8","3.4","6.2","0.3","","",0,0,0,0
"279","FCR","99",2019-07-18,0.1,"R2","2020-01-07",5.47,15.7,152,"","",0,0,0,"2019-09-25","1.8","3.9","5.7","0.2","","",0,0,0,0
"280","FCR","100",2019-07-18,0.1,"R1","2019-10-14",6.39,12.6,143,"","",0,0,0,"2019-11-04","4.2","2.1","6.3","0.2","","",0,0,0,0
"281","FCR","200",2019-07-18,0.1,"R1","2020-01-07",21.2,12.6,46,"","",0,0,0,"2020-03-18","2.55","4","6.5","0.15","","F 18jul19 200 s r1",7,7,7,7
"282","FCR","50",2019-07-22,0.1,"","2019-10-14",6.62,9.74,3.92,"","",0,0,0,"2020-03-19","5.5","3.3","8.8","0.5","","F 22jul19 s 0.1",0,0,0,0
"283","FCR","50",2019-07-22,3.8,"","2019-10-21",14.2,1.99,2.78,"","",0,0,3,"2019-10-23","3.8","4.1","7.9","0.2","","",0,0,0,0
"284","FCR","50",2019-07-22,5,"","2019-10-07",66.70980178,4.628539148,1.601060682,"","",0,0,3,"2020-03-20","1.55","4.4","5.95","0.3","","F 22jul19 s 5",7,7,7,7
"285","FCR","50",2019-07-22,6.2,"","2020-03-18",167,3.88,4.85,"","F 22jul19 s 6.2",0,0,0,"2020-02-17","1.3","3.9","5.2","0.3","","",0,0,0,0
"286","FCR","50",2019-07-22,8,"","2020-01-07",299,6.23,9.09,"","",0,0,0,"2019-11-01","4.9","3","8","0.5","","",0,0,0,0
"287","FCR","50",2019-07-22,9,"","2019-10-07",339.9,6.3,13.2,"","",0,0,0,"2019-11-01","4.7","2.5","7.2","0.3","","",0,0,0,0
"288","FCR","100",2019-07-22,0.1,"","2019-10-07",14.2,14.2,152.3,"","",0,0,0,"2019-11-04","3.7","2.2","6","0.2","","",0,0,0,0
"289","FCR","102",2019-07-22,0.1,"R1","2019-10-14",32.6,7.15,117,"","",0,0,0,"2019-11-05","2.7","4","6.7","0.2","","",0,0,0,0
"290","FCR","200",2019-07-22,0.1,"","2019-10-21",38.5,4.15,51,"","",0,0,0,"2019-10-24","3.1","5.2","8.3","0.2","","",0,0,0,0
"291","BVR","50",2019-07-24,0.1,"","2020-03-18",1.01,2.98,1.41,"","B 24jul19 s 0.1",3,0,3,"2020-02-19","2.5","2.7","5.1","0.2","","",0,0,0,0
"292","BVR","50",2019-07-24,3,"","2019-10-21",6.78,2.5,0.654,"","",0,0,3,"2019-10-21","3.1","2.8","6","0.2","","",0,0,0,0
"293","BVR","50",2019-07-24,9,"","2020-03-18",1090,12.1,0.449,"","B 24jul19 s 9",0,0,3,"2020-02-18","1.7","4.2","5.9","1.2","","",0,0,0,0
