Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
FCR,50,2019-01-17 12:00:00,6.2,,10/21/19,17.5,2.2,-0.0611,,
BVR,100,2019-01-21 12:00:00,0.1,R1,10/21/19,5.09,1.3,2.25,,
BVR,100,2019-01-21 12:00:00,0.1,R2,10/21/19,2.13,0.658,5.82,,
BVR,200,2019-01-21 12:00:00,0.1,R1,1/7/20,-5.18,3.19,13.5,,
BVR,200,2019-01-21 12:00:00,0.1,R2,10/21/19,10.6,0.457,14.2,,
BVR,215,2019-01-21 12:00:00,0.1,,1/7/20,-3.26,3.39,108,,
BVR,175,2019-01-21 12:00:00,0.1,R1,10/21/19,1.46,3.45,6.19,,
BVR,175,2019-01-21 12:00:00,0.1,R2,10/21/19,4.06,3.43,5.58,,
FCR,50,2019-01-21 12:00:00,0.1,,10/21/19,6.34,2.05,11.7,,
FCR,50,2019-01-21 12:00:00,1.6,,1/1/19,5.37,8,14,MEL run,F21JanS1.6
FCR,50,2019-01-21 12:00:00,3.8,,10/21/19,2.28,-0.247,12.5,,
FCR,50,2019-01-21 12:00:00,5,,10/21/19,26,2.93,15.6,,
FCR,50,2019-01-21 12:00:00,6.2,,10/21/19,12.8,2.76,11.7,,
FCR,50,2019-01-21 12:00:00,8,,10/21/19,2.97,1.54,10.2,,
FCR,50,2019-01-21 12:00:00,9,,10/21/19,1.26,0.601,10.2,,
FCR,50,2019-01-21 12:00:00,9.5,,10/21/19,1.54,1.03,11.3,,
FCR,100,2019-01-21 12:00:00,0.1,,3/18/20,6.06,2.7,55.8,,F 21jan19 s inf
FCR,50,2019-02-08 12:00:00,0.1,,10/21/19,7.13,2.91,0.983,,
FCR,50,2019-02-08 12:00:00,1.6,,1/1/19,2.25,9,4,MEL run,F8FebS1.6
FCR,50,2019-02-08 12:00:00,3.8,,10/21/19,24,1.62,-0.517,,
FCR,50,2019-02-08 12:00:00,5,,10/21/19,8.63,2.58,0.602,,
FCR,50,2019-02-08 12:00:00,6.2,,10/21/19,15.3,1.81,0.734,,
FCR,50,2019-02-08 12:00:00,9,,10/21/19,9.76,1.16,-0.604,,
FCR,100,2019-02-08 12:00:00,0.1,,10/21/19,8.92,5.38,45.4,,
FCR,200,2019-02-08 12:00:00,0.1,,10/21/19,4.67,2.22,42.7,,
FCR,50,2019-03-18 12:00:00,0.1,,10/14/19,9.88,1.21,14.9,,
FCR,50,2019-03-18 12:00:00,1.6,,1/1/19,4.97,9,18,MEL run,F18MarS1.6
FCR,50,2019-03-18 12:00:00,3.8,,10/14/19,5.77,2.47,13.3,,
FCR,50,2019-03-18 12:00:00,5,,10/7/19,9.679753372,7.2078056,29.29949653,,
FCR,50,2019-03-18 12:00:00,6.2,,10/7/19,19.39163379,7.8121624,22.71703633,,
FCR,50,2019-03-18 12:00:00,8,,10/7/19,16.51224603,7.026463616,44.29967171,,
FCR,50,2019-03-18 12:00:00,9,,10/7/19,12.0510956,10.04672442,38.37275489,,
