"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR_umolm2s","Desc_rate","Flag","Reservoir","Site","Flag_Temp","Flag_DO","Flag_Cond","Flag_SpecCond","Flag_Chla","Flag_Turb","Flag_pH","Flag_ORP","Flag_PAR","Flag_DescRate"
2022-02-24,0.083,5.1364,6.5733,3.8233,33.666,20.302018,10.2955,80.81,6.535,337.7298,15.732,0.172,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-22,0.078,12.1508,1.398,2.6032,28.5,20.989589,7.4516,71.217,6.106,250.5559,572.83,0.238,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-12,0.108,14.7876,6.527,2.3659,28.2,22.41598,8.9514,92.608,6.912,256.285,78.125,0.087,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-02,0.109,16.083,1.3102,1.6386,27.41,22.60037,7.7829,79.391,6.748,211.4873,169.71,0.067,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-05,0.111,19.8728,1.0567,1.9974,28.078,25.191854,7.2728,77.347,6.662,174.3883,1312.9,0.02,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-05,0.111,19.8665,1.1399,1.9308,28.08,25.192785,7.2192,76.615,6.652,174.27,1707.4,0.026,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-09,0.087,16.5626,1.4851,1.9531,27.341,22.71408,8.0614,81.678,7.911,227.1465,802.16,0.094,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-09,0.086,16.7219,1.2475,1.6621,26.566,22.148591,8.9972,92.153,7.61,241.1654,334.33,0.134,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,0.106,18.7209,2.4692,1.5745,26.782,23.418276,9.1076,97.776,7.364,257.2732,144.05,0.076,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,0.098,18.6506,2.0097,1.7647,26.54,23.131521,8.7389,93.556,7.633,203.7701,151.37,0.152,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-17,0.099,20.8077,1.1948,1.9339,26.758,24.511313,8.8776,99.864,8.042,235.6169,1455,0.052,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-23,0.099,24.2969,3.7531,2.9357,25.893,25.529146,4.7596,56.668,8.364,199.6989,12.293,0.043,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-23,0.09,23.8512,5.2199,3.0006,27.429,26.645036,8.4868,102.119,8.634,171.0239,69.85,0.091,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-31,0.098,25.1037,2.2638,4.8288,26.055,26.113306,6.4239,79.693,8.53,152.5612,177.81,0.033,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-31,0.098,25.3907,2.0205,4.1469,26.502,26.698811,8.414,102.929,8.759,147.5412,162.99,0.127,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-07,0.099,24.1738,3.944,8.128,27.979,27.520375,8.4657,100.745,9.485,144.0529,51.541,0.076,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-07,0.095,23.8786,4.825,8.0131,28.339,27.71678,8.84,104.916,9.471,82.2478,89.654,0.128,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-13,0.091,26.3162,2.021,10.4541,31.746,32.52587,9.2803,114.661,9.957,117.1126,312.73,0.049,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-13,0.097,25.6462,1.8272,9.7466,27.982,28.137,6.0461,78.479,9.716,55.6817,226.19,0.127,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-20,0.07,23.5554,1.7704,16.189,28.748,27.883924,4.8834,60.402,9.765,131.1992,194.65,0.178,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-20,0.095,23.7322,4.281,15.2994,29.213,28.470076,6.7706,84.285,9.884,152.7206,131.81,0.077,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-06-27,0.101,26.419,2.1095,22.0734,32.396,33.316266,8.4129,104.577,10.053,101.5119,32.257,0.065,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,0.102,27.0655,3.0696,26.5251,29.352,30.473379,7.6057,92.034,9.513,149.4365,395.32,0.099,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-05,0.088,28.1588,2.4869,27.0135,28.935,30.799055,5.7887,71.692,9.435,129.8635,646.07,0.126,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-11,0.098,24.8927,2.201,11.5393,30.474,30.380323,3.749,46.691,7.169,188.07,756.49,0.101,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-11,0.094,24.8346,2.3944,10.7646,30.199,30.100213,3.4941,40.83,7.346,259.2344,75.787,0.105,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-15,0.095,26.5688,3.2111,5.5275,30.077,31.024689,6.3604,79.292,NA,NA,111.29,0.048,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-18,0.103,27.0301,1.3987,4.8563,31.143,32.351959,5.9633,74.608,7.37,103.8799,508.32,0.093,0,"BVR",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-18,0.109,26.6408,2.2755,4.7386,31.318,32.329662,5.6166,70.729,7.358,115.2567,108.23,0.095,0,"BVR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-03,0.51,20.2324,1.0791,0.2735,26.351553,NA,7.48481,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
