ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece/Carly?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2024 - 15,0.6,"1,974.6",557.2,216.9,"6,701.3",26.6,-0.2,0.6,666.1,"1,533.7",5.4,0.2,0.6,194.1,15.7,0.1,0.6,0.5,1.4,0.2,-0.2,9.8,0.5,0.2,0.0,0.2,11.8,0.5,0.1
06/03/2024 - 29,0.6,"1,736.9",497.4,516.5,"6,109.9",35.3,-0.2,0.2,682.2,"1,358.0",10.4,0.4,1.1,375.1,31.1,0.2,0.8,0.9,3.2,0.1,-0.2,8.7,0.3,0.0,0.6,0.7,13.2,0.8,0.1
06/03/2024 - 30,0.9,"2,600.5",723.8,"1,150.9","8,893.9",59.4,0.2,0.7,"1,105.1","2,008.7",23.5,0.8,1.3,695.8,51.8,0.3,1.2,2.2,14.6,0.1,-0.5,12.8,0.2,0.1,2.6,2.6,22.2,1.7,0.1
07/15/2024 - 29,0.8,"1,748.0",582.6,762.5,"6,524.0",54.8,-0.2,22.2,813.8,"1,673.4",10.1,1.0,1.2,713.2,88.1,0.4,1.0,1.0,7.5,0.1,-0.4,11.0,0.2,0.0,0.1,0.4,22.1,1.0,0.0
07/15/2024 - 30,0.9,"1,799.2",622.7,802.1,"6,717.3",61.5,-0.3,22.8,833.6,"1,748.1",11.6,1.1,1.3,835.0,92.2,0.4,1.0,1.1,3.6,0.1,-0.4,11.6,0.1,0.0,0.1,0.4,23.6,1.2,0.0
07/22/2024 - 15,0.5,"1,921.9",581.4,341.7,"6,499.7",31.0,-0.2,0.2,729.6,"1,622.6",6.7,0.3,0.7,275.7,26.8,0.2,0.8,0.6,0.4,0.0,-0.2,10.5,0.1,0.0,0.1,0.2,13.1,0.9,0.0
07/29/2024 - 29,1.0,"1,881.0",643.8,"1,413.3","7,706.3",65.7,-0.5,0.0,822.1,"1,779.3",25.4,1.1,1.4,966.4,90.3,0.5,1.5,0.9,3.9,0.1,-0.6,11.5,0.2,0.0,0.0,0.1,23.3,2.2,0.0
07/29/2024 - 30,0.9,"1,891.5",626.2,914.4,"7,174.4",61.4,-0.4,0.0,760.6,"1,728.1",15.0,0.9,1.2,820.3,79.7,0.4,0.7,0.7,2.6,0.1,-0.5,11.1,0.1,0.0,0.0,0.1,19.9,1.0,0.0
