ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/22/2024 - 1,0.6,"3,460.6","1,172.7",18.8,"6,476.5",12.2,-0.3,-1.9,"1,180.1","2,810.3",1.3,0.1,0.1,577.2,15.7,0.1,0.1,0.8,0.0,0.1,-0.2,18.7,0.0,0.0,0.0,0.0,21.6,0.0,0.0
07/22/2024 - 2,0.6,"3,563.0","1,191.4",18.0,"6,607.5",3.3,-0.1,-1.5,"1,236.0","2,981.5",0.9,0.0,0.2,289.1,6.1,0.1,0.2,1.3,44.0,0.1,-0.1,18.6,0.0,0.0,0.0,0.0,21.2,0.0,0.0
07/22/2024 - 3,0.5,"3,498.0","1,186.1",15.8,"6,551.2",13.9,-0.1,-1.9,"1,194.9","2,882.3",0.8,0.1,0.1,610.3,17.3,0.1,0.1,0.8,2.2,0.1,-0.2,19.1,0.0,0.0,0.0,0.0,22.0,0.0,0.0
07/22/2024 - 4,0.5,"3,521.9","1,184.1",15.7,"6,582.5",1.5,-0.1,-1.9,"1,199.8","2,890.5",0.7,0.0,0.2,314.6,7.4,0.1,0.1,1.0,12.0,0.1,-0.1,18.6,0.0,0.0,0.0,0.0,21.5,0.0,0.0
07/22/2024 - 5,0.4,"3,305.0","1,207.2",13.6,"7,399.1",23.6,0.2,-1.9,"1,186.6","3,110.7",0.9,-0.1,0.2,"1,370.2",280.9,0.6,0.1,0.5,3.6,0.1,-0.3,20.6,0.0,0.0,0.0,0.0,36.4,0.0,0.0
07/22/2024 - 6,0.4,"3,335.8","1,203.9",11.2,"7,417.0",0.7,0.1,-1.9,"1,187.9","3,116.4",0.7,-0.1,0.1,196.5,238.2,0.5,0.1,0.1,7.6,0.1,-0.4,20.4,-0.1,0.0,0.0,0.0,35.6,0.0,0.0
07/22/2024 - 7,0.4,"3,226.7","1,208.1",14.9,"7,813.3",18.7,0.1,-2.0,"1,179.4","3,143.6",1.0,0.0,0.2,"2,446.0",612.4,1.2,0.1,0.8,3.4,0.1,-0.2,21.0,0.1,0.0,0.0,0.0,44.2,0.0,0.0
07/22/2024 - 8,0.3,"3,227.1","1,195.2",13.7,"7,624.3",-0.8,0.0,-1.9,"1,174.3","3,086.6",0.8,-0.1,0.2,749.7,555.4,1.1,0.2,0.0,7.4,0.1,-0.4,20.7,0.0,0.0,0.0,0.0,40.8,0.0,0.0
