ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2024 - 1,0.4,"3,035.8","1,135.1",20.8,"6,568.0",24.5,0.4,0.2,"1,297.6","2,765.2",1.3,0.2,0.1,565.7,129.7,0.3,0.1,1.2,0.4,0.2,0.4,18.4,0.4,0.0,0.0,0.0,26.7,0.1,0.1
10/15/2024 - 2,0.3,"3,050.2","1,122.5",16.2,"6,683.6",2.9,0.5,0.3,"1,704.4","2,698.2",0.8,0.0,0.1,125.7,13.0,0.0,0.2,0.9,6.3,0.1,0.1,17.8,0.3,0.0,0.0,0.0,22.5,0.0,0.0
10/15/2024 - 3,0.2,"3,042.5","1,145.1",21.5,"6,600.7",25.3,0.8,0.0,"1,309.6","2,806.3",0.8,0.1,0.1,584.2,134.8,0.3,0.1,1.1,-0.5,0.1,0.0,18.6,0.2,0.0,0.0,0.0,26.7,0.0,0.0
10/15/2024 - 4,0.2,"3,055.1","1,127.2",15.2,"6,663.9",3.0,0.6,0.2,"1,677.7","2,743.1",0.6,0.0,0.2,122.5,7.4,0.0,0.1,1.0,43.0,0.1,0.0,18.0,0.2,0.0,0.0,0.0,22.6,0.1,0.0
10/15/2024 - 5,0.2,"3,050.5","1,153.3",22.1,"6,672.5",26.0,0.8,-0.1,"1,304.9","2,830.2",0.7,0.1,0.1,593.0,136.6,0.3,0.1,1.1,1.3,0.1,-0.3,18.5,0.2,0.0,0.0,0.0,27.2,0.1,0.0
10/15/2024 - 6,0.1,"3,032.6","1,131.4",13.8,"6,599.4",1.3,0.6,-0.1,"1,300.9","2,724.7",0.4,0.0,0.1,119.1,8.3,0.0,0.1,0.9,6.4,0.1,-0.3,17.8,0.1,0.0,0.0,0.0,23.3,0.0,0.0
10/15/2024 - 7,0.0,"3,046.4","1,239.5",25.3,"8,584.1",44.4,0.6,-0.2,"1,343.3","3,155.6",0.8,0.1,0.2,"1,873.7","1,568.7",3.6,0.2,1.1,0.1,0.1,-0.3,22.5,0.1,0.0,0.0,0.0,65.4,0.1,0.0
10/15/2024 - 8,0.1,"3,120.0","1,221.2",14.5,"8,180.0",0.1,0.7,-0.1,"1,378.2","3,233.3",0.5,-0.1,0.2,76.3,"1,186.9",2.5,0.4,0.7,10.6,0.1,-0.2,21.4,0.1,0.0,0.0,0.0,54.6,0.1,0.0
