ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/17/2024 - 1,0.4,"3,512.0","1,246.3",19.5,"6,296.8",11.6,1.2,0.8,"1,565.1","2,745.3",0.8,0.2,0.1,297.1,32.6,0.1,0.1,1.8,6.9,0.2,0.2,18.5,0.1,0.0,0.0,0.0,23.6,0.1,0.0
09/17/2024 - 2,0.4,"3,568.7","1,256.6",19.7,"6,362.2",4.4,1.0,0.8,"1,642.1","2,760.2",0.8,0.1,0.1,60.1,5.5,0.0,0.2,1.1,4.2,0.2,0.3,18.4,0.1,0.0,0.0,0.0,21.9,0.1,0.0
09/17/2024 - 3,0.4,"3,501.9","1,250.4",25.5,"6,279.3",15.7,0.6,0.7,"1,310.9","2,787.5",0.0,0.2,0.1,286.3,29.5,0.1,0.2,1.5,30.9,0.2,0.2,18.7,0.2,0.0,0.0,0.0,38.8,0.1,0.0
09/17/2024 - 4,0.4,"3,511.6","1,246.2",18.2,"6,302.0",3.1,0.5,0.8,"1,301.7","2,778.1",0.8,0.1,0.1,120.0,7.9,0.0,0.1,1.1,30.4,0.2,0.3,18.4,0.1,0.0,0.0,0.0,23.2,0.1,0.0
09/17/2024 - 5,0.4,"3,536.1","1,262.2",25.7,"6,401.7",17.8,0.5,0.6,"1,302.4","2,757.8",0.9,0.2,0.1,278.9,26.8,0.1,0.1,1.3,-0.2,0.2,0.2,18.5,0.1,0.0,0.0,0.0,23.3,0.1,0.0
09/17/2024 - 6,0.4,"3,537.0","1,255.7",16.4,"6,303.4",0.5,0.3,0.6,"1,296.4","2,712.5",0.7,0.1,0.1,49.9,3.8,0.0,0.1,0.8,5.0,0.2,0.3,18.3,0.1,0.0,0.0,0.0,22.4,0.0,0.0
09/17/2024 - 7,0.3,"3,305.5","1,379.6",20.3,"10,191.8",22.4,0.5,0.6,"1,378.6","3,488.3",1.2,0.2,0.2,"3,127.5","1,490.0",2.9,0.2,0.8,2.6,0.2,0.2,23.7,0.1,0.0,0.0,0.0,72.1,0.1,0.0
09/17/2024 - 8,0.3,"3,281.1","1,349.2",15.3,"9,965.0",-1.9,0.2,0.6,"1,347.4","3,442.5",1.0,0.0,0.1,234.9,"1,489.9",2.8,0.1,0.3,8.0,0.1,0.1,23.7,0.0,0.0,0.0,0.0,72.9,0.0,0.0
09/17/2024 - 9,0.3,"3,357.6","1,315.4",18.5,"8,627.2",19.7,0.2,0.6,"1,347.2","3,218.0",1.0,0.2,0.1,"1,654.9","1,210.4",2.6,0.2,1.0,0.3,0.1,0.0,21.9,0.0,0.0,0.0,0.0,58.0,0.1,0.0
09/17/2024 - 10,0.3,"3,335.8","1,320.2",16.8,"8,748.2",-0.8,0.2,0.6,"1,337.5","3,243.7",0.9,0.1,0.1,68.8,"1,179.4",2.4,0.1,0.5,12.0,0.1,0.2,22.1,0.0,0.0,0.0,0.0,58.0,0.0,0.0
