ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/13/2024 - 3,0.4,"3,032.8","1,037.1",39.5,"5,863.0",18.8,0.8,0.2,"1,134.5","2,509.3",1.4,0.0,0.2,283.8,39.4,0.1,0.1,2.0,1.8,0.1,-0.3,15.5,0.1,-0.1,0.0,0.0,18.5,0.1,0.0
02/13/2024 - 4,0.4,"3,455.2","1,064.3",6.8,"6,246.4",1.7,0.9,0.3,"1,098.4","2,606.8",0.8,-0.1,0.1,105.9,4.0,0.0,0.6,1.5,1.7,0.0,-0.1,15.9,0.1,-0.1,0.0,0.0,14.4,0.1,0.0
02/13/2024 - 5,0.4,"2,996.3","1,028.0",25.5,"6,040.7",18.4,0.8,0.2,"1,126.1","2,488.5",1.3,0.0,0.1,296.2,41.5,0.1,0.1,2.1,2.0,0.0,-0.3,15.6,0.0,-0.1,0.0,0.0,18.4,0.1,0.0
02/13/2024 - 6,0.3,"3,395.0","1,057.2",7.7,"6,211.6",1.1,0.8,0.3,"1,089.1","2,583.2",0.8,-0.1,0.1,106.7,4.3,0.0,0.2,1.3,1.2,0.0,-0.3,15.7,0.0,-0.1,0.0,0.0,15.0,0.1,0.0
02/13/2024 - 7,0.4,"3,030.4","1,048.8",27.5,"6,024.4",19.0,0.8,0.2,"1,131.1","2,496.0",1.2,0.0,0.1,313.8,46.0,0.1,0.1,2.1,2.1,0.0,-0.2,15.6,0.0,-0.1,0.0,0.0,18.6,0.1,0.0
02/13/2024 - 8,0.4,"3,333.0","1,050.1",16.8,"6,230.9",1.9,0.7,0.5,"1,128.8","2,573.9",0.7,0.0,0.1,106.7,6.4,0.0,0.3,1.3,33.0,0.0,-0.2,15.9,0.0,-0.1,0.0,0.0,15.9,0.1,0.0
02/13/2024 - 9,0.3,"3,020.3","1,046.9",28.5,"6,081.5",20.9,0.7,0.2,"1,140.2","2,527.9",1.3,0.0,0.1,330.0,52.7,0.2,0.1,2.2,2.2,0.0,-0.3,15.9,0.0,-0.1,0.0,0.0,18.8,0.1,0.0
02/13/2024 - 10,0.3,"3,430.9","1,061.8",7.4,"6,202.3",1.7,0.7,0.3,"1,076.0","2,629.8",0.7,-0.1,0.1,115.4,6.7,0.0,0.2,1.4,1.1,0.0,-0.2,15.9,0.0,-0.1,0.0,0.0,14.9,0.1,0.0
02/13/2024 - 11,0.4,"3,080.1","1,054.2",26.9,"6,243.9",16.9,0.8,0.2,"1,173.7","2,576.4",1.2,0.0,0.1,319.7,46.1,0.1,0.1,2.1,1.8,0.0,-0.1,15.9,0.0,-0.1,0.0,0.0,18.8,0.1,0.0
02/13/2024 - 12,0.4,"3,363.7","1,075.9",7.4,"6,367.1",1.6,0.8,0.3,"1,153.2","2,634.9",0.8,-0.1,0.1,110.5,3.0,0.0,0.2,1.4,1.2,0.0,-0.1,16.0,0.0,-0.1,0.0,0.0,15.7,0.1,0.0
02/13/2024 - 13,0.4,"3,080.5","1,061.4",29.0,"6,167.4",18.6,0.8,0.2,"1,176.2","2,586.3",1.4,0.0,0.1,369.4,55.7,0.2,0.1,2.3,1.9,0.1,-0.2,16.0,0.1,-0.1,0.0,0.0,19.3,0.1,0.0
02/13/2024 - 14,0.4,"3,339.5","1,065.6",9.0,"6,282.8",1.6,0.8,0.3,"1,156.1","2,610.2",0.8,-0.1,0.1,116.5,4.2,0.0,0.4,1.6,1.7,0.0,-0.3,16.1,0.1,-0.1,0.0,0.0,16.1,0.1,0.0
02/13/2024 - 15,0.6,"2,593.6",682.3,152.9,"8,236.1",12.4,1.1,-0.1,837.4,"1,926.5",2.9,0.2,0.2,155.6,12.5,0.1,0.1,0.2,1.4,0.0,-0.5,12.0,0.0,-0.1,0.0,0.0,16.0,0.2,0.0
02/13/2024 - 16,0.6,"2,951.3",689.4,37.7,"8,141.8",7.5,1.1,0.0,770.6,"2,000.2",1.2,0.0,0.1,33.2,3.5,0.0,0.2,0.2,1.3,0.0,-0.3,12.1,0.0,-0.1,0.0,0.0,12.1,0.1,0.0
02/27/2024 - 1,0.4,"3,053.7","1,040.3",26.2,"6,029.9",15.8,0.7,0.2,"1,125.1","2,522.5",1.2,0.0,0.1,334.6,54.4,0.2,0.1,2.6,1.9,0.0,-0.2,15.5,0.0,-0.1,0.0,0.0,18.4,0.1,0.0
02/27/2024 - 2,0.4,"3,797.1","1,070.1",5.5,"6,345.7",1.0,0.7,0.3,955.7,"2,661.6",0.8,-0.1,0.1,97.6,1.6,0.1,0.3,1.7,5.8,0.0,-0.2,15.7,0.0,-0.1,0.0,0.0,12.8,13.2,0.0
02/27/2024 - 3,0.4,"3,098.3","1,047.4",44.1,"6,147.9",15.4,0.7,0.3,"1,142.1","2,534.6",1.4,0.0,0.2,345.0,55.3,0.2,0.2,2.6,2.8,0.0,-0.2,15.9,0.0,-0.1,0.0,0.0,18.8,0.2,0.0
02/27/2024 - 4,0.4,"4,056.9","1,097.0",5.2,"6,534.7",1.9,0.8,0.5,947.5,"2,772.0",0.8,-0.1,0.1,102.3,2.6,0.0,1.0,1.9,4.7,0.0,-0.1,16.2,0.0,-0.1,0.0,0.0,12.7,0.2,0.0
02/27/2024 - 5,0.4,"3,094.6","1,057.4",25.6,"6,269.8",18.2,0.7,0.2,"1,137.9","2,538.4",1.2,0.0,0.1,348.8,58.5,0.2,0.1,2.6,1.8,0.0,-0.2,15.6,0.0,-0.1,0.0,0.0,18.4,0.1,0.0
02/27/2024 - 6,0.4,"3,556.8","1,075.4",5.5,"6,336.7",2.6,0.9,0.3,"1,070.0","2,665.2",0.7,0.0,0.1,99.8,1.2,0.0,0.2,1.5,1.9,0.0,-0.1,15.9,0.0,-0.1,0.0,0.0,15.1,0.1,0.0
02/27/2024 - 7,0.4,"3,064.2","1,041.5",27.2,"6,112.8",21.4,1.0,0.2,"1,130.7","2,528.5",1.4,0.1,0.1,373.2,65.5,0.2,0.1,2.7,2.6,0.1,-0.2,15.7,0.1,-0.1,0.0,0.0,18.7,0.2,0.0
02/27/2024 - 8,0.4,"3,434.8","1,059.9",4.5,"6,339.5",1.6,1.0,0.3,"1,105.0","2,591.2",0.7,-0.1,0.1,97.1,1.1,0.0,0.2,1.5,1.1,0.0,-0.2,15.7,0.1,-0.1,0.0,0.0,14.7,0.1,0.0
02/27/2024 - 9,0.4,"3,054.1","1,040.3",26.3,"6,164.0",21.9,1.0,0.2,"1,132.9","2,527.1",1.3,0.1,0.1,391.0,69.1,0.2,0.1,2.9,3.1,0.1,-0.3,15.7,0.1,-0.1,0.0,0.0,18.9,0.2,0.0
02/27/2024 - 10,0.4,"3,533.2","1,071.0",5.1,"6,347.8",3.3,1.3,0.3,"1,070.9","2,627.3",0.7,-0.1,0.1,106.2,1.3,0.0,0.2,1.5,1.6,0.0,-0.2,15.8,0.0,-0.1,0.0,0.0,14.9,0.1,0.0
02/27/2024 - 11,0.4,"3,067.8","1,042.2",26.7,"6,021.5",18.2,0.9,0.2,"1,123.2","2,519.4",1.3,0.0,0.1,389.7,69.6,0.2,0.1,2.7,2.1,0.0,-0.2,15.7,0.0,-0.1,0.0,0.0,19.0,0.1,0.0
02/27/2024 - 12,0.4,"3,466.2","1,053.1",4.6,"6,302.0",1.6,0.9,0.3,"1,038.5","2,593.6",0.7,-0.1,0.3,106.4,1.6,0.0,0.3,1.5,1.7,0.0,-0.2,15.6,0.0,-0.1,0.0,0.0,14.7,0.1,0.0
02/27/2024 - 13,0.4,"3,048.9","1,038.3",28.9,"6,178.8",20.3,0.9,0.2,"1,139.8","2,545.7",1.3,0.1,0.1,406.5,73.0,0.2,0.1,2.8,1.7,0.0,-0.3,15.8,0.0,-0.1,0.0,0.0,19.0,0.1,0.0
02/27/2024 - 14,0.3,"3,716.6","1,057.0",5.0,"6,307.5",1.4,0.9,0.3,933.8,"2,600.4",0.7,-0.1,0.1,108.1,1.2,0.0,0.2,1.5,1.3,0.0,-0.4,15.7,0.0,-0.1,0.0,0.0,13.3,0.1,0.0
02/27/2024 - 15,0.7,"3,424.7",833.1,40.4,"10,584.2",12.8,0.5,0.0,932.9,"2,358.8",1.6,0.0,0.1,49.7,8.4,0.0,0.2,0.3,2.1,0.0,-0.2,14.4,0.0,-0.1,0.1,0.1,16.8,0.2,0.0
02/27/2024 - 16,0.6,"3,868.7",841.5,8.1,"10,630.2",8.6,0.5,0.2,864.1,"2,408.2",1.1,0.0,0.1,2.8,3.1,0.0,0.1,0.1,4.8,0.0,-0.3,14.5,0.0,-0.1,0.0,0.0,17.1,0.1,0.0
03/05/2024 - 1,0.4,"3,082.8","1,047.1",19.4,"6,330.1",11.6,1.0,0.2,"1,112.4","2,529.7",1.3,0.0,0.1,294.8,46.5,0.1,0.1,2.5,1.3,0.1,-0.1,15.8,0.1,-0.1,0.0,0.0,18.1,0.1,0.0
03/05/2024 - 2,0.4,"3,355.6","1,052.4",4.0,"6,510.6",0.2,1.0,0.4,"1,111.4","2,581.4",0.7,-0.1,0.1,71.7,6.6,0.0,1.2,1.5,13.2,0.0,-0.2,15.8,0.1,-0.1,0.0,0.0,15.5,0.1,0.0
03/05/2024 - 3,0.4,"3,106.4","1,045.6",18.4,"6,217.9",15.4,1.0,0.3,"1,123.5","2,528.4",1.1,0.0,0.1,313.3,50.1,0.1,0.1,2.5,1.9,0.0,-0.1,15.7,0.0,-0.1,0.0,0.0,18.1,0.1,0.0
03/05/2024 - 4,0.4,"3,811.3","1,053.8",3.2,"6,425.7",0.9,1.1,0.3,941.3,"2,677.2",0.7,0.0,0.1,74.0,1.8,0.0,0.3,1.5,1.3,0.0,-0.1,15.8,0.0,-0.1,0.0,0.0,12.9,0.1,0.0
03/05/2024 - 5,0.4,"3,082.4","1,043.9",18.9,"6,361.7",19.9,0.9,0.2,"1,128.8","2,544.4",1.1,0.0,0.1,319.9,53.7,0.1,0.1,2.6,2.5,0.0,-0.1,15.8,0.0,-0.1,0.0,0.0,18.3,0.1,0.0
03/05/2024 - 6,0.4,"3,378.7","1,045.1",3.0,"6,291.6",1.1,0.9,0.3,"1,104.5","2,564.4",0.6,-0.1,0.1,77.4,0.9,0.0,0.1,1.4,1.1,0.0,-0.4,15.6,0.0,-0.1,0.0,0.0,14.1,0.1,0.0
03/05/2024 - 7,0.4,"3,040.6","1,039.0",16.8,"6,206.0",18.5,1.0,0.2,"1,130.9","2,531.1",1.0,0.0,0.2,405.7,81.9,0.2,0.1,2.8,1.7,0.0,-0.2,15.8,0.0,-0.1,0.0,0.0,19.0,0.1,0.0
03/05/2024 - 8,0.4,"3,451.3","1,062.4",4.8,"6,480.8",1.0,1.0,0.4,"1,105.6","2,637.5",0.6,-0.1,0.1,102.9,2.0,0.0,0.3,1.6,6.0,0.0,-0.1,16.0,0.0,-0.1,0.0,0.0,15.5,0.1,0.0
03/05/2024 - 9,0.4,"3,046.9","1,032.7",19.8,"6,215.1",19.0,0.9,0.2,"1,121.5","2,526.9",1.1,0.0,0.1,415.7,78.1,0.2,0.1,2.8,1.7,0.0,-0.2,15.8,0.0,-0.1,0.0,0.0,18.9,0.1,0.0
03/05/2024 - 10,0.4,"3,424.4","1,067.5",3.1,"6,444.0",1.3,0.9,0.3,"1,121.9","2,603.5",0.6,-0.1,0.1,102.5,1.8,0.0,0.1,1.5,1.1,0.0,-0.2,15.8,0.0,-0.1,0.0,0.0,15.2,0.1,0.0
03/05/2024 - 11,0.4,"3,106.8","1,059.9",21.9,"6,316.3",22.9,1.1,0.3,"1,149.4","2,585.0",1.3,0.1,0.1,444.5,83.8,0.2,0.1,3.0,1.9,0.1,0.0,15.8,0.1,-0.1,0.0,0.0,19.3,0.1,0.0
03/05/2024 - 12,0.4,"3,351.3","1,056.2",5.2,"6,441.5",0.4,1.1,0.4,"1,129.8","2,605.4",0.7,-0.1,0.1,101.4,3.7,0.0,0.3,1.6,34.6,0.0,-0.2,16.1,0.1,-0.1,0.0,0.0,15.7,0.1,0.0
03/05/2024 - 13,0.4,"3,092.7","1,062.6",21.3,"6,341.5",23.6,1.2,0.3,"1,147.3","2,580.4",1.2,0.1,0.1,466.9,87.5,0.3,0.1,3.0,2.2,0.1,-0.2,15.9,0.1,-0.1,0.0,0.0,19.6,0.1,0.0
03/05/2024 - 14,0.4,"3,455.2","1,070.0",3.2,"6,482.4",0.9,1.1,0.3,"1,142.1","2,625.1",0.6,-0.1,0.1,108.4,2.5,0.0,0.1,1.6,1.0,0.0,-0.3,16.1,0.0,-0.1,0.0,0.0,14.3,0.1,0.0
03/05/2024 - 15,0.7,"3,316.3",824.5,70.0,"10,479.4",12.0,0.9,0.1,955.6,"2,374.9",2.1,0.1,0.1,89.5,13.7,0.1,0.1,0.2,1.1,0.0,-0.2,14.8,0.0,-0.1,0.0,0.0,17.8,0.2,0.0
03/05/2024 - 16,0.7,"3,571.6",827.3,7.9,"10,466.3",8.7,0.8,0.1,945.7,"2,410.0",1.1,0.0,0.1,12.5,5.1,0.0,0.0,0.1,3.9,0.0,-0.2,14.8,0.0,-0.1,0.0,0.0,15.1,0.1,0.0
03/05/2024 - 19,0.2,"2,244.6",767.3,49.6,"6,117.9",11.2,0.7,0.2,"1,398.8","1,817.5",1.3,0.1,0.1,435.8,45.6,0.2,0.2,0.6,1.8,0.1,-0.1,12.1,0.0,-0.1,0.0,0.0,25.0,0.3,0.0
03/05/2024 - 20,0.3,"2,995.9",783.6,22.2,"6,043.3",1.5,0.7,0.3,"1,244.4","1,886.5",0.8,0.0,0.1,290.1,31.9,0.2,0.1,0.3,1.1,0.1,-0.1,12.1,0.0,-0.1,0.0,0.0,17.1,0.2,0.0
03/05/2024 - 21,0.2,"2,260.4",774.6,52.5,"5,976.7",9.8,0.9,0.1,"1,422.1","1,806.5",1.4,0.1,0.1,432.7,43.1,0.2,0.2,0.4,80.1,0.1,-0.2,12.3,0.0,-0.1,0.0,0.0,25.1,0.2,0.0
03/05/2024 - 22,0.2,"3,008.5",783.3,22.8,"6,054.8",3.9,0.8,0.4,"1,332.0","1,910.6",0.9,0.0,0.1,275.5,30.0,0.1,0.5,0.7,3.5,0.1,-0.1,12.2,0.0,-0.1,0.0,0.0,18.4,0.5,0.0
03/05/2024 - 23,0.2,"2,249.8",776.6,50.8,"6,106.9",7.8,0.8,0.1,"1,407.1","1,833.7",1.5,0.1,0.2,428.3,47.4,0.2,0.1,0.4,1.1,0.1,-0.2,12.5,0.1,-0.1,0.0,0.0,25.7,0.2,0.0
03/05/2024 - 24,0.3,"3,440.2",816.0,25.3,"6,169.7",3.5,1.1,0.3,"1,152.9","2,065.5",1.0,0.0,0.1,278.0,27.2,0.1,0.7,0.6,2.9,0.1,-0.2,12.5,0.1,-0.1,0.0,0.0,17.7,0.4,0.0
03/05/2024 - 25,0.2,"2,257.2",815.4,53.6,"6,060.4",9.2,0.9,0.1,"1,407.3","1,909.5",1.4,0.1,0.1,442.5,49.4,0.2,0.1,0.4,1.3,0.1,-0.2,12.4,0.0,-0.1,0.0,0.0,25.2,0.2,0.0
03/05/2024 - 26,0.2,"3,054.7",787.4,17.3,"6,106.8",2.7,0.9,0.3,"1,272.5","1,918.9",0.9,0.0,0.1,271.2,32.4,0.1,0.4,0.5,1.9,0.1,-0.3,12.2,0.0,-0.1,0.0,0.0,19.1,0.2,0.0
