ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/01/2024 - 1,0.5,"3,043.7","1,022.4",10.0,"5,939.7",16.0,0.2,1.1,"1,049.7","2,327.6",1.2,0.1,0.0,171.3,29.6,0.1,0.1,1.8,0.7,0.2,0.1,14.9,0.3,0.0,0.0,0.0,17.0,0.1,0.0
4/01/2024 - 2,0.4,"3,450.7","1,034.4",4.3,"5,810.1",4.2,0.3,1.3,"1,410.8","2,430.7",0.9,0.1,0.2,38.1,8.2,0.1,0.5,2.8,12.3,0.2,-0.1,15.3,0.2,0.0,0.0,0.0,16.7,0.2,0.0
4/01/2024 - 3,0.4,"2,997.2","1,007.5",8.9,"5,824.6",16.3,0.2,0.9,"1,049.8","2,327.3",0.9,0.1,0.0,175.0,30.6,0.1,0.1,1.8,0.1,0.1,-0.3,14.8,0.1,0.0,0.0,0.0,16.9,0.1,0.0
4/01/2024 - 4,0.4,"3,382.4","1,036.8",2.3,"5,843.3",0.2,0.2,1.0,"1,014.0","2,393.2",0.7,0.0,0.0,37.4,2.0,0.0,0.1,1.2,-0.2,0.1,-0.2,14.8,0.1,0.0,0.0,0.0,13.3,0.0,0.0
4/01/2024 - 5,0.5,"3,195.1","1,078.2",0.1,"6,648.6",-2.0,0.2,0.9,"1,125.3","2,460.5",0.6,0.0,0.1,-22.4,0.0,0.0,0.0,0.7,-1.6,0.1,0.2,15.5,0.0,0.0,0.0,0.0,15.2,0.0,0.0
4/01/2024 - 6,0.4,"3,594.0","1,090.5",4.1,"6,075.7",2.5,0.2,1.9,952.9,"2,777.2",0.7,0.1,0.1,65.2,10.7,0.0,0.2,1.5,158.2,0.1,-0.4,15.5,0.1,0.0,0.0,0.0,18.7,0.1,0.0
4/01/2024 - 7,0.4,"3,053.8","1,041.3",34.4,"6,383.7",22.9,0.4,0.9,"1,079.1","2,377.3",1.6,0.2,0.1,710.7,155.1,0.4,0.1,3.5,0.6,0.1,-0.4,15.3,0.0,0.0,0.0,0.0,21.2,0.1,0.0
4/01/2024 - 8,0.4,"3,453.9","1,088.6",0.9,"6,543.9",-1.5,0.3,1.0,"1,171.1","2,529.1",0.5,0.0,0.2,19.6,63.9,0.0,0.1,0.9,8.6,0.1,-0.1,16.2,-0.1,0.0,0.0,-0.1,18.0,0.0,0.0
