ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 - 68,0.0,"2,283.5",979.6,15.9,"7,552.8",2.0,-0.2,0.5,"1,735.9","2,983.3",0.8,0.3,0.1,"38,259.9","1,945.3",3.2,0.2,0.1,41.0,0.8,0.4,22.3,0.6,0.9,0.0,0.1,157.1,0.1,0.0
12/16/2024 - 1,0.1,"3,061.8","1,143.9",25.9,"7,372.8",28.6,-0.2,0.3,"1,406.5","2,681.5",1.3,0.1,0.0,449.3,59.3,0.8,0.1,1.7,3.3,0.1,0.3,17.6,0.2,0.2,0.0,0.0,21.6,0.4,0.0
12/16/2024 - 2,0.1,"3,737.2","1,156.1",13.7,"7,387.0",1.3,-0.1,0.4,"1,133.7","2,733.7",0.6,0.0,0.0,101.1,1.5,0.0,0.0,1.1,0.8,0.1,0.3,17.4,0.1,0.0,0.0,0.0,15.2,0.3,0.0
12/16/2024 - 3,0.1,"3,113.1","1,169.2",22.7,"7,542.8",27.7,0.2,0.2,"1,403.2","2,731.2",0.9,0.1,0.1,380.9,59.4,0.1,0.0,1.7,0.8,0.1,0.3,17.8,0.1,0.0,0.0,0.0,21.7,0.3,0.0
12/16/2024 - 4,0.1,"3,835.0","1,169.1",11.5,"7,558.3",0.6,0.0,0.3,"1,185.9","2,753.3",0.4,0.0,0.0,81.2,0.9,0.0,0.1,1.2,0.7,0.1,0.2,17.4,0.0,0.0,0.0,0.0,14.2,0.2,0.0
12/16/2024 - 5,0.1,"3,118.7","1,172.5",32.6,"7,586.8",28.1,0.2,0.2,"1,397.2","2,719.9",0.8,0.1,0.1,381.0,60.2,0.1,0.1,1.8,1.1,0.1,0.1,17.9,0.0,0.0,0.0,0.0,21.7,0.4,0.0
12/16/2024 - 6,0.0,"3,545.6","1,157.5",11.4,"7,405.3",0.9,0.1,0.2,"1,257.6","2,736.0",0.4,0.0,0.0,76.4,0.8,0.0,0.0,1.1,0.3,0.1,0.2,17.6,0.0,0.0,0.0,0.0,15.5,0.2,0.0
12/16/2024 - 7,0.0,"3,066.7","1,153.7",26.9,"7,455.4",27.7,0.2,0.0,"1,373.9","2,685.2",0.7,0.1,0.1,365.3,58.3,0.1,0.1,1.7,1.2,0.1,0.0,17.7,0.0,0.0,0.0,0.0,21.7,0.3,0.0
