ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/12/2024 - 1,0.5,"3,184.0","1,114.2",27.9,"6,038.3",16.9,1.1,1.0,"1,187.2","2,779.9",1.3,0.3,0.1,590.5,29.0,0.1,0.1,1.3,0.6,0.1,-0.4,18.3,0.0,0.0,0.0,0.0,22.9,0.1,0.1
08/12/2024 - 2,0.6,"3,885.8","1,138.1",11.8,"6,057.5",1.6,1.2,1.2,"1,404.5","2,772.6",0.8,0.1,0.1,158.5,7.7,0.1,0.3,1.2,2.2,0.1,-0.3,17.8,-0.1,0.0,0.0,0.0,13.7,0.1,0.1
08/12/2024 - 3,0.5,"3,185.5","1,131.1",27.2,"6,034.1",15.3,1.2,0.9,"1,189.5","2,754.5",1.1,0.2,0.1,595.4,28.8,0.2,0.1,1.3,0.6,0.1,-0.5,18.2,-0.1,0.0,0.0,0.0,23.4,0.1,0.0
08/12/2024 - 4,0.5,"3,801.9","1,159.0",13.3,"6,207.0",2.7,1.3,1.0,"1,139.5","2,834.4",0.7,0.1,0.1,159.7,6.3,0.1,0.1,1.1,1.2,0.0,-0.6,17.8,-0.2,0.0,0.0,0.0,15.0,0.1,0.0
08/12/2024 - 5,0.4,"3,202.7","1,214.5",21.8,"7,550.5",31.8,1.3,1.0,"1,263.3","3,108.5",1.0,0.1,0.1,"1,798.0",630.9,1.3,0.2,0.9,1.2,0.0,-0.6,21.6,-0.2,0.0,0.0,0.0,44.7,0.1,0.0
08/12/2024 - 6,0.5,"3,786.0","1,209.0",8.0,"7,514.6",-0.2,1.4,1.1,"1,357.0","3,162.5",0.8,0.0,0.1,465.9,622.9,1.2,0.1,0.6,0.7,0.0,-0.7,21.2,-0.2,0.0,0.0,0.0,37.1,0.1,0.0
08/12/2024 - 7,0.4,"3,114.8","1,217.0",18.8,"8,098.4",18.5,1.6,0.9,"1,242.9","3,121.0",1.0,0.1,0.1,"2,856.8",779.2,1.5,0.2,1.0,1.2,0.0,-0.8,21.9,-0.2,0.0,0.0,0.0,48.9,0.1,0.0
08/12/2024 - 8,0.4,"3,893.8","1,241.7",8.0,"8,092.0",-1.3,1.7,1.1,"1,372.6","3,289.3",0.8,0.0,0.1,"1,008.7",777.3,1.4,0.1,0.4,0.7,0.0,-0.6,21.8,-0.2,0.0,0.0,0.0,44.0,0.0,0.0
