No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,machine blank,blank,65,3123,0.035,1.913,1,1,0,0,54.2004,,Npe,1/23/23,11:26:05 AM
2,40,50,machine blank,blank,48,3173,0.022,1.942,1,1,0,0,88.275,,,1/23/23,11:33:41 AM
3,41,50,machine blank,blank,67,89,0.037,0.034,1,1,0,0,0.9207,,Cu,1/23/23,11:41:18 AM
4,2,50,crucible blank,blank,117,179,0.077,0.069,1,1,0,0,0.8955,,Cu,1/23/23,11:48:44 AM
5,3,50,crucible blank,blank,96,125,0.061,0.048,1,1,0,0,0.7935,,Cu,1/23/23,11:56:09 AM
6,4,10.48,RunIn,very low,3451,12494,11.759,36.775,1,1,0,0,3.1274,,,1/23/23,12:06:43 PM
7,5,9.82,aspartic acid,very low,3079,11401,10.52,36.06,0.9333,1.0059,0,0,3.4278,,,1/23/23,12:17:21 PM
8,6,10.16,aspartic acid,very low,3346,12333,10.52,36.06,0.8929,0.9629,0,0,3.4278,,,1/23/23,12:27:57 PM
9,7,9.93,aspartic acid,very low,3167,11667,10.52,36.06,0.919,0.9942,0,0,3.4278,,,1/23/23,12:38:32 PM
10,8,20,f22jul19_8m_f2,very low,6676,29439,10.622,44.603,0.9151,0.9877,0,0,4.199,,,1/23/23,1:48:39 PM
11,9,20,b29apr19_10m_r1f2,very low,6146,8806,9.802,13.471,0.9151,0.9877,0,0,1.3743,,,1/23/23,1:59:14 PM
12,10,20,f11oct19_4m_f2,very low,5478,6327,8.769,9.733,0.9151,0.9877,0,0,1.1099,,,1/23/23,2:09:48 PM
13,11,20,b22aug19_5m_f1,very low,5782,6848,9.24,10.519,0.9151,0.9877,0,0,1.1383,,,1/23/23,2:20:25 PM
14,12,20,f19aug19_8m_f2,very low,5865,13498,9.368,20.548,0.9151,0.9877,0,0,2.1933,,,1/23/23,2:31:03 PM
15,13,20,f5aug19_8m_f2,very low,5886,11174,9.4,17.043,0.9151,0.9877,0,0,1.813,,,1/23/23,2:41:40 PM
16,14,20,f19aug19_4m_f1,very low,5368,10243,8.6,15.638,0.9151,0.9877,0,0,1.8184,,,1/23/23,2:52:21 PM
17,15,20,f27may19_4m_f2,very low,6809,12115,10.827,18.462,0.9151,0.9877,0,0,1.7051,,,1/23/23,3:03:00 PM
18,16,20,f23oct19_4m_f1,very low,4763,12704,7.665,19.35,0.9151,0.9877,0,0,2.5244,two different colors,,1/23/23,3:13:40 PM
19,17,20,f13may19_4m_f1,very low,5745,7895,9.183,12.098,0.9151,0.9877,0,0,1.3174,,,1/23/23,3:24:19 PM
20,18,10.15,aa as unknown,very low,3339,12237,10.769,36.739,0.9151,0.9877,0,0,3.4115,,,1/23/23,3:35:00 PM
21,19,20,f7jun21_8m_f3,very low,6045,5346,9.647,7.695,0.9151,0.9877,0,0,0.7976,,,1/23/23,3:45:40 PM
22,20,20,f21jun21_8m_f3,very low,8810,25772,13.921,39.067,0.9151,0.9877,0,0,2.8064,,,1/23/23,3:56:26 PM
23,21,20,f9jul21_8m_f3,very low,6704,14898,10.665,22.659,0.9151,0.9877,0,0,2.1246,,,1/23/23,4:07:06 PM
24,22,20,b28jun21_10m_f3,very low,7704,17089,12.212,25.965,0.9151,0.9877,0,0,2.1263,,,1/23/23,4:17:52 PM
25,23,20,f21jul21_8m_f3,very low,3623,9380,5.905,14.337,0.9151,0.9877,0,0,2.428,,,1/23/23,4:28:37 PM
26,24,20,f21jul21_4m_f3,very low,5603,13260,8.964,20.188,0.9151,0.9877,0,0,2.2523,,,1/23/23,4:39:24 PM
27,25,20,b12jul21_10m_f3,very low,4806,12302,7.731,18.743,0.9151,0.9877,0,0,2.4243,,,1/23/23,4:50:08 PM
28,26,20,f9jul21_4m_f3,very low,5651,18349,9.037,27.866,0.9151,0.9877,0,0,3.0835,,,1/23/23,5:00:58 PM
29,27,20,f21jun21_4m_f3,very low,5557,7353,8.892,11.281,0.9151,0.9877,0,0,1.2686,,,1/23/23,5:11:43 PM
30,28,20,f7jun21_4m_f3,very low,4915,4780,7.9,6.985,0.9151,0.9877,0,0,0.8842,,,1/23/23,5:22:27 PM
31,29,9.87,aa as unknown,very low,3198,11809,10.635,36.473,0.9151,0.9877,0,0,3.4297,,,1/23/23,5:33:11 PM
32,30,598.5,ref zzyzx,very low,545,4778,0.032,0.233,0.9151,0.9877,0,0,7.308,,,1/23/23,5:43:56 PM
33,31,599.36,ref zzyzx,very low,713,4749,0.042,0.232,0.9151,0.9877,0,0,5.5208,,,1/23/23,5:55:32 PM
34,32,603.66,ref zzyzx,very low,1608,4694,0.093,0.228,0.9151,0.9877,0,0,2.4609,,,1/23/23,6:07:46 PM
35,33,9.62,aa as unknown,very low,3667,11495,12.416,36.436,0.9151,0.9877,0,0,2.9347,,,1/23/23,6:18:35 PM
36,34,0,,,0,0,0,0,0.9151,0.9877,0,0,0,,,,
