No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,machine blank,blank,0,720,0,0.384,1,1,0,0,0,,Nnp,1/24/23,12:22:51 PM
2,2,50,machine blank,blank,70,8240,0.039,5.11,1,1,0,0,129.8375,,,1/24/23,12:30:20 PM
3,3,50,crucible blank,very low,52,143,0.026,0.055,1,1,0,0,2.1548,,Cu,1/24/23,12:40:53 PM
4,4,9.93,RunIn,very low,3035,11912,10.998,37.023,1,1,0,0,3.3665,,,1/24/23,12:51:34 PM
5,5,10.29,aspartic acid,very low,3028,11993,10.52,36.06,0.9934,1.0025,0,0,3.4278,,,1/24/23,1:02:12 PM
6,6,9.88,aspartic acid,very low,3132,11697,10.52,36.06,0.924,0.9867,0,0,3.4278,,,1/24/23,1:12:51 PM
7,7,10.04,aspartic acid,very low,3184,11955,10.52,36.06,0.9247,0.9813,0,0,3.4278,,,1/24/23,1:23:27 PM
8,8,20,b23aug21_10m_f3,very low,7241,12698,11.901,19.39,0.9474,0.9902,0,0,1.6293,,,1/24/23,1:34:06 PM
9,9,20,f16aug21_8m_f3,very low,8289,27697,13.58,42.079,0.9474,0.9902,0,0,3.0987,,,1/24/23,1:44:42 PM
10,10,20,b9aug21_10m_f3,very low,9170,9319,14.99,14.281,0.9474,0.9902,0,0,0.9527,,,1/24/23,1:55:21 PM
11,11,20,f2aug21_8m_f3,very low,8573,19584,14.033,29.804,0.9474,0.9902,0,0,2.1239,,,1/24/23,2:06:03 PM
12,12,20,b26jul21_10m_f3,very low,8401,13858,13.757,21.143,0.9474,0.9902,0,0,1.5369,,,1/24/23,2:16:46 PM
13,13,20,b26jul21_5m_f3,very low,7843,11982,12.865,18.307,0.9474,0.9902,0,0,1.423,,,1/24/23,2:27:20 PM
14,14,20,f2aug21_4m_r1f4_r2f3,very low,8198,13637,13.434,20.809,0.9474,0.9902,0,0,1.5491,,,1/24/23,2:38:02 PM
15,15,20,b9aug21_5m_f3,very low,6759,9561,11.13,14.646,0.9474,0.9902,0,0,1.316,,,1/24/23,2:48:40 PM
16,16,20,f16aug21_4m_f3,very low,9995,11867,16.312,18.134,0.9474,0.9902,0,0,1.1117,,,1/24/23,2:59:20 PM
17,17,20,b23aug21_5m_f3,very low,8276,12710,13.557,19.408,0.9474,0.9902,0,0,1.4316,,,1/24/23,3:10:00 PM
18,18,10.06,aa as unknown,very low,3294,12072,11.107,36.666,0.9474,0.9902,0,0,3.3012,,,1/24/23,3:20:41 PM
19,19,20,f31aug21_8m_f3,very low,8372,14285,13.712,21.789,0.9474,0.9902,0,0,1.589,,,1/24/23,3:31:19 PM
20,20,20,b6sep21_10m_f3,very low,7566,8350,12.422,12.817,0.9474,0.9902,0,0,1.0318,,,1/24/23,3:42:01 PM
21,21,20,f31aug21_4m_f3,very low,7444,10757,12.225,16.455,0.9474,0.9902,0,0,1.346,,,1/24/23,3:52:41 PM
22,22,20,b6sep21_5m_f3,very low,2909,9566,4.971,14.655,0.9474,0.9902,0,0,2.9481,,,1/24/23,4:03:28 PM
23,23,20,f14sep21_8m_f3,very low,5878,18737,9.72,28.523,0.9474,0.9902,0,0,2.9344,,,1/24/23,4:14:17 PM
