"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP","Flag_TN","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4","Flag_SRP","Flag_NO3NO2","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC","Flag_DIC","Flag_DOC","Flag_DN"
"1","BVR","50",2021-03-08 10:28:00,0.1,1,16.1,217,0,0,3,8,2,1,0,3,3,2.1,2.3,4.4,0.23,0,0,0,0
"2","BVR","50",2021-03-08 10:28:00,3,1,15.9,178,0,0,3,8,2,1,0,3,3,2.1,2.2,4.3,0.15,0,0,0,0
"3","BVR","50",2021-03-08 10:38:00,6,1,15.8,179,0,0,3,8,1,2,0,3,3,2,2.4,4.4,0.18,0,0,0,0
"4","BVR","50",2021-03-08 10:49:00,9,1,14.7,200,0,0,3,8,1,2,0,3,3,2.4,2.4,4.8,0.16,0,0,0,0
"5","BVR","50",2021-03-08 10:58:00,11,1,64.8,378,0,7,73,7,6,4,3,0,0,2,2.3,4.3,0.16,0,0,0,0
"6","BVR","50",2021-04-05 11:00:00,0.1,1,21.5,251,0,0,3,4,5,1,3,0,3,2.8,2.2,5,0.15,0,0,0,0
"7","BVR","50",2021-04-05 11:07:00,3,1,21.8,196,0,0,3,5,4,3,3,0,3,2.2,2.4,4.6,0.15,0,0,0,0
"8","BVR","50",2021-04-05 11:08:00,6,1,19.7,208,0,0,3,10,0,6,0,3,0,2.4,2.2,4.6,0.22,0,0,0,0
"9","BVR","50",2021-04-05 11:15:00,9,1,20,198,0,0,3,9,6,2,0,0,3,1.9,2.3,4.2,0.14,0,0,0,0
"10","BVR","50",2021-04-05 11:26:00,11,1,24.2,237,0,0,3,6,12,4,3,3,0,2.1,2.4,4.5,0.18,0,0,0,0
"11","BVR","50",2021-05-03 10:15:00,0.1,1,18.9,184,0,0,3,3,12,1,3,3,3,2,2.3,4.3,0.17,0,0,0,0
"12","BVR","50",2021-05-03 10:26:00,3,1,17.5,193,0,0,3,8,1,0,0,3,3,2.3,2.5,4.8,0.15,0,0,0,0
"13","BVR","50",2021-05-03 10:39:00,6,1,16.9,218,0,0,3,5,4,1,3,0,3,1.8,2.3,4.1,0.17,0,0,0,0
"14","BVR","50",2021-05-03 10:43:00,9,1,17.4,189,0,0,3,14,6,0,3,0,3,1.8,2.4,4.1,0.16,0,0,0,0
"15","BVR","50",2021-05-03 11:01:00,11,1,14.9,248,0,0,3,91,3,5,0,0,0,1.4,2.9,4.3,0.21,0,0,0,0
"16","BVR","50",2021-05-14 10:07:00,0.1,1,14.7,190,0,0,3,2,1,0,3,3,3,2,2.4,4.4,0.13,0,0,0,0
