"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"etoh_blank","Unknown",0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.001,""
"before_1","Unknown",0.001,0.100,0.100,0.098,0.037,0.024,0.042,0.128,""
"after_1","Unknown",0.001,0.063,0.062,0.060,0.022,0.011,0.038,0.140,""
"before_2","Unknown",0.004,0.094,0.094,0.093,0.037,0.025,0.051,0.126,""
"after_2","Unknown",0.004,0.062,0.061,0.059,0.024,0.013,0.044,0.136,""
"before_3","Unknown",0.002,0.048,0.048,0.048,0.021,0.014,0.024,0.064,""
"after_3","Unknown",0.003,0.030,0.030,0.029,0.013,0.008,0.020,0.068,""
"before_4","Unknown",0.003,0.048,0.048,0.047,0.023,0.015,0.028,0.072,""
"after_4","Unknown",0.003,0.030,0.030,0.030,0.015,0.008,0.024,0.077,""
"before_5","Unknown",0.002,0.117,0.118,0.117,0.042,0.028,0.047,0.133,""
"after_5","Unknown",0.002,0.071,0.071,0.069,0.025,0.013,0.042,0.149,""
"before_6","Unknown",0.004,0.161,0.161,0.158,0.047,0.037,0.140,0.183,""
"after_6","Unknown",0.004,0.093,0.092,0.089,0.026,0.016,0.134,0.208,""
"before_7","Unknown",0.002,0.103,0.103,0.102,0.039,0.025,0.043,0.129,""
"after_7","Unknown",0.003,0.067,0.066,0.065,0.025,0.013,0.039,0.140,""
"before_8","Unknown",0.003,0.037,0.037,0.037,0.017,0.011,0.021,0.062,""
"after_8","Unknown",0.003,0.025,0.025,0.024,0.011,0.007,0.018,0.063,""
"before_9","Unknown",0.005,0.171,0.170,0.168,0.059,0.045,0.088,0.211,""
"before_9_2","Unknown",0.005,0.172,0.171,0.169,0.060,0.046,0.089,0.212,""
"after_9","Unknown",0.006,0.107,0.105,0.103,0.037,0.022,0.083,0.239,""
"etoh_blank_2","Unknown",0.003,0.004,0.004,0.004,0.005,0.005,0.007,0.009,""
"before_10","Unknown",0.000,0.126,0.126,0.123,0.036,0.027,0.096,0.143,""
"after_10","Unknown",0.000,0.072,0.071,0.069,0.019,0.009,0.090,0.161,""
"before_11","Unknown",-0.002,0.018,0.018,0.017,0.005,0.001,0.004,0.022,""
"after_11","Unknown",-0.002,0.009,0.009,0.009,0.001,-0.002,0.003,0.023,""
"before_12","Unknown",-0.003,0.028,0.028,0.027,0.009,0.004,0.009,0.038,""
"after_12","Unknown",-0.002,0.017,0.017,0.016,0.005,0.000,0.006,0.041,""
"before_13","Unknown",-0.005,-0.006,-0.006,-0.006,-0.007,-0.007,-0.009,-0.011,""
"after_13","Unknown",-0.005,-0.006,-0.006,-0.006,-0.006,-0.007,-0.009,-0.012,""
"before_14","Unknown",-0.002,0.080,0.079,0.078,0.031,0.017,0.033,0.105,""
"after_14","Unknown",-0.002,0.050,0.050,0.049,0.018,0.006,0.026,0.113,""
"before_16","Unknown",-0.002,0.279,0.278,0.272,0.072,0.053,0.234,0.285,""
"after_16","Unknown",-0.002,0.159,0.156,0.151,0.036,0.017,0.218,0.336,""
"before_15","Unknown",-0.002,0.104,0.105,0.103,0.033,0.023,0.040,0.122,""
"after_15","Unknown",-0.002,0.105,0.105,0.103,0.033,0.023,0.040,0.123,""
"after_15_coorect","Unknown",-0.002,0.062,0.061,0.059,0.017,0.007,0.037,0.139,""
"before_17","Unknown",-0.003,0.096,0.096,0.093,0.025,0.017,0.082,0.117,""
"after_17","Unknown",-0.002,0.056,0.055,0.053,0.012,0.004,0.077,0.131,""
"before_18","Unknown",-0.004,0.018,0.018,0.018,0.004,-0.000,0.003,0.020,""
"after_18","Unknown",-0.004,0.009,0.009,0.009,0.000,-0.003,0.001,0.023,""
"before_19","Unknown",-0.002,0.037,0.038,0.037,0.014,0.007,0.021,0.049,""
"after_19","Unknown",-0.002,0.022,0.022,0.021,0.007,0.000,0.016,0.052,""
"before_20","Unknown",-0.003,0.099,0.099,0.098,0.033,0.018,0.030,0.120,""
"after_20","Unknown",-0.003,0.063,0.062,0.061,0.019,0.006,0.026,0.131,""
"before_21","Unknown",-0.004,0.031,0.031,0.030,0.006,0.002,0.018,0.044,""
"after_21","Unknown",-0.004,0.019,0.019,0.018,0.003,-0.002,0.016,0.045,""
"before_22","Unknown",-0.001,0.038,0.038,0.037,0.015,0.008,0.021,0.047,""
"after_22","Unknown",-0.001,0.024,0.023,0.023,0.007,0.001,0.016,0.051,""
"before_23","Unknown",0.000,0.043,0.043,0.043,0.018,0.011,0.023,0.068,""
"after_23","Unknown",-0.000,0.027,0.027,0.026,0.010,0.004,0.018,0.070,""
"before_24","Unknown",-0.004,0.014,0.014,0.013,0.002,-0.001,0.003,0.017,""
"after_24","Unknown",-0.004,0.007,0.007,0.007,-0.001,-0.003,0.001,0.018,""
"before_25","Unknown",-0.003,0.043,0.042,0.041,0.010,0.005,0.034,0.057,""
"after_25","Unknown",-0.003,0.026,0.025,0.024,0.005,-0.001,0.029,0.061,""
"before_26","Unknown",-0.001,0.034,0.034,0.033,0.012,0.008,0.023,0.064,""
"after_26","Unknown",-0.001,0.022,0.022,0.021,0.007,0.003,0.020,0.065,""
"before_27","Unknown",-0.003,0.051,0.051,0.050,0.012,0.007,0.042,0.058,""
"after_27","Unknown",-0.003,0.029,0.029,0.028,0.005,-0.000,0.039,0.066,""
"before_28","Unknown",-0.002,0.034,0.034,0.033,0.011,0.006,0.011,0.042,""
"after_28","Unknown",-0.002,0.020,0.020,0.020,0.006,0.000,0.008,0.045,""
"before_29","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.007,-0.008,""
"after_29","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.006,-0.008,-0.009,""
"before_30","Unknown",-0.001,0.096,0.096,0.094,0.035,0.021,0.044,0.121,""
"after_30","Unknown",-0.000,0.061,0.060,0.059,0.021,0.008,0.037,0.132,""
"before_31","Unknown",-0.001,0.047,0.047,0.046,0.017,0.010,0.017,0.055,""
"after_31","Unknown",-0.001,0.028,0.027,0.027,0.009,0.003,0.014,0.061,""
"before_32","Unknown",-0.001,0.024,0.024,0.023,0.008,0.005,0.013,0.040,""
"after_32","Unknown",-0.001,0.014,0.014,0.014,0.004,0.001,0.011,0.042,""
"before_33","Unknown",-0.004,0.095,0.095,0.093,0.025,0.016,0.082,0.117,""
"after_33","Unknown",-0.003,0.055,0.055,0.053,0.012,0.003,0.077,0.130,""
"before_34","Unknown",-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.006,-0.007,""
"after_34","Unknown",-0.003,-0.005,-0.005,-0.005,-0.005,-0.005,-0.007,-0.009,""
