Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOsat_percent,Cond_uScm,SpCond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_DateTime,Flag_Temp_C,Flag_DO_mgL,Flag_DOsat_percent,Flag_Cond_uScm,Flag_SpCond_uScm,Flag_PAR_umolm2s,Flag_ORP_mV,Flag_pH
BVR,50,2025-08-04 10:34:00,6.5,14.6,NA,NA,NA,NA,NA,NA,6.64,0,7,1,1,1,1,1,1,0
BVR,50,2025-08-18 09:42:00,0.1,27.8,NA,NA,NA,NA,NA,NA,8.47,0,7,1,1,1,1,1,1,0
BVR,50,2025-08-18 09:45:00,3,21.2,NA,NA,NA,NA,NA,NA,6.36,0,7,1,1,1,1,1,1,0
BVR,50,2025-08-18 09:59:00,5,16.3,NA,NA,NA,NA,NA,NA,6.31,0,7,1,1,1,1,1,1,0
BVR,50,2025-08-18 10:14:00,6,15.8,NA,NA,NA,NA,NA,NA,6.72,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-01 10:30:00,0.1,21.5,NA,NA,NA,NA,NA,NA,7.05,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-01 10:50:00,3,21,NA,NA,NA,NA,NA,NA,6.46,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-01 10:50:00,5,17.6,NA,NA,NA,NA,NA,NA,6.45,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-01 11:05:00,6,14.9,NA,NA,NA,NA,NA,NA,6.42,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-15 10:45:00,3,20.7,NA,NA,NA,NA,NA,NA,6.06,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-15 10:55:00,0.1,23,NA,NA,NA,NA,NA,NA,8.1,0,7,1,1,1,1,1,1,0
BVR,50,2025-09-15 11:20:00,5,NA,NA,NA,NA,NA,NA,NA,6.08,0,1,1,1,1,1,1,1,0
BVR,50,2025-11-03 10:30:00,0.1,11.4,NA,NA,NA,NA,NA,NA,6.88,0,7,1,1,1,1,1,1,0
BVR,50,2025-11-03 10:45:00,3,10.9,NA,NA,NA,NA,NA,NA,6.6,0,7,1,1,1,1,1,1,0
BVR,50,2025-11-03 10:50:00,5,10.5,NA,NA,NA,NA,NA,NA,6.87,0,7,1,1,1,1,1,1,0
BVR,50,2025-11-03 11:00:00,6,10.7,NA,NA,NA,NA,NA,NA,6.81,0,7,1,1,1,1,1,1,0
CCR,92,2025-02-26 11:40:00,0.1,5.1,12.47,96.1,NA,133.9,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-02-26 11:40:00,0.5,5,12.5,95.6,NA,134.4,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-02-26 11:40:00,1,4.8,12.62,96.2,NA,134.7,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-02-26 11:40:00,1.5,4.8,12.65,96.8,NA,136,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-02-26 11:40:00,2,4.7,12.7,96.4,NA,136.1,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-02-26 11:40:00,2.5,4.7,12.71,96.2,NA,136.2,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-02-26 11:55:00,0.1,5.7,12.04,94,NA,55.7,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-02-26 11:55:00,0.5,5.6,12.23,96.3,NA,100.5,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-02-26 11:55:00,1,5.2,12.47,97.2,NA,135.5,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-02-26 11:55:00,1.5,5.1,12.58,96.3,NA,135.7,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-02-26 11:55:00,2,5.1,12.58,96.8,NA,135.2,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-02-26 12:12:00,0.1,5.5,12.56,97.7,NA,25.1,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-02-26 12:12:00,0.5,5.5,12.47,96.4,NA,40.8,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-02-26 12:12:00,1,5.5,12.07,94.6,NA,123.8,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,100,2025-02-26 12:35:00,0.1,6.5,12.38,98.8,NA,23.6,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,101,2025-02-26 12:55:00,0.1,6.9,12.18,98.8,NA,23.5,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-04-16 11:15:00,0.1,13.3,10.43,97.3,NA,120.4,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-04-16 11:15:00,0.5,13.1,10.46,96.8,NA,120.9,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-04-16 11:15:00,1,13.1,10.49,97.8,NA,120.7,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-04-16 11:15:00,1.5,12.9,10.46,96.9,NA,120.4,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,92,2025-04-16 11:15:00,2,12.9,10.47,96.8,NA,120,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-04-16 11:35:00,0.1,13.3,10.21,95.4,NA,115.8,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-04-16 11:35:00,0.5,12.2,10.23,93.4,NA,91.2,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,96,2025-04-16 11:35:00,1,11.5,10.18,91.8,NA,58.1,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-04-16 12:02:00,0.1,11.3,10.27,92.1,NA,38.6,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-04-16 12:02:00,0.5,11.3,10.31,92,NA,33.9,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,98,2025-04-16 12:02:00,1,11.2,10.4,92.8,NA,33.4,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,100,2025-04-16 12:30:00,0.1,11.9,10.4,93.8,NA,30.4,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,101,2025-04-16 12:40:00,0.1,12.3,10.59,96.8,NA,29.5,NA,NA,NA,0,0,0,0,1,0,1,1,1
