Reservoir, Site, Depth, DataStream, TIMESTAMP_start, TIMESTAMP_end, start_parameter, end_parameter , flag, update_value, notes
FCR,100,0.1,YSI,8/15/16 12:00,8/15/16 12:00,DOsat_percent,NA,6, NA,value is suspect and should be changed to NA
FCR,50,2.4,YSI,8/17/20 12:21,8/17/20 12:21,DO_mgL,NA,6,5.82,fix digitizing error
FCR,50,4,YSI,5/25/20 11:05,5/25/20 11:05,DO_mgL,NA,6,5.05,fix digitizing error
FCR,50,4,YSI,5/25/20 11:05,5/25/20 11:05,DOsat_percent,NA,6,46.6,fix digitizing error
FCR,100,0.1,YSI,7/3/23 12:00,7/3/23 12:00,DO_mgL,NA,6,8.76,fix digitizing error
FCR,100,0.1,YSI,7/3/23 12:00,7/3/23 12:00,DOsat_percent,NA,6,96.8,fix digitizing error
FCR,100,0.1,YSI,7/10/23 15:40,7/10/23 15:40,DO_mgL,NA,6,8.3,fix digitizing error
FCR,100,0.1,YSI,7/10/23 15:40,7/10/23 15:40,DOsat_percent,NA,6,94.5,fix digitizing error
BVR,51,0.1,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,1,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,2,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,3,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,4,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,5,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,5.2,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,5.3,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,6,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,7,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,8,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,9,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,10,YSI,7/7/21 11:37,7/7/21 11:37,Site,NA,6,50,fix digitizing error
BVR,51,0.1,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,1,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,2,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,3,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,4,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,5,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,5.3,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,6,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,7,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,8,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,9,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,51,10,YSI,7/8/21 11:45,7/8/21 11:45,Site,NA,6,50,fix digitizing error
BVR,50,9.7,YSI,8/6/20 11:42,8/6/20 11:42,Temp_C,NA,6,9.7,fix digitizing error
BVR,50,9.7,YSI,8/6/20 11:42,8/6/20 11:42,DO_mgL,NA,6,0.52,fix digitizing error
BVR,50,9.7,YSI,8/6/20 11:42,8/6/20 11:42,DOsat_percent,NA,6,4.5,fix digitizing error
BVR,50,9.7,YSI,8/6/20 11:42,8/6/20 11:42,Depth_m,NA,6,11,fix digitizing error
