Reservoir,Date,Site,Duration_days,Depth_m,CombinedXSA_m2,Filter1ID,Filter2ID,CombinedCollectionVol_L,CombinedFilterVol_L,CombinedSedMass_g,ICPTFe_mgL,ICPTMn_mgL,AcidVol_L,DilutionFactor,TFe_g,TMn_g,TFeFlux_gm2d,TMnFlux_gm2d,TOC_g,TN_g,TOCFlux_gm2d,TNFlux_gm2d,Flag_Filter2ID,Flag_CombinedCollectionVol_L,Flag_CombinedSedMass_g,Flag_TOC_g,Flag_TN_g,Flag_ICPTFe_mgL,Flag_ICPTMn_mgL,Flag_Duration_days
FCR,5/21/18,50,14,4,0.008143,F_sed_4m_R1_F2_21May18,F_sed_4m_R2_F5_21May18,3.4,0.399,0.02371,NA,NA,NA,NA,NA,NA,NA,NA,0.02673985,0.016198997,0.234555969,0.142093976,1,3,1,1,1,2,2,2
FCR,5/21/18,50,14,4,0.008143,F_Sed_4m_R1_F1_21May18,F_Sed_4m_R2_F4_21May18,3.4,0.397,0.02341,8.329209073,0.607973432,0.01,20,0.014266655,0.001041365,0.125143904,0.009134621,NA,NA,NA,NA,1,3,1,2,2,1,1,2
FCR,5/28/18,50,14,8,0.008143,F_Sed_8m_R1_F1_28May18,F_Sed_8m_R2_F3_28May18,3.4,0.3,0.01534,7.076251944,0.846134473,0.01,20,0.016039504,0.001917905,0.140694939,0.016823431,NA,NA,NA,NA,1,3,1,2,2,1,1,2
FCR,5/28/18,50,14,8,0.008143,F_sed_8m_R2_F4_28May18,F_sed_8m_R1_F2_28May18,3.4,0.298,0.01408,NA,NA,NA,NA,NA,NA,NA,NA,0.021976779,0.020183221,0.192775377,0.177042696,1,3,1,1,1,2,2,1
FCR,6/4/18,50,14,4,0.008143,F_sed_4m_R2_F4_04Jun18,F_sed_4m_R1_F2_04Jun18,3.4,0.2,0.02649,NA,NA,NA,NA,NA,NA,NA,NA,0.0523056,0.0300322,0.458813003,0.263435729,1,3,1,1,1,2,2,1
FCR,6/4/18,50,14,4,0.008143,F_Sed_4m_R1_F1_04Jun18,F_Sed_4m_R2_F3_04Jun18,3.4,0.201,0.02344,9.000364307,0.876630488,0.01,20,0.030448994,0.002965715,0.26709175,0.026014588,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/11/18,50,14,8,0.008143,F_sed_8m_R1_F2_11Jun18,F_sed_8m_R2_F4_11Jun18,3.4,0.202,0.0173,NA,NA,NA,NA,NA,NA,NA,NA,0.047482178,0.022736238,0.416503028,0.199437182,1,3,1,1,1,2,2,1
FCR,6/11/18,50,14,8,0.008143,F_Sed_8m_R1_F1_11Jun18,F_Sed_8m_R2_F3_11Jun18,3.4,0.199,0.01771,11.51131616,1.001363413,0.01,20,0.039335151,0.003421744,0.345039128,0.030014775,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/25/18,50,21,8,0.008143,F_sed_8m_R2_F8_25Jun18,F_sed_8m_R1_F6_25Jun18,3.4,0.159,0.00985,NA,NA,NA,NA,NA,NA,NA,NA,0.040971069,0.039773585,0.239592692,0.232589983,1,3,1,1,1,2,2,1
FCR,6/25/18,50,21,4,0.008143,F_sed_4m_R2_F4_25Jun18,F_sed_4m_R1_F2_25Jun18,3.4,0.173,0.00668,NA,NA,NA,NA,NA,NA,NA,NA,0.031826358,0.016827052,0.18611579,0.098402087,1,3,1,1,1,2,2,1
