Date,Reservoir,Depth_m,AvgSedFlux_gm2d,TFeFlux_gm2d,TMnFlux_gm2d,TOCFlux_gm2d,TNFlux_gm2d,Flag_AvgSedFlux_gm2d,Flag_TFeFlux_gm2d,Flag_TMnFlux_gm2d,Flag_TOCFlux_gm2d,Flag_TNFlux_gm2d
2018-05-21,FCR,4,1.7654460677796533,0.125143903963804,0.00913462107571267,0.234555969404573,0.142093976366505,4,1,1,1,1
2018-05-28,FCR,8,1.467069124380918,0.140694938731764,0.0168234312112592,0.192775376953825,0.177042696413309,4,1,1,1,1
2018-06-04,FCR,4,3.7140905968220332,0.267091749929247,0.0260145882040992,0.458813003280644,0.263435729197733,4,1,1,1,1
2018-06-11,FCR,8,2.6042132304027366,0.345039128205228,0.0300147745350163,0.416503028173381,0.199437182012266,4,1,1,1,1
2018-06-25,FCR,4,0.7532804461339622,0.116435828324782,0.00989738430877767,0.186115789673298,0.0984020866483125,4,1,1,1,1
2018-06-25,FCR,8,1.5152737215210141,0.422755969206602,0.0727369797121545,0.239592692422881,0.23258998324977,4,1,1,1,1
2018-07-02,FCR,4,1.0919141422045555,0.136325463949644,0.0120858265074298,0.262133412864102,0.388786161646287,4,1,1,1,1
2018-07-09,FCR,8,1.732761555308529,0.29949469906623,0.0679050829035762,0.338592305398151,0.236415150611393,4,1,1,1,1
2018-07-16,FCR,4,0.9654021664337284,0.130012850534241,0.0107510021985777,0.269410478178745,0.386519534745005,4,1,1,1,1
2018-07-23,FCR,8,3.287883043441752,0.772741692201822,0.0995108635124093,0.552526501408679,0.589821026815575,4,1,1,1,1
2018-08-02,BVR,8,2.469672553922512,0.574447576747836,0.00418147539751185,0.395648283821108,0.348552237451212,4,1,1,1,1
2018-08-13,FCR,8,1.4747198985194827,0.31960421983783,0.0107906685963919,0.297284483088241,0.339152844372051,4,1,1,1,1
2018-08-20,FCR,4,0.8884344100861127,0.088165748973436,0.00441433167836734,0.179073197862342,0.181910511764374,4,1,1,1,1
2018-08-27,FCR,8,3.3790635252013126,1.15258171073974,0.0154701573609151,0.5530897118764,0.37999333345029,4,1,1,1,1
2018-09-03,FCR,4,1.0842978777624352,0.179158706009367,0.0111899286608935,0.327518345984046,0.314916639713017,4,1,1,1,1
2018-09-07,BVR,4,1.911475590338994,0.796821887151357,0.00564683277225371,0.651074689864153,0.322236210935633,4,1,1,1,1
2018-09-07,BVR,8,1.0499860974774218,0.0675205875866071,0.0243709802713042,NA,NA,4,1,1,2,2
2018-09-10,FCR,8,16.097333425099603,2.97846242360705,0.0183690482760211,NA,NA,4,1,1,2,2
2018-09-21,BVR,4,2.1433251483100255,0.164471676117411,0.0429806450617397,0.478313087916428,0.332497722894383,4,1,1,1,1
2018-09-21,BVR,8,2.8780196838651957,0.785943327381698,0.00661086935869839,NA,NA,4,1,1,2,2
2018-10-05,BVR,4,1.054418465934707,0.0931578580115131,0.0245414375260958,0.293319415448852,0.290008947211452,4,1,1,1,1
2018-10-05,BVR,8,6.1192930868356425,0.846082928708658,0.00525665309627178,0.576154088933545,0.521717980420374,4,1,1,1,1
2018-10-08,FCR,4,0.2260014786110825,0.0384804243237288,0.00440657154391544,0.0472846568879972,0.0466840049303515,4,1,1,1,1
2018-10-22,FCR,8,1.7277231003744575,0.28771548533062,0.00322843755493281,0.244292010471551,0.135682804785101,4,1,1,1,1
2018-10-29,FCR,4,1.0898634690527818,0.140071791516026,0.0165097897644613,0.136142815479955,0.111062573142113,4,1,1,1,1
2018-10-29,FCR,8,3.528592471928313,0.485927566609004,0.0102393141287261,0.480465254995527,0.660065612883985,4,1,1,1,1
2019-04-29,BVR,5,1.6452927726414155,0.757859871024888,0.0621027883275491,0.253106670643205,0.0892136395267919,4,1,1,1,1
2019-04-29,BVR,10,1.6403220996122876,0.307641495551512,0.0299434988936758,0.267839745501541,0.194890148126056,4,1,1,1,1
2019-04-29,FCR,4,2.505219206680585,0.155649226796572,0.0140709753499338,0.294065016403221,0.131205885276866,4,1,1,1,1
2019-04-29,FCR,8,2.6543393975544287,0.179891286034252,0.0164068987302631,NA,NA,4,1,1,2,2
2019-05-13,FCR,4,1.0811213838353713,0.0867886026973913,0.00885584703156816,0.180405606919177,0.136937071279451,4,1,1,1,1
2019-05-13,FCR,8,1.420369818073367,0.146753304087507,0.0270652015016497,0.215329555621831,0.0982851178049508,4,1,1,1,1
2019-05-16,BVR,5,0.7806880581042439,0.0900948725685837,0.0119934884431702,0.127646883388011,0.0441220329467904,4,1,1,1,1
2019-05-16,BVR,10,1.4890089647550042,0.220143180374594,0.00306943285704987,0.28871423308363,0.112796266732163,4,1,1,1,1
2019-05-27,FCR,4,0.9071478278158863,0.0963003571958864,0.00946653206784358,0.183537130927528,0.107634953772741,4,1,1,1,1
2019-05-27,FCR,8,1.207873546078139,0.207378170477584,0.037388176957341,0.2281911720847,0.10949150014912,4,1,1,1,1
2019-05-30,BVR,5,0.8748384531265535,0.106000940284538,0.00792986233111093,NA,NA,4,1,1,2,2
2019-05-30,BVR,10,1.6030420518938262,0.251912120909238,0.00237177148557425,NA,NA,4,1,1,2,2
2019-06-10,FCR,4,0.9916649850794496,0.112152671021738,0.0103794732435127,0.180196102255949,0.108066113633267,4,1,1,1,1
2019-06-10,FCR,8,1.7148821950492097,0.311388566757823,0.0201401937164671,NA,NA,4,1,1,2,2
2019-06-13,BVR,5,1.101359124025393,0.0844691784199691,0.0146828303298387,0.250615653359465,0.0761705934983597,4,1,1,1,1
2019-06-13,BVR,10,2.226861517049408,0.281541149907948,0.00230416612405012,0.40558455114822545,0.0895615866388309,4,1,1,1,1
2019-06-17,FCR,4,0.9295158564469626,0.115071782773436,0.0187170301698781,0.206779998011731,0.091311263545084,4,1,1,1,1
2019-06-17,FCR,8,4.807634953772741,0.418473862837807,0.124410368727997,NA,NA,4,1,1,2,2
2019-06-20,BVR,5,0.8052490307187589,0.0947795612725834,0.025962057606913,0.153514265831594,0.0619544686350532,4,1,1,1,1
2019-06-20,BVR,10,3.446333300195513,0.495546152244059,0.00416762240419843,NA,NA,4,1,1,2,2
2019-07-08,FCR,4,1.0686947012625512,0.112209448576517,0.0191805715640385,0.253438048845147,0.0764323822778938,4,1,1,1,1
2019-07-08,FCR,8,1.7422208967094146,0.38464088517638,0.0314352849788079,0.270434436822746,0.0850979222586738,4,1,1,1,1
