Reservoir,Date,Site,Duration_days,Depth_m,TrapRep,TrapXSA_m2,TrapVol_L,CollectionVol_L,FilterRep,FilterVol_L,FilterMassPre_g,FilterMassPost_g,SedMass_g,SedFlux_gm2d,FilterID,Flag_CollectionVol_L,Flag_SedMass_g
FCR,5/21/18,50,21,4,1,0.0040715,2,1.7,1,0.2,0.15815,0.16937,0.01122,NA,F_Sed_4m_R1_F1_21May18,2,1
FCR,5/21/18,50,21,4,1,0.0040715,2,1.7,2,0.202,0.16,0.17248,0.01248,NA,F_Sed_4m_R1_F2_21May18,2,1
FCR,5/21/18,50,21,4,2,0.0040715,2,1.7,4,0.197,0.159,0.17119,0.01219,NA,F_Sed_4m_R2_F4_21May18,2,1
FCR,5/21/18,50,21,4,2,0.0040715,2,1.7,5,0.197,0.15643,0.16766,0.01123,NA,F_Sed_4m_R2_F5_21May18,2,1
FCR,5/28/18,50,14,8,1,0.0040715,2,1.7,1,0.151,0.16138,0.16874,0.00736,NA,F_Sed_8m_R1_F1_28May18,2,1
FCR,5/28/18,50,14,8,1,0.0040715,2,1.7,2,0.149,0.15865,0.16623,0.00758,NA,F_Sed_8m_R1_F2_28May18,2,1
FCR,5/28/18,50,14,8,2,0.0040715,2,1.7,3,0.149,0.15971,0.16769,0.00798,NA,F_Sed_8m_R2_F3_28May18,2,1
FCR,5/28/18,50,14,8,2,0.0040715,2,1.7,4,0.149,0.15971,0.16621,0.0065,NA,F_Sed_8m_R2_F4_28May18,2,1
FCR,6/4/18,50,14,4,1,0.0040715,2,1.7,1,0.1,0.16143,0.17385,0.01242,NA,F_Sed_4m_R1_F1_04Jun18,2,1
FCR,6/4/18,50,14,4,1,0.0040715,2,1.7,2,0.099,0.16051,0.17383,0.01332,NA,F_Sed_4m_R1_F2_04Jun18,2,1
FCR,6/4/18,50,14,4,2,0.0040715,2,1.7,3,0.101,0.1585,0.16952,0.01102,NA,F_Sed_4m_R2_F3_04Jun18,2,1
FCR,6/4/18,50,14,4,2,0.0040715,2,1.7,4,0.101,0.15846,0.17163,0.01317,NA,F_Sed_4m_R2_F4_04Jun18,2,1
FCR,6/11/18,50,14,8,1,0.0040715,2,1.7,1,0.1,0.15742,0.16646,0.00904,NA,F_Sed_8m_R1_F1_11Jun18,2,1
FCR,6/11/18,50,14,8,1,0.0040715,2,1.7,2,0.101,0.156,0.16458,0.00858,NA,F_Sed_8m_R1_F2_11Jun18,2,1
FCR,6/11/18,50,14,8,2,0.0040715,2,1.7,3,0.099,0.15608,0.16475,0.00867,NA,F_Sed_8m_R2_F3_11Jun18,2,1
FCR,6/11/18,50,14,8,2,0.0040715,2,1.7,4,0.101,0.1566,0.16532,0.00872,NA,F_Sed_8m_R2_F4_11Jun18,2,1
FCR,6/25/18,50,21,4,1,0.0040715,2,1.7,1,0.085,0.15605,0.15941,0.00336,NA,F_Sed_4m_R1_F1_25Jun18,2,1
FCR,6/25/18,50,21,4,1,0.0040715,2,1.7,2,0.087,0.15558,0.1594,0.00382,NA,F_Sed_4m_R1_F2_25Jun18,2,1
FCR,6/25/18,50,21,4,2,0.0040715,2,1.7,3,0.084,0.15574,0.15866,0.00292,NA,F_Sed_4m_R2_F3_25Jun18,2,1
FCR,6/25/18,50,21,4,2,0.0040715,2,1.7,4,0.086,0.15884,0.1617,0.00286,NA,F_Sed_4m_R2_F4_25Jun18,2,1
FCR,6/25/18,50,14,8,1,0.0040715,2,1.7,5,0.08,0.15834,0.16292,0.00458,NA,F_Sed_8m_R1_F5_25Jun18,2,1
FCR,6/25/18,50,14,8,1,0.0040715,2,1.7,6,0.079,0.15851,0.16272,0.00421,NA,F_Sed_8m_R1_F6_25Jun18,2,1
FCR,6/25/18,50,14,8,2,0.0040715,2,1.7,7,0.079,0.15727,0.16228,0.00501,NA,F_Sed_8m_R2_F7_25Jun18,2,1
FCR,6/25/18,50,21,4,2,0.0040715,2,1.7,8,0.08,0.15858,0.16422,0.00564,NA,F_Sed_4m_R2_F8_25Jun18,2,1
