"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP_ugL","Flag_TN_ugL","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4_ugL","Flag_SRP_ugL","Flag_NO3NO2_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC_mgL","Flag_DIC_mgL","Flag_DOC_mgL","Flag_DN_mgL"
"1","BVR",50,2022-01-26 13:25:00,0.1,1,NA,NA,0,0,0,10,3,2,0,3,3,3.1,3.4,6.5,0.19,0,0,0,0
"2","BVR",50,2022-01-26 13:32:00,3,1,NA,NA,0,0,0,9,3,4,0,3,3,3.5,3.4,6.9,0.21,0,0,0,0
"3","BVR",50,2022-01-26 13:40:00,6,1,NA,NA,0,0,0,10,2,2,0,3,3,3.1,3.5,6.6,0.22,0,0,0,0
"4","BVR",50,2022-01-26 13:50:00,9,1,NA,NA,0,0,0,9,2,0,0,3,3,3.2,3.6,6.8,0.23,0,0,0,0
"5","BVR",50,2022-02-24 10:02:00,0.1,1,NA,NA,0,0,0,44,2,16,0,3,0,3,3.3,6.3,0.26,0,0,0,0
"6","BVR",50,2022-02-24 10:14:00,3,1,NA,NA,0,0,0,40,3,28,0,0,0,3.1,3.3,6.4,0.26,0,0,0,0
"7","BVR",50,2022-02-24 10:30:00,6,1,24.1,336,0,0,0,38,3,15,0,3,0,3,3.4,6.4,0.25,0,0,0,0
"8","BVR",50,2022-02-24 10:43:00,9,1,NA,NA,0,0,0,45,4,18,0,0,0,3,3.1,6.1,0.25,0,0,0,0
"9","BVR",50,2022-03-22 11:14:00,0.1,1,14.4,265,0,0,0,19,5,4,0,0,0,3.5,2.8,6.3,0.2,0,0,0,0
"10","BVR",50,2022-03-22 11:30:00,3,1,NA,NA,0,0,0,9,3,2,0,3,3,3.4,2.8,6.2,0.18,0,0,0,0
"11","BVR",50,2022-03-22 11:40:00,6,1,NA,NA,0,0,0,31,6,6,0,0,0,3.7,3,6.7,0.24,0,0,0,0
"12","BVR",50,2022-03-22 12:00:00,9,1,17.8,345,1,0,0,81,3,7,0,0,0,3.6,3.2,6.8,0.28,0,0,0,0
"13","BVR",50,2022-04-12 14:23:00,0.1,1,18.7,284,0,0,0,10,3,1,0,3,3,3.9,3.1,7,0.21,0,0,0,0
"14","BVR",50,2022-04-12 14:34:00,3,1,NA,NA,0,0,0,8,5,1,0,0,3,3.3,3,6.3,0.18,0,0,0,0
"15","BVR",50,2022-04-12 14:48:00,6,1,30.8,388,0,0,0,14,4,6,0,0,0,4.4,3.1,7.5,0.23,0,0,0,0
"16","BVR",50,2022-04-12 14:56:00,9,1,19,288,0,0,0,17,6,7,0,0,0,2.6,3.1,5.7,0.19,0,0,0,0
"17","BVR",50,2022-05-02 10:26:00,0.1,1,13.2,223,0,0,0,8,2,1,0,3,3,3.8,3.2,7,0.18,0,0,0,0
"18","BVR",50,2022-05-02 10:32:00,3,1,13.7,223,0,0,0,18,5,6,0,0,0,3.9,3,7,0.28,0,0,0,0
"19","BVR",50,2022-05-02 10:39:00,6,1,17.6,265,0,0,0,15,6,4,0,0,3,3.3,3.3,6.6,0.23,0,0,0,0
"20","BVR",50,2022-05-02 10:48:00,9,1,23,294,0,0,0,20,2,3,0,3,3,2.1,3.4,5.5,0.17,0,0,0,0
"21","BVR",40,2022-05-05 11:47:00,4,1,NA,NA,0,0,0,3,3,1,3,0,3,3.2,3.6,6.9,0.22,0,0,0,0
"22","BVR",50,2022-05-05 14:36:00,0.1,1,14.6,248,0,0,0,7,2,4,0,3,0,3.2,3.6,6.8,0.2,0,0,0,0
"23","BVR",50,2022-05-09 11:48:00,3,1,16.9,234,0,0,0,11,3,0,0,0,43,3.9,3.1,6.9,0.22,0,0,0,0
"24","BVR",50,2022-05-09 12:00:00,6,1,24.1,329,0,0,0,7,2,2,0,3,3,2,1.8,3.8,0.14,0,0,0,0
"25","BVR",50,2022-05-09 12:15:00,9,1,24.1,347,0,0,0,115,3,4,0,3,0,3.1,2.3,5.4,0.2,0,0,0,0
"26","BVR",50,2022-05-17 12:25:00,0.1,1,17.8,244,0,0,0,5,6,0,0,0,43,3.6,3.1,6.7,0.19,0,0,0,0
"27","BVR",50,2022-05-17 12:50:00,3,1,20.6,252,0,0,0,8,3,2,0,0,3,3.5,3,6.4,0.22,0,0,0,0
"28","BVR",50,2022-05-17 13:15:00,6,1,30.2,306,0,0,0,13,4,2,0,0,3,3.2,3.6,6.8,0.19,0,0,0,0
"29","BVR",50,2022-05-17 15:32:00,9,1,33.3,579,0,0,0,334,5,2,0,0,3,1.8,4,5.8,0.39,0,0,0,0
"30","BVR",50,2022-05-23 11:50:00,0.1,1,18.2,270,0,0,0,6,3,2,0,0,3,3,3.1,6.1,0.17,0,0,0,0
"31","BVR",50,2022-05-23 12:00:00,3,1,18.7,263,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"32","BVR",50,2022-05-23 12:16:00,6,1,28.7,279,0,0,0,11,5,3,0,0,3,2.2,3,5.2,0.15,0,0,0,0
"33","BVR",50,2022-05-23 12:28:00,9,1,30.4,723,0,0,0,388,12,2,0,0,3,2.5,3.8,6.3,0.49,0,0,0,0
"34","BVR",40,2022-05-31 11:28:00,1.6,1,NA,NA,0,0,0,10,7,3,0,0,3,4.1,2.8,6.9,0.23,0,0,0,0
"35","BVR",50,2022-05-31 12:00:00,0.1,1,12.8,318,0,0,0,41,8,8,0,0,0,5.3,3.2,8.4,0.5,0,0,0,0
"36","BVR",50,2022-05-31 12:20:00,1.6,1,24.2,359,0,0,0,24,8,5,0,0,0,5.7,2.9,8.5,0.43,0,0,0,0
"37","BVR",50,2022-05-31 12:27:00,3,1,14.3,255,0,0,0,11,10,2,0,0,3,3.6,2.7,6.3,0.22,0,0,0,0
"38","BVR",50,2022-05-31 12:36:00,9,1,41.4,801,0,0,0,613,50,18,0,0,0,3.8,4.1,8,0.87,0,0,0,0
"39","BVR",50,2022-05-31 12:46:00,6,1,25.1,267,0,0,0,10,3,1,0,0,3,2.5,3.2,5.8,0.17,0,0,0,0
"40","BVR",50,2022-06-07 11:13:00,0.1,1,24.8,457,0,0,0,11,8,0,0,0,3,5.2,3,8.2,0.33,0,0,0,0
"41","BVR",50,2022-06-07 11:26:00,3,1,19.5,378,0,0,0,11,5,3,0,0,3,4.3,3,7.3,0.26,0,0,0,0
"42","BVR",50,2022-06-07 11:34:00,6,1,25.9,307,0,0,0,37,5,0,0,0,43,2.8,3.8,6.6,0.25,0,0,0,0
"43","BVR",50,2022-06-07 11:48:00,9,1,89.7,1080,0,0,0,784,36,12,0,0,0,3.9,4.4,8.4,0.9,0,0,0,0
"44","BVR",50,2022-06-13 12:00:00,0.1,1,21.6,824,1,0,0,5,7,3,0,0,3,7,2.9,9.9,0.4,0,0,0,0
"45","BVR",50,2022-06-13 12:08:00,3,1,15.5,403,0,0,0,16,5,2,0,0,3,3.8,3.4,7.1,0.25,0,0,0,0
"46","BVR",50,2022-06-13 12:18:00,6,1,29.3,526,0,0,0,296,8,1,0,0,3,2.4,4.4,6.8,0.42,0,0,0,0
"47","BVR",50,2022-06-13 12:37:00,8,1,63.2,963,0,0,0,906,43,11,0,0,0,4,4.3,8.3,1.08,0,0,0,0
"48","BVR",50,2022-06-20 12:05:00,0.1,1,27.2,960,0,0,0,13,12,4,0,0,0,6.7,2.9,9.6,0.49,0,0,0,0
"49","BVR",50,2022-06-20 12:15:00,3,1,22.7,731,0,0,0,23,7,4,0,0,0,5,2.7,7.6,0.33,0,0,0,0
"50","BVR",50,2022-06-20 12:30:00,6,1,29.9,635,0,0,0,514,14,5,0,0,0,2.5,4,6.4,0.55,0,0,0,0
"51","BVR",50,2022-06-20 12:40:00,8,1,51.4,1060,0,0,0,663,27,7,0,0,0,2.5,2.5,4.9,0.68,0,0,0,0
"52","BVR",50,2022-06-27 10:31:00,0.1,1,34.8,1450,0,0,0,34,11,5,0,0,0,8.6,2.5,11.1,0.74,0,0,0,0
"53","BVR",50,2022-06-27 10:41:00,3,1,28.7,786,0,0,0,78,13,6,0,0,0,6.8,3.1,9.9,0.78,0,0,0,0
"54","BVR",50,2022-06-27 10:52:00,6,1,31.6,776,0,0,0,582,9,9,0,0,0,2.7,4,6.7,0.67,0,0,0,0
"55","BVR",50,2022-06-27 11:05:00,8,1,48.9,994,0,0,0,1050,20,7,0,0,0,2.8,4.2,7,0.99,0,0,0,0
"56","BVR",50,2022-07-05 11:59:00,0.1,1,31.8,1330,0,0,0,19,8,2,0,0,3,10.8,2.9,13.8,0.92,0,0,0,0
"57","BVR",50,2022-07-05 12:10:00,3,1,21.7,664,0,0,0,119,7,4,0,0,3,5.8,3,8.8,0.53,0,0,0,0
"58","BVR",50,2022-07-05 12:20:00,6,1,55,943,0,0,0,871,27,6,0,0,0,2.5,4.4,6.9,0.87,0,0,0,0
"59","BVR",50,2022-07-05 12:30:00,8,1,90.5,1430,0,0,0,1500,27,10,0,0,0,3.5,3.1,6.7,1.39,0,0,0,0
"60","BVR",50,2022-07-11 11:05:00,0.1,1,22.8,891,0,0,0,229,5,8,0,0,0,6.5,3.6,10.1,0.8,0,0,0,0
"61","BVR",50,2022-07-11 11:20:00,3,1,29,643,0,0,0,121,4,8,0,0,0,4.4,3.4,7.8,0.44,0,0,0,0
