"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP_ugL","Flag_TN_ugL","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4_ugL","Flag_SRP_ugL","Flag_NO3NO2_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC_mgL","Flag_DIC_mgL","Flag_DOC_mgL","Flag_DN_mgL"
"62","BVR",50,2022-07-11 11:31:00,6,1,36,901,0,0,0,802,35,8,0,0,0,2.6,4.5,7.2,0.83,0,0,0,0
"63","BVR",50,2022-07-11 11:40:00,8,1,82,1270,0,0,0,1390,20,6,0,0,0,2.6,4.7,7.3,1.37,0,0,0,0
"64","BVR",40,2022-07-18 10:23:00,0.1,1,NA,NA,0,0,0,263,9,10,0,0,0,5.3,3.2,8.5,0.6,0,0,0,0
"65","BVR",40,2022-07-18 10:38:00,3,1,NA,NA,0,0,0,227,11,8,0,0,0,4.7,3.5,8.2,0.63,0,0,0,0
"66","BVR",50,2022-07-18 11:06:00,0.1,1,27.7,765,0,0,0,261,5,9,0,0,0,5.6,3.1,8.7,0.7,0,0,0,0
"67","BVR",50,2022-07-18 11:31:00,3,1,20.8,370,0,0,0,92,7,4,0,0,0,3.9,3.5,7.3,0.41,0,0,0,0
"68","BVR",50,2022-07-18 11:46:00,6,1,32.8,1020,0,0,0,812,17,3,0,0,3,2.6,4.6,7.2,0.88,0,0,0,0
"69","BVR",50,2022-07-18 11:54:00,8,1,44.1,1689,0,0,0,1650,10,3,0,0,3,2.8,5.2,8.1,1.59,0,0,0,0
"70","BVR",50,2022-07-25 10:01:00,0.1,1,16.6,609,0,0,0,141,6,10,0,0,0,5.2,3.3,8.5,0.58,0,0,0,0
"71","BVR",50,2022-07-25 10:05:00,3,1,22.6,435,0,0,0,66,6,7,0,0,0,3.9,3.8,7.7,0.35,0,0,0,0
"72","BVR",50,2022-07-25 10:14:00,6,1,44,1498,0,0,0,1230,12,3,0,0,3,3,5.1,8.1,1.27,0,0,0,0
"73","BVR",50,2022-07-25 10:33:00,8,1,42.3,1914,0,0,0,1870,13,4,0,0,0,3.8,5.4,9.2,1.93,0,0,0,0
"74","BVR",50,2022-08-01 10:28:00,0.1,1,20.7,458,0,0,0,23,6,12,0,0,0,3.4,3.2,6.6,0.3,0,0,0,0
"75","BVR",50,2022-08-01 10:30:00,3,1,20.7,379,0,0,0,20,11,8,0,0,0,4.1,3.2,7.3,0.37,0,0,0,0
"76","BVR",50,2022-08-01 10:48:00,6,1,31.5,1190,0,0,0,861,9,6,0,0,0,2.7,5,7.8,0.98,0,0,0,0
"77","BVR",50,2022-08-01 10:58:00,8,1,38.7,1860,0,0,0,1760,13,5,0,0,0,3.6,5.1,8.7,1.6,0,0,0,0
"78","BVR",50,2022-08-08 10:00:00,0.1,1,23.1,405,0,0,0,5,5,0,0,0,3,4.2,3,7.2,0.31,0,0,0,0
"79","BVR",50,2022-08-08 10:08:00,3,1,31.4,407,0,0,0,0,9,0,3,0,3,4.2,3.5,7.7,0.36,0,0,0,0
"80","BVR",50,2022-08-08 10:16:00,6,1,36.4,1240,0,0,0,944,43,5,0,0,0,3.1,5.1,8.2,1.16,0,0,0,0
"81","BVR",50,2022-08-08 10:24:00,8,1,30.3,1682,0,0,0,1490,16,0,0,0,3,3.2,5.3,8.6,2.11,0,0,0,0
"82","BVR",50,2022-08-18 10:12:00,0.1,1,16.8,304,0,0,0,10,8,3,0,0,3,3.3,3.1,6.4,0.25,0,0,0,0
"83","BVR",50,2022-08-18 10:18:00,3,1,28.9,433,0,0,0,25,6,3,0,0,3,2.8,3.3,6.1,0.2,0,0,0,0
"84","BVR",50,2022-08-18 10:35:00,6,1,39.5,1686,0,0,0,1100,45,12,0,0,0,1.8,5.7,7.5,1.07,0,0,0,0
"85","BVR",50,2022-08-18 10:47:00,7,1,37.1,2140,0,0,0,2120,22,7,0,0,0,3.3,5.5,8.8,2.19,0,0,0,0
"86","BVR",50,2022-08-22 10:30:00,0.1,1,17.2,406,0,0,0,17,6,2,0,0,3,3.2,3.1,6.2,0.21,0,0,0,0
"87","BVR",50,2022-08-22 10:39:00,3,1,26.3,408,0,0,0,16,7,3,0,0,3,2.6,3.2,5.9,0.22,0,0,0,0
"88","BVR",50,2022-08-22 11:00:00,6,1,44.9,1758,0,0,0,1460,14,4,0,0,3,2.8,4.9,7.7,1.37,0,0,0,0
"89","BVR",50,2022-08-22 11:14:00,7,1,41.9,1916,0,0,0,2020,10,2,0,0,3,3.2,5.4,8.7,1.92,0,0,0,0
"90","BVR",50,2022-09-05 10:15:00,0.1,1,21,387,0,0,0,36,5,5,0,0,0,3.4,3,6.4,0.32,0,0,0,0
"91","BVR",50,2022-09-05 10:22:00,3,1,28.7,449,0,0,0,56,6,4,0,0,0,3.6,3.2,6.8,0.27,0,0,0,0
"92","BVR",50,2022-09-05 10:25:00,6,1,45.9,1594,0,0,0,1330,17,7,0,0,0,2.6,5.5,8.1,1.24,0,0,0,0
"93","BVR",50,2022-09-05 10:30:00,7,1,32.4,2440,0,0,0,3030,18,6,0,0,0,3.9,6,9.9,2.79,0,0,0,0
"94","BVR",50,2022-09-19 10:02:00,0.1,1,16.7,376,0,0,0,6,4,0,0,0,43,3.8,2.8,6.6,0.24,0,0,0,0
"95","BVR",50,2022-09-19 10:07:00,3,1,18.9,410,0,0,0,41,3,2,0,0,3,3.9,3,6.9,0.32,0,0,0,0
"96","BVR",50,2022-09-19 10:12:00,6,1,40,1380,0,0,0,1700,55,10,0,0,0,2.8,5.6,8.3,1.92,0,0,0,0
"97","BVR",50,2022-09-19 10:20:00,7,1,40.8,2760,0,0,0,3160,20,9,0,0,0,2.8,6.8,9.6,3.3,0,0,0,0
"98","BVR",50,2022-10-11 11:00:00,0.1,1,27.2,518,0,0,0,205,3,14,0,0,0,3.1,3.7,6.8,0.48,0,0,0,0
"99","BVR",50,2022-10-11 11:10:00,3,1,17.6,507,0,0,0,182,4,14,0,0,0,3.5,3.6,7,0.42,0,0,0,0
"100","BVR",50,2022-10-11 11:15:00,6,1,28,909,0,0,0,581,9,9,0,0,0,2.7,4.4,7.1,0.78,0,0,0,0
"101","BVR",50,2022-10-11 11:26:00,7,1,29.6,1410,0,0,0,1510,71,21,0,0,0,3.9,5,8.9,1.78,0,0,0,0
"102","BVR",50,2022-10-24 10:53:00,0.1,1,19.7,634,0,0,0,301,6,13,0,0,0,3.6,3.4,7,0.52,0,0,0,0
"103","BVR",50,2022-10-24 11:00:00,3,1,27,641,0,0,0,304,6,11,0,0,0,3.1,2.4,5.6,0.24,0,0,0,0
"104","BVR",50,2022-10-24 11:10:00,6,1,21,635,0,0,0,326,6,12,0,0,0,3,3.9,6.9,0.5,0,0,0,0
"105","BVR",50,2022-10-24 11:21:00,7,1,33.3,753,0,0,0,397,8,11,0,0,0,3.8,3.7,7.5,0.65,0,0,0,0
"106","BVR",50,2022-11-08 10:05:00,0.1,1,18.3,568,0,0,0,247,7,10,0,0,0,4.1,4.1,8.2,0.56,0,0,0,0
"107","BVR",50,2022-11-08 10:25:00,3,1,16.1,457,0,0,0,323,6,8,0,0,0,3.4,4.3,7.8,0.61,0,0,0,0
"108","BVR",50,2022-11-08 10:35:00,6,1,18.8,913,0,0,0,653,23,2,0,0,3,3.8,4.9,8.6,1.14,0,0,0,0
"109","BVR",50,2022-11-08 10:40:00,7,1,23.2,885,0,0,0,713,26,0,0,0,3,3.8,4.7,8.6,1.12,0,0,0,0
"110","BVR",50,2022-11-16 10:23:00,0.1,1,18.6,634,0,0,0,385,13,30,0,0,0,3.2,4.4,7.7,0.7,0,0,0,0
"111","BVR",50,2022-11-16 10:35:00,3,1,21.5,650,0,0,0,386,13,43,0,0,0,3.8,3.9,7.6,0.72,0,0,0,0
"112","BVR",50,2022-11-16 10:45:00,6,1,20.4,635,0,0,0,390,12,30,0,0,0,3.4,3.9,7.3,0.73,0,0,0,0
"113","BVR",50,2022-11-16 10:54:00,8,1,25.1,671,0,0,0,377,11,32,0,0,0,3.5,3.8,7.3,0.71,0,0,0,0
"114","BVR",50,2022-11-28 09:49:00,0.1,1,25.4,558,0,0,0,384,10,32,0,0,0,3.4,3.7,7.1,0.7,0,0,0,0
"115","BVR",50,2022-11-28 09:56:00,3,1,14.9,601,0,0,0,393,10,38,0,0,0,3.2,3.9,7,0.72,0,0,0,0
"116","BVR",50,2022-11-28 10:05:00,6,1,15.8,617,0,0,0,397,11,34,0,0,0,3.5,3.9,7.4,0.78,0,0,0,0
"117","BVR",50,2022-11-28 10:15:00,8,1,14.4,597,0,0,0,400,11,29,0,0,0,3.5,4.2,7.7,0.77,0,0,0,0
"118","BVR",50,2022-12-16 10:50:00,0.1,1,16.4,608,0,0,0,357,11,43,0,0,0,3.5,3.7,7.3,0.66,0,0,0,0
"119","BVR",50,2022-12-16 11:00:00,3,1,21.8,618,0,0,0,363,9,43,0,0,0,3.3,3.6,6.9,0.74,0,0,0,0
"120","BVR",50,2022-12-16 11:10:00,6,1,16.8,614,0,0,0,365,11,43,0,0,0,3.1,3.9,7,0.67,0,0,0,0
"121","BVR",50,2022-12-16 11:20:00,8,1,17.1,635,0,0,0,358,9,42,0,0,0,3.2,4.2,7.4,0.66,0,0,0,0
"122","BVR",50,2023-03-21 10:55:00,0.1,1,NA,NA,0,0,0,54,6,67,0,0,0,3.1,2.7,5.8,0.31,0,0,0,0
"123","BVR",50,2023-03-21 11:25:00,3,1,NA,NA,0,0,0,58,6,66,0,0,0,3,2.8,5.7,0.33,0,0,0,0
"124","BVR",50,2023-03-21 11:46:00,6,1,NA,NA,0,0,0,55,5,66,0,0,0,2.9,2.7,5.6,0.3,0,0,0,0
"125","BVR",50,2023-03-21 11:58:00,9,1,NA,NA,0,0,0,58,6,65,0,0,0,2.9,2.8,5.7,0.31,0,0,0,0
"126","CCR",50,2022-02-28 10:31:00,0.1,1,10.5,277,0,0,0,7,1,72,0,3,0,2.4,10.3,12.7,0.23,0,0,0,0
"127","CCR",50,2022-02-28 10:40:00,1.5,1,10,374,0,0,0,11,2,68,0,3,0,2.6,9.7,12.4,0.19,0,0,0,0
"128","CCR",50,2022-02-28 10:50:00,6,1,NA,NA,0,0,0,7,1,61,0,3,0,2.5,9.8,12.3,0.18,0,0,0,0
"129","CCR",50,2022-02-28 11:00:00,9,1,9.3,258,0,0,0,7,1,70,0,3,0,2.5,10.1,12.6,0.18,0,0,0,0
"130","CCR",50,2022-02-28 11:15:00,20,1,14.5,269,0,0,0,9,2,73,0,3,0,2.4,10.2,12.7,0.23,0,0,0,0
"131","CCR",101,2022-02-28 12:00:00,0.1,1,3.7,88.6,1,0,0,5,2,37,0,3,0,2.1,1.6,3.7,0.09,0,0,0,0
"132","CCR",301,2022-02-28 12:00:00,0.1,1,17,125,1,0,0,7,3,4,0,0,3,1.8,0.7,2.5,0.08,0,0,0,0
"133","CCR",400,2022-02-28 12:00:00,0.1,1,NA,NA,0,0,0,10,3,110,0,0,0,1.3,11.6,12.9,0.19,0,0,0,0
"134","CCR",500,2022-02-28 12:00:00,0.1,1,NA,NA,0,0,0,12,5,89,0,0,0,2.2,12.5,14.8,0.19,0,0,0,0
"135","CCR",501,2022-02-28 12:00:00,0.1,1,14,261,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"136","CCR",50,2022-04-20 10:04:00,0.1,1,8.9,241,0,0,0,4,4,3,3,0,3,3.1,9,12,0.16,0,0,0,0
"137","CCR",50,2022-04-20 10:12:00,1.5,1,10.5,199,0,0,0,7,6,2,0,0,3,2.7,8.3,11,0.18,0,0,0,0
"138","CCR",50,2022-04-20 10:22:00,6,1,5,190,0,0,0,7,5,2,0,0,3,4.8,5.6,10.4,0.14,0,0,0,0
"139","CCR",50,2022-04-20 10:25:00,9,1,16.7,190,0,0,0,13,5,9,0,0,0,2.3,9.6,11.9,0.17,0,0,0,0
"140","CCR",50,2022-04-20 10:30:00,21,1,34.4,335,0,0,0,33,3,28,0,0,0,2.5,9.4,11.9,0.2,0,0,0,0
"141","CCR",110,2022-04-20 12:00:00,0.1,1,NA,NA,0,0,0,6,4,6,0,0,0,2.9,1.2,4.1,0.13,0,0,0,0
"142","CCR",101,2022-04-20 12:20:00,0.1,1,NA,NA,0,0,0,7,3,17,0,3,0,2.6,1.5,4.1,0.13,0,0,0,0
"143","CCR",400,2022-06-09 10:12:00,0.1,1,18.3,251,0,0,0,5,5,1,0,0,3,2.9,8.3,11.1,0.2,0,0,0,0
"144","CCR",50,2022-06-09 10:13:00,0.1,1,7.2,166,0,0,0,5,4,3,0,0,3,3.5,7.5,11,0.14,0,0,0,0
"145","CCR",50,2022-06-09 10:20:00,1.5,1,8.9,177,0,0,0,13,2,2,0,3,3,3.3,8.3,11.6,0.24,0,0,0,0
"146","CCR",50,2022-06-09 10:40:00,6,1,12.3,227,0,0,0,11,4,3,0,0,3,2.9,8.1,10.9,0.17,0,0,0,0
"147","CCR",50,2022-06-09 10:48:00,9,1,12.2,204,0,0,0,6,6,3,0,0,3,2.2,8.9,11.1,0.19,0,0,0,0
"148","CCR",50,2022-06-09 11:27:00,21,1,46.7,449,0,0,0,171,15,40,0,0,0,2.4,10.4,12.8,0.31,0,0,0,0
"149","CCR",301,2022-06-09 11:34:00,0.1,1,8.1,154,0,0,0,4,4,12,3,0,0,1.4,1.5,3,0.08,0,0,0,0
"150","CCR",101,2022-06-09 12:15:00,0.1,1,8.5,160,0,0,0,7,6,92,0,0,0,1.3,2.2,3.5,0.25,0,0,0,0
"151","CCR",500,2022-06-09 12:20:00,0.1,1,NA,NA,0,0,0,8,7,127,0,0,0,1.1,25.8,26.9,0.2,0,0,0,0
"152","CCR",501,2022-06-09 12:20:00,0.1,1,10.6,242,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"153","CCR",201,2022-06-09 12:53:00,0.1,1,5.9,110,0,0,0,8,4,22,0,0,0,1.6,7.2,8.7,0.11,0,0,0,0
"154","CCR",50,2022-06-30 09:53:00,0.1,1,8.5,169,0,0,0,8,4,3,0,0,3,2.8,8.3,11.1,0.19,0,0,0,0
"155","CCR",50,2022-06-30 09:58:00,1.5,1,4.5,149,0,0,0,15,5,7,0,0,0,3.3,8.1,11.4,0.22,0,0,0,0
"156","CCR",50,2022-06-30 10:06:00,6,1,4.2,162,0,0,0,12,3,14,0,3,0,4.5,6.4,10.9,0.18,0,0,0,0
"157","CCR",50,2022-06-30 10:16:00,9,1,5.9,157,0,0,0,16,5,26,0,0,0,2.5,9.5,12,0.18,0,0,0,0
"158","CCR",50,2022-06-30 10:35:00,21,1,26.9,270,0,0,0,208,37,30,0,0,0,2.9,11.8,14.7,0.49,0,0,0,0
"159","CCR",400,2022-06-30 12:00:00,0.1,1,5.1,80.7,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"160","CCR",301,2022-06-30 13:10:00,0.1,1,39,359,0,0,0,23,5,54,0,0,0,1.9,2.9,4.8,0.2,0,0,0,0
"161","CCR",201,2022-06-30 14:05:00,0.1,1,7.2,112,0,0,0,11,4,40,0,0,0,1.2,10.9,12.1,0.15,0,0,0,0
"162","CCR",50,2022-07-14 10:26:00,0.1,1,2.7,132,0,3,0,2,3,1,3,3,3,3.2,8.8,11.9,0.19,0,0,0,0
"163","CCR",50,2022-07-14 10:30:00,1.5,1,4.3,121,0,0,0,9,3,2,0,3,3,3.1,8,11.1,0.19,0,0,0,0
"164","CCR",50,2022-07-14 12:00:00,6,1,8.1,180,0,0,0,7,4,2,0,0,3,2.9,8.9,11.8,0.21,0,0,0,0
"165","CCR",50,2022-07-14 12:00:00,9,1,5.6,146,0,0,0,8,2,9,0,3,0,3.1,9.7,12.8,0.23,0,0,0,0
"166","CCR",50,2022-07-14 12:00:00,20,1,22.6,285,0,0,0,155,2,49,0,3,0,2.3,10.9,13.2,0.29,0,0,0,0
"167","CCR",201,2022-07-14 12:00:00,0.1,1,4.2,86.3,0,0,0,7,5,37,0,0,0,1.9,8.8,10.7,0.13,0,0,0,0
"168","CCR",301,2022-07-14 12:00:00,0.1,1,2.8,191,0,3,0,6,5,46,0,0,0,1.8,2.4,4.2,0.13,0,0,0,0
"169","CCR",50,2022-07-28 09:43:00,0.1,1,6.5,186,0,0,0,1,3,0,3,3,43,3.1,8.4,11.4,0.22,0,0,0,0
"170","CCR",50,2022-07-28 10:00:00,1.5,1,6.1,213,0,0,0,3,4,1,3,0,3,2.9,8.4,11.3,0.19,0,0,0,0
"171","CCR",50,2022-07-28 10:10:00,6,1,8.6,130,0,0,0,4,2,0,3,3,3,3.1,8.7,11.7,0.18,0,0,0,0
"172","CCR",50,2022-07-28 10:18:00,9,1,11.1,183,0,0,0,10,5,23,0,0,0,2.6,10.1,12.7,0.24,0,0,0,0
"173","CCR",50,2022-07-28 10:30:00,15,1,10.7,212,0,0,0,5,8,78,0,0,0,2.9,10.4,13.3,0.26,0,0,0,0
"174","CCR",50,2022-07-28 10:43:00,21,1,41.7,615,0,0,0,305,12,32,0,0,0,3.5,12.7,16.2,0.53,0,0,0,0
"175","CCR",301,2022-07-28 12:00:00,0.1,1,7.7,120,1,0,0,5,5,47,0,0,0,2.2,2.7,4.9,0.19,0,0,0,0
"176","CCR",50,2022-08-19 09:30:00,0.1,1,5.3,158,0,0,0,4,5,1,3,0,3,3.1,7.7,10.8,0.18,0,0,0,0
"177","CCR",50,2022-08-19 09:42:00,1.5,1,6.4,158,0,0,0,15,3,1,0,3,3,2.6,7.8,10.4,0.15,0,0,0,0
"178","CCR",50,2022-08-19 09:56:00,6,1,5.9,134,0,0,0,7,4,0,0,0,3,2.5,8.2,10.7,0.15,0,0,0,0
"179","CCR",50,2022-08-19 10:11:00,9,1,10.2,185,0,0,0,12,4,51,0,0,0,2.4,9.8,12.2,0.18,0,0,0,0
"180","CCR",50,2022-08-19 10:38:00,20,1,37.3,1110,0,0,0,637,5,6,0,0,0,3,12.9,15.9,0.66,0,0,0,0
"181","CCR",301,2022-08-19 12:39:00,0.1,1,7.1,94.8,0,0,0,5,4,36,0,0,0,1.4,2.4,3.9,0.11,0,0,0,0
"182","CCR",201,2022-08-19 13:32:00,0.1,1,5.4,85.9,0,0,0,7,6,19,0,0,0,1.9,7.6,9.5,0.11,0,0,0,0
