"Reservoir","Site","DateTime","Depth_m","Rep","CH4_umolL","CO2_umolL","Flag_DateTime","Flag_CH4_umolL","Flag_CO2_umolL"
"FCR","100",2015-03-31 12:00:00,0.1,"1",0.007076873,NA,1,0,1
"FCR","100",2015-03-31 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,0.1,"1",0.067583484,8.824011711,1,0,0
"FCR","50",2015-03-31 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,1.6,"1",0.069565417,9.530102037,1,0,0
"FCR","50",2015-03-31 12:00:00,1.6,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,3.8,"1",0.072427429,15.09666354,1,0,0
"FCR","50",2015-03-31 12:00:00,3.8,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,5,"1",0.06799593,16.80452257,1,0,0
"FCR","50",2015-03-31 12:00:00,5,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,6.2,"1",0.060762289,17.45537934,1,0,0
"FCR","50",2015-03-31 12:00:00,6.2,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,8,"1",0.023887925,44.39053736,1,0,0
"FCR","50",2015-03-31 12:00:00,8,"2",NA,NA,1,1,1
"FCR","50",2015-03-31 12:00:00,9,"1",0.033123988,43.62333863,1,0,0
"FCR","50",2015-03-31 12:00:00,9,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,0.1,"1",0.006145841,9.855854077,1,0,0
"FCR","50",2015-04-07 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,1.6,"1",0.103644874,11.99650889,1,0,0
"FCR","50",2015-04-07 12:00:00,1.6,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,3.8,"1",0.124898943,15.85494329,1,0,0
"FCR","50",2015-04-07 12:00:00,3.8,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,5,"1",0.044343269,18.4775959,1,0,0
"FCR","50",2015-04-07 12:00:00,5,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,6.2,"1",0.027104599,48.09460188,1,0,0
"FCR","50",2015-04-07 12:00:00,6.2,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,8,"1",0.022061956,46.58324216,1,0,0
"FCR","50",2015-04-07 12:00:00,8,"2",NA,NA,1,1,1
"FCR","50",2015-04-07 12:00:00,9,"1",0.036024573,45.82377887,1,0,0
"FCR","50",2015-04-07 12:00:00,9,"2",NA,NA,1,1,1
"FCR","100",2015-04-13 12:00:00,0.1,"1",0.007237602,10.13239256,1,0,0
"FCR","100",2015-04-13 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,0.1,"1",0.179576596,24.58656451,1,0,0
"FCR","50",2015-04-13 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,1.6,"1",0.193236302,13.28851214,1,0,0
"FCR","50",2015-04-13 12:00:00,1.6,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,3.8,"1",0.096140334,17.9222348,1,0,0
"FCR","50",2015-04-13 12:00:00,3.8,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,5,"1",0.036708328,25.94194966,1,0,0
"FCR","50",2015-04-13 12:00:00,5,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,6.2,"1",0.041555333,35.69936501,1,0,0
"FCR","50",2015-04-13 12:00:00,6.2,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,8,"1",0.05719717,46.08993002,1,0,0
"FCR","50",2015-04-13 12:00:00,8,"2",NA,NA,1,1,1
"FCR","50",2015-04-13 12:00:00,9,"1",0.064962983,51.36123556,1,0,0
"FCR","50",2015-04-13 12:00:00,9,"2",NA,NA,1,1,1
"FCR","100",2015-04-21 12:00:00,0.1,"1",0.008454873,14.70757962,1,0,0
"FCR","100",2015-04-21 12:00:00,0.1,"2",0.009550961,19.32148459,1,0,0
"FCR","50",2015-04-21 12:00:00,0.1,"1",0.241003561,12.2583711,1,0,0
"FCR","50",2015-04-21 12:00:00,0.1,"2",NA,NA,1,1,1
"FCR","50",2015-04-21 12:00:00,1.6,"1",0.254142066,15.22438777,1,0,0
"FCR","50",2015-04-21 12:00:00,1.6,"2",0.251932894,9.393853738,1,0,0
"FCR","50",2015-04-21 12:00:00,3.8,"1",0.10825436,25.35282938,1,0,0
"FCR","50",2015-04-21 12:00:00,3.8,"2",0.0917204,28.58509165,1,0,0
"FCR","50",2015-04-21 12:00:00,5,"1",0.089833521,34.02764777,1,0,0
"FCR","50",2015-04-21 12:00:00,5,"2",0.089760375,31.48732848,1,0,0
"FCR","50",2015-04-21 12:00:00,6.2,"1",0.127363998,NA,1,0,1
"FCR","50",2015-04-21 12:00:00,6.2,"2",NA,NA,1,1,1
"FCR","50",2015-04-21 12:00:00,8,"1",0.132321369,48.67306654,1,0,0
"FCR","50",2015-04-21 12:00:00,8,"2",0.149996723,48.04093002,1,0,0
"FCR","50",2015-04-21 12:00:00,9,"1",0.114057396,53.0046861,1,0,0
"FCR","50",2015-04-21 12:00:00,9,"2",0.11450917,50.16769831,1,0,0
"FCR","100",2015-04-28 12:00:00,0.1,"1",0.00769067,12.25840037,1,0,0
"FCR","100",2015-04-28 12:00:00,0.1,"2",0.008349372,9.541581788,1,0,0
"FCR","50",2015-04-28 12:00:00,0.1,"1",0.162916661,16.98229371,1,0,0
"FCR","50",2015-04-28 12:00:00,0.1,"2",0.160752807,19.43196907,1,0,0
"FCR","50",2015-04-28 12:00:00,1.6,"1",0.173374622,13.36712252,1,0,4
"FCR","50",2015-04-28 12:00:00,1.6,"2",0.176715776,23.85448942,1,0,4
"FCR","50",2015-04-28 12:00:00,3.8,"1",0.176832465,13.11805644,1,0,0
"FCR","50",2015-04-28 12:00:00,3.8,"2",0.174483673,15.96417556,1,0,0
