Reservoir,Site,Site_description,Latitude,Longitude
BVR,50,Pelagic deep hole site nearest to dam; at BVR platform closest to dam,37.31288,-79.8159
FCR,50,Pelagic deep hole site nearest to Falling Creek Reservoir dam; at end of FCR catwalk,37.30325,-79.8373
