"Reservoir","Site","DateTime","Depth_m","Rep","CH4_umolL","CO2_umolL","Flag_DateTime","Flag_CH4_umolL","Flag_CO2_umolL"
"BVR",50,"2015-07-09 12:00:00",0.1,1,0.3623,7.7312,1,0,0
"BVR",50,"2015-07-09 12:00:00",0.1,2,0.482,8.1774,1,0,0
"BVR",50,"2015-07-09 12:00:00",6,1,0.1077,90.1005,1,0,0
"BVR",50,"2015-07-09 12:00:00",6,2,0.1088,93.0008,1,0,0
"BVR",50,"2015-07-09 12:00:00",11,1,274.1065,179.3798,1,0,0
"BVR",50,"2015-07-09 12:00:00",11,2,NA,NA,1,1,1
"BVR",50,"2015-07-23 12:00:00",0.1,1,0.45,8.4698,1,0,0
"BVR",50,"2015-07-23 12:00:00",0.1,2,0.488,5.8186,1,0,0
"BVR",50,"2015-07-23 12:00:00",6,1,0.0495,69.5867,1,4,0
"BVR",50,"2015-07-23 12:00:00",6,2,0.1627,63.1838,1,4,0
"BVR",50,"2015-07-23 12:00:00",11,1,121.697,130.748,1,3,4
"BVR",50,"2015-07-23 12:00:00",11,2,192.3264,285.7705,1,3,4
"BVR",50,"2015-09-04 12:00:00",0.1,1,0.7859,30.2921,1,0,0
"BVR",50,"2015-09-04 12:00:00",0.1,2,NA,NA,1,1,1
"BVR",50,"2015-09-04 12:00:00",3,1,0.8925,25.6179,1,4,0
"BVR",50,"2015-09-04 12:00:00",3,2,0.3862,23.8466,1,4,0
"BVR",50,"2015-09-04 12:00:00",6,1,0.0759,122.4099,1,4,0
"BVR",50,"2015-09-04 12:00:00",6,2,0.0369,98.057,1,4,0
"BVR",50,"2015-09-04 12:00:00",9,1,210.9286,143.3338,1,0,0
"BVR",50,"2015-09-04 12:00:00",9,2,NA,NA,1,1,1
"BVR",50,"2015-09-04 12:00:00",11,1,NA,211.9623,1,1,0
"BVR",50,"2015-09-04 12:00:00",11,2,NA,NA,1,1,1
"BVR",50,"2015-09-18 12:00:00",0.1,1,0.3636,14.0647,1,0,0
"BVR",50,"2015-09-18 12:00:00",0.1,2,0.316,11.2286,1,0,0
"BVR",50,"2015-09-18 12:00:00",3,1,0.4612,15.4154,1,0,0
"BVR",50,"2015-09-18 12:00:00",3,2,0.473,12.945,1,0,0
"BVR",50,"2015-09-18 12:00:00",6,1,0.3458,48.1199,1,4,0
"BVR",50,"2015-09-18 12:00:00",6,2,0.0997,42.012,1,4,0
"BVR",50,"2015-09-18 12:00:00",9,1,263.1586,219.6589,1,0,0
"BVR",50,"2015-09-18 12:00:00",9,2,278.5895,217.3438,1,0,0
"BVR",50,"2015-09-18 12:00:00",11,1,NA,250.6188,1,1,0
"BVR",50,"2015-09-18 12:00:00",11,2,NA,NA,1,1,1
"BVR",50,"2015-10-02 12:00:00",0.1,1,0.2465,23.5484,1,0,0
"BVR",50,"2015-10-02 12:00:00",0.1,2,0.2566,21.5978,1,0,0
"BVR",50,"2015-10-02 12:00:00",3,1,0.2491,19.7382,1,0,0
"BVR",50,"2015-10-02 12:00:00",3,2,0.2649,19.464,1,0,0
"BVR",50,"2015-10-02 12:00:00",6,1,0.2611,28.7111,1,0,0
"BVR",50,"2015-10-02 12:00:00",6,2,0.2199,37.7372,1,0,0
"BVR",50,"2015-10-02 12:00:00",9,1,137.9791,191.1069,1,0,0
"BVR",50,"2015-10-02 12:00:00",9,2,122.5238,246.4211,1,0,0
"BVR",50,"2015-10-02 12:00:00",11,1,301.7275,191.2674,1,0,0
"BVR",50,"2015-10-02 12:00:00",11,2,293.2717,212.3806,1,0,0
"BVR",50,"2015-10-23 12:00:00",0.1,1,0.0172,16.2067,1,4,0
"BVR",50,"2015-10-23 12:00:00",0.1,2,0.0619,17.7975,1,4,0
"BVR",50,"2015-10-23 12:00:00",3,1,0.2973,19.5797,1,4,0
"BVR",50,"2015-10-23 12:00:00",3,2,0.0148,18.1494,1,4,0
