Rep,Date,Start_time,End_time,co2_slope_ppmS,co2_R2,Temp_C,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,Reservoir,Site,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
1,2021-04-26T05:00:00Z,14:10:07,14:14:06,0.01,0.98,25.88,0.059,0.001,0.98,0.006,FCR,50,0,0
2,2021-04-26T05:00:00Z,14:21:59,14:25:58,0.005,0.94,27.23,0.029,0.001,0.97,0.006,FCR,50,0,0
