"","ICP-MS Data","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30"
"1","44371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Nick/Steve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"7Li (STDR)","23Na (STDR)","24Mg (STDR)","27Al (STDR)","29Si (STDR)","31P (STDR)","34S (STDR)","35Cl (STDR)","39K (STDR)","44Ca (STDR)","47Ti (STDR)","51V (STDR)","52Cr (STDR)","54Fe (STDR)","55Mn (STDR)","59Co (STDR)","60Ni (STDR)","65Cu (STDR)","66Zn (STDR)","75As (STDR)","78Se (STDR)","88Sr (STDR)","95Mo (STDR)","107Ag (STDR)","111Cd (STDR)","120Sn (STDR)","138Ba (STDR)","208Pb (STDR)","238U (STDR)"
"4",NA,"Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppm)","Y (ppm)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","'06/10/2021’","0.464391542962774","2908.90996012266","963.755063447468","100.690989617852","8833.81815395064","47.3027940819619","1.24337424576269","1.04191033457038","1060.63424567841","2078.07436865426","-0.310872293185335","0.427726628051301","0.202392250408783","589.58252243318","33.5925215829949","0.226149407308626","0.205666306880223","1.0842754236682","4.52702804572662","0.0837261368248163","0.02099032895534","13.5696519722797","0.0584492810904002","-0.0050084608745009","0.0252994628315857","0.0191119094492802","11.6746432396387","1.12046550532695","-0.00730010201754924"
"7","'06/10/2021’","0.407678029822163","2881.54262439054","880.446075644441","53.4782411533739","8699.00413695664","14.9974183339719","0.742878287205234","1.62784158924336","1675.48943976759","1871.9596844511","1.46526804729036","0.376244721640249","0.152878317719285","402.206517861954","12.2350831389923","0.168540956606004","0.139136880433145","1.63232129446629","23.3119869825328","0.0723421248279364","0.0159080385803252","12.3235264150557","1.02054673344586","0.00418845321905958","0.0408169187984305","-0.0140069505666976","9.09225511624541","1.16013018540964","-0.00996635446383154"
"8","'06/10/2021’","0.457818841955947","2924.3498711473","974.372528127377","63.665113260227","8830.04430212418","31.6273688455869","0.531128710173414","0.99785137170639","991.928741636105","2121.89655647479","-0.668326727003703","0.355403911947531","0.209435435545929","556.22632430829","32.764918899295","0.180467426741699","0.179306066959387","0.971046428068588","9.777004496293","0.0748328896007917","0.0429875451982541","13.8192789588169","0.0243686781464413","-0.00635158624320791","0.0281978723175497","-0.0708842688499845","12.6485697374791","1.14155126272309","-0.0106461021253776"
"9","'06/10/2021’","0.428685000868233","2956.71920005114","942.706924835656","36.8728920657571","8889.39842419948","10.5268917938526","0.436215474972817","1.02802693865647","1011.68221402587","2019.24813609556","1.00125580972348","0.314584005589454","0.243003502706744","336.236735789775","6.74411985329015","0.123124512646281","0.145926887624442","0.897714583939739","7.98033083677925","0.0635225079334752","0.119707957377793","13.2307242770535","0.653973809930795","-0.00728903654433247","0.0250043807182973","-0.102164702695388","9.60038523737817","0.963875634409386","-0.0125213837499009"
"10","'06/10/2021’","0.408295251645282","2713.71147517696","958.470319430346","25.7906557464106","7877.38246908661","20.4016461788562","0.650049141831751","0.89860115710199","835.631031217666","2169.86560891058","0.903720222592702","0.113150625917568","0.141394630814858","378.263786596773","35.1475133699647","0.0887679516221147","0.137223812477866","0.902158606264663","3.06652908749194","0.0523206443168716","0.181116169481471","14.5611843910232","0.0128582377766998","-0.00863053679731891","0.0263300626353619","-0.104056124711835","19.5778829501396","1.10714221004886","-0.0135653644803328"
