ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2021 - 1,0.9,"2,661.1",873.5,40.5,"7,147.3",12.3,0.7,2.9,877.6,"1,888.7",1.6,0.3,0.2,316.5,37.6,0.1,0.2,0.9,11.6,0.1,0.8,13.6,0.0,0.0,0.0,0.0,14.0,0.8,0.0
05/06/2021 - 2,0.9,"2,651.6",873.7,11.4,"7,183.0",1.0,1.1,4.8,"3,694.5","1,909.7",0.9,0.1,0.2,29.2,6.0,0.0,0.2,1.1,22.4,0.0,0.9,13.2,0.0,0.3,0.0,0.0,13.6,0.3,0.0
05/06/2021 - 3,0.9,"2,605.0",885.5,41.8,"7,173.2",13.5,0.3,1.3,869.2,"1,901.2",1.5,0.2,0.2,318.4,35.7,0.1,0.2,0.8,11.2,0.1,0.6,13.6,0.0,0.0,0.0,0.2,14.7,0.6,0.0
05/06/2021 - 4,0.9,"2,616.7",874.1,11.3,"7,171.8",0.8,0.4,1.1,869.4,"1,900.7",0.9,0.1,0.2,38.0,4.9,0.0,0.1,0.7,18.1,0.0,0.6,13.4,0.0,0.0,0.0,0.1,13.3,0.3,0.0
05/06/2021 - 5,0.9,"2,647.5",909.0,36.7,"7,116.2",15.7,0.5,1.2,870.8,"1,928.5",1.6,0.2,0.2,358.3,39.4,0.1,0.2,0.9,10.3,0.0,0.5,13.7,0.0,0.0,0.0,0.1,15.6,0.7,0.0
05/06/2021 - 6,0.8,"2,569.9",867.7,9.3,"6,951.6",0.6,0.7,1.0,839.8,"1,846.9",0.8,0.1,0.1,13.1,1.5,0.0,0.1,0.5,13.2,0.0,0.5,13.0,0.0,0.0,0.0,0.0,14.6,0.3,0.0
05/06/2021 - 7,0.8,"2,549.4",891.7,26.6,"6,770.8",14.2,1.0,0.8,876.7,"1,934.5",1.1,0.1,0.2,418.4,51.3,0.2,0.2,1.0,11.0,0.0,0.5,13.5,0.0,0.0,0.0,0.0,17.1,0.5,0.0
05/06/2021 - 8,0.8,"2,578.4",884.8,9.6,"6,738.5",1.2,0.5,0.8,903.1,"1,904.6",0.8,0.1,0.2,18.3,3.3,0.0,0.2,1.1,27.8,0.0,0.5,13.3,0.0,0.0,0.0,0.0,16.8,0.4,0.0
