ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2021 -  1,0.5,"2,521.0",869.4,78.0,"7,436.5",12.1,1.2,0.7,967.1,"1,904.0",1.6,0.3,0.3,611.6,60.4,0.2,0.2,0.8,5.1,0.1,0.0,12.1,0.0,0.0,0.0,0.2,16.0,0.4,0.0
02/08/2021 -  2,0.4,"2,542.2",869.3,22.9,"7,463.3",1.9,1.1,0.6,978.3,"1,892.1",0.8,0.1,0.2,182.1,52.8,0.2,0.2,0.6,14.1,0.0,0.1,12.3,0.0,0.0,0.0,0.1,15.9,0.3,0.0
02/08/2021 -  3,0.4,"2,518.0",866.0,83.3,"7,402.7",13.4,1.1,0.5,962.9,"1,880.9",1.6,0.3,0.2,617.5,59.3,0.2,0.2,0.7,5.5,0.1,0.1,12.2,0.0,0.0,0.0,0.1,16.1,0.5,0.0
02/08/2021 -  4,0.4,"2,562.4",869.6,41.3,"7,525.2",3.6,1.1,0.6,978.3,"1,909.7",0.8,0.1,0.1,247.6,52.6,0.2,0.2,0.6,10.3,0.0,0.0,12.1,0.0,0.0,0.0,0.1,15.3,0.4,0.0
02/08/2021 -  5,0.4,"2,551.4",874.9,81.4,"7,580.1",14.0,1.4,0.5,978.1,"1,905.7",1.6,0.3,0.2,631.5,60.7,0.2,0.2,0.7,5.0,0.0,0.1,12.2,0.0,0.0,0.0,0.0,16.3,0.4,0.0
02/08/2021 -  6,0.4,"2,561.5",876.8,27.9,"7,612.7",2.4,1.0,0.5,971.1,"1,890.4",0.7,0.1,0.1,192.8,52.4,0.2,0.2,0.5,7.6,0.0,0.1,12.2,-0.1,0.0,0.0,0.0,15.3,0.3,0.0
02/08/2021 -  7,0.4,"2,597.7",896.1,78.5,"7,736.1",13.8,1.0,0.7,"1,011.6","1,927.7",1.5,0.3,0.2,646.4,62.1,0.2,0.2,1.0,6.2,0.1,0.1,12.5,-0.1,0.0,0.0,0.0,16.6,0.4,0.0
02/08/2021 -  8,0.4,"2,566.2",873.7,31.9,"7,504.6",5.0,1.0,0.5,"1,003.5","1,912.7",0.8,0.2,0.2,300.8,53.0,0.2,0.3,1.1,19.8,0.0,0.1,12.2,-0.1,0.0,0.0,0.0,17.0,0.4,0.0
