ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2021 - 1,0.4,"3,141.1","1,078.0",18.0,"5,725.9",7.5,1.3,0.0,"1,148.0","2,376.1",0.6,0.2,0.2,429.2,12.6,0.1,0.4,1.5,9.6,0.0,-0.7,15.7,-0.2,0.0,0.0,0.7,17.9,0.2,0.0
08/31/2021 - 2,0.4,"3,218.5","1,093.1",14.2,"5,931.0",1.5,1.2,-0.1,"1,173.4","2,372.5",0.5,0.1,0.2,221.5,3.8,0.0,0.3,1.9,13.9,0.0,-0.6,15.9,-0.2,0.0,0.0,0.5,18.0,0.2,0.0
08/31/2021 - 3,0.4,"3,135.8","1,079.5",14.7,"5,793.7",7.9,0.8,-0.2,"1,118.9","2,359.7",0.6,0.2,0.2,446.3,13.6,0.1,0.2,1.0,3.2,0.0,-0.6,15.7,-0.2,0.0,0.0,0.3,18.0,0.2,0.0
08/31/2021 - 4,0.4,"3,226.2","1,098.7",10.9,"6,005.2",0.5,0.9,-0.2,"1,173.1","2,406.0",0.5,0.1,0.2,164.9,4.0,0.0,0.2,0.8,7.3,0.0,-0.5,16.1,-0.2,0.0,0.0,0.1,18.6,0.2,0.0
08/31/2021 - 5,0.4,"3,163.5","1,121.4",13.2,"6,527.5",9.1,0.8,-0.1,"1,196.2","2,621.9",0.6,0.1,0.3,484.7,19.5,0.1,0.2,0.8,2.1,0.0,-0.5,17.7,-0.2,0.0,0.0,0.0,25.9,0.2,0.0
08/31/2021 - 6,0.4,"3,106.3","1,109.8",10.0,"6,671.9",-0.3,0.7,-0.1,"1,224.9","2,634.7",0.5,0.0,0.1,26.0,6.4,0.0,0.1,0.5,8.3,0.0,-0.3,17.9,-0.1,0.0,0.0,0.2,27.2,0.2,0.0
08/31/2021 - 7,0.3,"2,734.3","1,022.9",12.0,"6,493.7",12.7,-0.2,-0.3,"1,101.0","2,599.5",0.5,0.0,0.1,"1,101.4",625.1,1.2,0.1,0.4,1.4,-0.1,-0.7,17.6,-0.2,0.0,0.0,0.1,40.5,0.2,0.0
08/31/2021 - 8,0.4,"2,948.1","1,102.3",8.7,"6,980.7",-1.1,0.2,-0.2,"1,182.1","2,774.7",0.5,0.0,0.1,11.0,689.2,1.3,0.1,0.2,8.5,-0.1,-0.8,19.0,-0.2,0.0,0.0,-0.1,43.5,0.1,0.0
