ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2021 - 1,0.5,"3,349.0","1,138.5",17.4,"7,435.3",10.6,-0.1,0.3,"1,174.6","2,528.7",0.7,0.1,0.1,667.0,12.8,0.1,0.0,1.0,2.9,0.1,0.2,16.3,-0.1,0.0,0.0,-0.7,18.6,0.2,0.0
08/02/2021 - 2,0.4,"3,378.6","1,131.3",16.6,"7,496.6",3.0,0.1,2.8,"4,149.7","2,509.8",0.6,0.1,0.1,451.2,4.6,0.0,0.1,2.6,31.7,0.1,0.1,16.3,-0.1,0.1,0.0,-0.7,22.8,0.2,0.0
08/02/2021 - 3,0.4,"3,315.9","1,129.1",17.1,"7,424.0",11.5,-0.2,0.3,"1,169.4","2,513.8",0.8,0.1,0.1,663.4,12.5,0.1,0.1,1.0,16.1,0.1,0.0,16.5,0.1,0.0,0.0,-0.4,18.6,0.2,0.0
08/02/2021 - 4,0.5,"3,362.0","1,125.8",16.1,"7,434.8",2.8,-0.1,0.3,"1,223.7","2,498.3",0.7,0.1,0.0,465.6,3.2,0.0,0.0,1.5,11.5,0.1,0.0,16.3,0.0,0.0,0.0,-0.6,19.1,0.2,0.0
08/02/2021 - 5,0.4,"3,032.3","1,103.3",8.1,"7,812.8",13.9,-0.2,0.6,"1,207.9","2,781.2",0.5,-0.2,0.0,271.9,63.6,0.1,0.0,0.2,0.2,0.0,0.2,18.9,-0.1,0.0,0.0,-0.7,31.8,0.1,0.0
08/02/2021 - 6,0.4,"3,042.6","1,107.8",10.1,"7,888.9",-1.7,-0.2,0.7,"1,291.4","2,807.5",0.5,-0.2,0.0,11.3,30.6,0.0,0.0,0.5,40.0,0.0,0.0,19.0,-0.1,0.0,0.0,-0.7,33.0,0.1,0.0
08/02/2021 - 7,0.4,"2,993.7","1,100.5",11.9,"7,823.7",15.9,-0.2,0.5,"1,200.0","2,856.2",0.5,-0.1,0.0,"1,066.9",420.1,0.9,0.0,0.2,0.7,0.0,0.1,19.0,-0.1,0.0,0.0,-0.7,39.0,0.1,0.0
08/02/2021 - 8,0.4,"2,996.0","1,101.6",10.0,"7,910.5",-1.5,-0.1,0.5,"1,224.2","2,872.7",0.5,-0.2,0.0,200.1,448.7,1.0,0.0,0.4,9.4,0.0,0.1,19.1,-0.1,0.0,0.0,-0.7,39.8,0.1,0.0
08/02/2021 - 9,0.4,"2,769.0","1,070.0",12.6,"8,257.5",10.6,-0.3,0.3,"1,118.4","2,916.2",0.6,-0.1,0.0,"7,959.1",933.4,2.0,0.1,0.3,0.4,0.1,0.1,19.4,0.0,0.0,0.0,-0.7,51.7,0.1,0.0
08/02/2021 - 10,0.4,"2,777.5","1,084.7",8.5,"8,014.2",-2.6,-0.2,0.3,"1,165.6","2,915.5",0.5,-0.2,0.0,"2,132.9",928.5,1.9,0.0,0.1,7.9,0.0,0.1,19.5,-0.1,0.0,0.0,-0.7,57.8,0.1,0.0
