ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/26/2021 - 13,0.6,"2,572.9",960.2,30.2,"7,139.6",26.0,2.0,1.3,977.7,"2,313.2",1.1,0.1,0.2,"3,369.6",690.4,2.0,0.3,1.2,7.5,0.1,0.0,16.1,0.2,0.1,0.1,0.4,33.5,1.6,0.1
05/26/2021 - 14,0.6,"2,630.3",977.7,20.4,"7,243.2",9.3,1.6,1.1,"1,003.0","2,354.6",0.9,0.0,0.1,"1,913.5",680.5,1.9,0.3,0.4,8.7,0.1,0.1,16.3,0.5,0.0,0.1,0.3,29.6,1.3,0.0
05/28/2021 - 1,0.7,"2,897.2",958.8,53.1,"8,010.1",28.2,1.4,1.0,946.8,"2,156.6",1.4,0.2,0.3,418.9,30.5,0.1,0.2,0.9,8.7,0.1,0.2,14.6,0.1,0.0,0.1,0.2,12.8,1.5,0.0
05/28/2021 - 2,0.6,"2,944.4",940.8,24.3,"7,982.5",14.5,1.5,2.0,"1,949.1","2,088.4",1.1,0.2,0.1,259.0,4.4,0.1,0.2,1.4,12.1,0.1,0.0,14.3,3.8,0.2,0.1,0.2,10.6,1.5,0.0
05/28/2021 - 3,0.6,"2,928.6",971.6,55.7,"8,076.2",29.9,2.0,1.0,950.1,"2,154.4",1.5,0.3,0.2,411.4,29.2,0.1,0.2,0.9,14.2,0.1,0.0,14.6,0.1,0.0,0.1,0.2,12.6,1.5,0.0
05/28/2021 - 4,0.7,"2,926.8",946.4,35.1,"8,033.8",13.0,1.8,1.1,"1,051.2","2,072.6",1.1,0.2,0.2,247.3,2.7,0.1,0.2,0.9,5.9,0.1,0.1,14.2,0.5,0.0,0.1,0.1,10.2,1.4,0.0
05/28/2021 - 5,0.9,"2,806.3",970.6,43.6,"7,532.9",25.7,2.0,0.9,866.2,"2,161.3",1.2,0.2,1.0,422.4,35.8,0.1,0.2,1.0,5.5,0.1,0.0,14.8,0.1,0.0,0.1,0.1,16.3,1.4,0.0
05/28/2021 - 6,0.6,"2,803.8",947.6,27.4,"7,434.0",12.7,1.8,1.0,909.8,"2,119.6",1.5,0.1,0.2,167.1,10.8,0.0,0.2,0.8,6.8,0.1,0.0,14.6,0.9,0.0,0.1,0.1,14.6,1.6,0.0
