"Reservoir","Date","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g","Flag_Duration_days"
"FCR",2018-05-21,50,14,4,1,0.0040715,1.8,1.7,1,0.2,0.15815,0.16937,0.011,1.64032209961229,"F_Sed_4m_R1_F1_21May18",2,1,2
"FCR",2018-05-21,50,14,4,1,0.0040715,1.8,1.7,2,0.202,0.16,0.17248,0.012,1.77172504008528,"F_Sed_4m_R1_F2_21May18",2,1,2
"FCR",2018-05-21,50,14,4,2,0.0040715,1.8,1.7,4,0.197,0.159,0.17119,0.012,1.81669268069658,"F_Sed_4m_R2_F4_21May18",2,1,2
"FCR",2018-05-21,50,14,4,2,0.0040715,1.8,1.7,5,0.197,0.15643,0.16766,0.011,1.66530162397187,"F_Sed_4m_R2_F5_21May18",2,1,2
"FCR",2018-05-28,50,14,8,1,0.0040715,1.8,1.7,1,0.151,0.16138,0.16874,0.007,1.38257130611511,"F_Sed_8m_R1_F1_28May18",2,1,1
"FCR",2018-05-28,50,14,8,1,0.0040715,1.8,1.7,2,0.149,0.15865,0.16623,0.008,1.60129064025605,"F_Sed_8m_R1_F2_28May18",2,1,1
"FCR",2018-05-28,50,14,8,2,0.0040715,1.8,1.7,3,0.149,0.15971,0.16769,0.008,1.60129064025605,"F_Sed_8m_R2_F3_28May18",2,1,1
"FCR",2018-05-28,50,14,8,2,0.0040715,1.8,1.7,4,0.149,0.15971,0.16621,0.007,1.40112931022404,"F_Sed_8m_R2_F4_28May18",2,1,1
"FCR",2018-06-04,50,14,4,1,0.0040715,1.8,1.7,1,0.1,0.16143,0.17385,0.012,3.57888458097226,"F_Sed_4m_R1_F1_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,1,0.0040715,1.8,1.7,2,0.099,0.16051,0.17383,0.013,3.91628784113126,"F_Sed_4m_R1_F2_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,2,0.0040715,1.8,1.7,3,0.101,0.1585,0.16952,0.011,3.24816257348968,"F_Sed_4m_R2_F3_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,2,0.0040715,1.8,1.7,4,0.101,0.15846,0.17163,0.013,3.83873758685144,"F_Sed_4m_R2_F4_04Jun18",2,1,1
"FCR",2018-06-11,50,14,8,1,0.0040715,1.8,1.7,1,0.1,0.15742,0.16646,0.009,2.6841634357292,"F_Sed_8m_R1_F1_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,1,0.0040715,1.8,1.7,2,0.101,0.156,0.16458,0.009,2.65758756012792,"F_Sed_8m_R1_F2_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,2,0.0040715,1.8,1.7,3,0.099,0.15608,0.16475,0.009,2.71127619770626,"F_Sed_8m_R2_F3_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,2,0.0040715,1.8,1.7,4,0.101,0.1566,0.16532,0.009,2.65758756012792,"F_Sed_8m_R2_F4_11Jun18",2,1,1
"FCR",2018-06-25,50,21,4,1,0.0040715,1.8,1.7,1,0.085,0.15605,0.15941,0.003,0.701742074700444,"F_Sed_4m_R1_F1_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,1,0.0040715,1.8,1.7,2,0.087,0.15558,0.1594,0.004,0.91414676397759,"F_Sed_4m_R1_F2_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,2,0.0040715,1.8,1.7,3,0.084,0.15574,0.15866,0.003,0.710096147018306,"F_Sed_4m_R2_F3_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,2,0.0040715,1.8,1.7,4,0.086,0.15884,0.1617,0.003,0.69358228313416,"F_Sed_4m_R2_F4_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,1,0.0040715,1.8,1.7,5,0.08,0.15834,0.16292,0.005,1.86400238592305,"F_Sed_8m_R1_F5_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,1,0.0040715,1.8,1.7,6,0.079,0.15851,0.16272,0.004,1.51007788226678,"F_Sed_8m_R1_F6_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,2,0.0040715,1.8,1.7,7,0.079,0.15727,0.16228,0.005,1.88759735283347,"F_Sed_8m_R2_F7_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,2,0.0040715,1.8,1.7,8,0.08,0.15858,0.16422,0.006,2.23680286310766,"F_Sed_8m_R2_F8_25Jun18",2,1,1
"FCR",2018-07-02,50,7,4,1,0.0040715,1.8,1.7,1,0.15,0.15767,0.15946,0.002,0.795307684660503,"F_Sed_4m_R1_F1_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,1,0.0040715,1.8,1.7,2,0.15,0.15564,0.15867,0.003,1.19296152699075,"F_Sed_4m_R1_F2_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,2,0.0040715,1.8,1.7,3,0.153,0.15521,0.158211,0.003,1.16957012450074,"F_Sed_4m_R2_F3_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,2,0.0040715,1.8,1.7,4,0.15,0.15709,0.1603,0.003,1.19296152699075,"F_Sed_4m_R2_F4_02Jul18",2,1,1
"FCR",2018-07-09,50,14,8,1,0.0040715,1.8,1.7,1,0.1,0.15788,0.1632,0.005,1.49120190873844,"F_Sed_8m_R1_F1_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,1,0.0040715,1.8,1.7,2,0.1,0.15583,0.16569,0.01,2.98240381747689,"F_Sed_8m_R1_F2_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,2,0.0040715,1.8,1.7,3,0.098,0.16031,0.16388,0.004,1.21730768060281,"F_Sed_8m_R2_F3_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,2,0.0040715,1.8,1.7,4,0.1,0.159,0.1634,0.004,1.19296152699075,"F_Sed_8m_R2_F4_09Jul18",2,1,1
"FCR",2018-07-16,50,14,4,1,0.0040715,1.8,1.7,1,0.076,0.15572,0.15801,0.002,0.784843109862339,"F_Sed_4m_R1_F1_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,1,0.0040715,1.8,1.7,2,0.075,0.15558,0.1579,0.002,0.795307684660503,"F_Sed_4m_R1_F2_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,2,0.0040715,1.8,1.7,3,0.077,0.15495,0.15771,0.003,1.16197551330268,"F_Sed_4m_R2_F3_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,2,0.0040715,1.8,1.7,4,0.075,0.15688,0.15932,0.002,0.795307684660503,"F_Sed_4m_R2_F4_16Jul18",2,1,1
"FCR",2018-07-23,50,14,8,1,0.0040715,1.8,1.7,1,0.05,0.15574,0.1613,0.006,3.57888458097226,"F_Sed_8m_R1_F1_23Jul18",2,1,1
"FCR",2018-07-23,50,14,8,1,0.0040715,1.8,1.7,2,0.051,0.15399,0.15884,0.005,2.92392531125185,"F_Sed_8m_R1_F2_23Jul18",2,1,1
