DateTime,Reservoir,Depth_m,Site,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
5/31/21,BVR,1.6,50,2.373028571,-0.252032,0,4
6/28/21,BVR,1.6,50,4.5824,-0.340406857,0,4
3/8/21,BVR,1.6,50,16.72576,-16.9732096,0,4
6/15/21,BVR,1.6,50,2.373028571,-0.075282286,0,4
5/14/21,FCR,1.6,50,5.728,-0.5315584,0,4
6/15/21,FCR,1.6,50,24.71222857,-0.851017143,0,4
6/28/21,BVR,1.6,50,4.091428571,-0.026185143,0,4
3/8/21,BVR,1.6,50,6.07168,0.11456,0,4
5/24/21,FCR,1.6,50,14.32,-0.4628224,0,4
3/22/21,FCR,1.6,50,7.773714286,-5.299218286,0,4
6/28/21,FCR,1.6,50,42.19626667,0.282581333,0,4
6/7/21,FCR,1.6,50,71.1704,-2.193824,0,4
6/21/21,FCR,1.6,50,47.92426667,-0.496426667,0,4
5/24/21,FCR,1.6,50,14.32,0.7744256,0,0
4/5/21,BVR,1.6,50,9.1648,-0.2566144,0,4
4/16/21,FCR,1.6,50,3.66592,0.2932736,0,4
5/6/21,FCR,1.6,50,5.111138462,-1.304221538,0,4
4/16/21,FCR,1.6,50,3.32224,-0.3528448,0,4
5/14/21,BVR,1.6,50,1.882057143,-0.291309714,0,4
5/31/21,FCR,1.6,50,47.65696,-1.1364352,0,4
3/22/21,FCR,1.6,50,4.091428571,0.857563429,0,0
4/5/21,BVR,1.6,50,9.1648,-0.2566144,0,4
7/20/21,SNP,1,50,0.745833333,0.005966667,0,4
7/7/21,SNP,1,50,0.54416,0.2394304,0,0
6/30/21,SNP,1,50,0.63008,0.2153728,0,0
6/16/21,SNP,1,50,0.2864,0.3116032,0,0
6/23/21,SNP,1,50,0.54416,0.2394304,0,0
7/20/21,SNP,1,50,0.54416,0.2394304,0,0
7/15/21,SNP,1,50,1.74704,0.3975232,0,0
7/7/21,SNP,1,50,0.54416,0.3631552,0,0
7/15/21,SNP,1,50,0.509155556,0.443983644,0,0
6/23/21,SNP,1,50,0.63008,0.2153728,0,0
6/12/21,FCR,1.6,50,2.11936,0.8500352,0,0
5/11/21,FCR,1.6,50,2.80672,0.6575744,0,0
5/25/21,FCR,1.6,50,8.428342857,0.762642286,0,0
5/18/21,FCR,1.6,50,2.97856,0.4857344,0,0
10/19/20,FCR,1.6,50,25.96693333,4.139434667,0,0
11/16/20,BVR,1.6,50,9.85216,1.5305216,0,0
12/2/20,FCR,1.6,50,9.546666667,3.032021333,0,0
7/30/20,BVR,1.6,50,2.138453333,0.501009067,0,0
5/18/20,FCR,1.6,50,2.80672,0.6575744,0,0
12/2/20,BVR,1.6,50,10.08128,1.5488512,0,0
11/9/20,FCR,1.6,50,22.53013333,3.039658667,0,0
7/13/20,FCR,1.6,50,3.518628571,0.723364571,0,0
6/22/20,FCR,1.6,50,4.5824,1.139872,0,0
6/3/20,FCR,1.6,50,2.536685714,1.175058286,0,0
11/10/20,BVR,1.6,50,9.85216,2.52032,0,0
7/30/20,BVR,1.6,50,1.680213333,0.959249067,0,0
10/19/20,FCR,1.6,50,28.25813333,3.085482667,0,0
7/20/20,FCR,1.6,50,17.53649231,0.927054769,0,0
6/3/20,FCR,1.6,50,2.2912,1.420544,0,0
7/27/20,FCR,1.6,50,40.34148571,-0.396050286,0,4
7/23/20,BVR,1.6,50,2.825813333,1.463313067,0,0
7/20/20,BVR,1.6,50,17.00775385,0.504064,0,0
7/13/20,FCR,1.6,50,4.0096,0.762642286,0,0
6/8/20,FCR,1.6,50,4.105066667,0.843925333,0,0
7/23/20,FCR,1.6,50,3.513173333,0.775953067,0,0
7/27/20,FCR,1.6,50,39.60502857,-0.366592,0,4
6/22/20,FCR,1.6,50,3.938,1.784272,0,0
12/2/20,FCR,1.6,50,10.08128,2.2912,0,0
6/12/20,FCR,1.6,50,2.2912,0.6781952,0,0
6/8/20,FCR,1.6,50,3.818666667,1.130325333,0,0
6/9/21,CIM,1.6,5,0.954666667,0.255086933,0,0
6/1/21,CIM,1.6,4,1.069226667,0.223010133,0,0
6/9/21,CIM,1.6,4,0.725546667,0.401723733,0,0
6/9/21,CIM,1.6,3,0.725546667,0.236757333,0,0
6/1/21,CIM,1.6,5,1.069226667,0.387976533,0,0
6/1/21,CIM,1.6,1,1.183786667,0.273416533,0,0
6/1/21,CIM,1.6,6,1.183786667,0.355899733,0,0
6/9/21,CIM,1.6,2,1.069226667,0.305493333,0,0
6/1/21,CIM,1.6,3,0.954666667,0.337570133,0,4
6/1/21,CIM,1.6,2,1.527466667,-0.152746667,0,4
6/6/21,CIM,1.6,5,0.840106667,0.122197333,0,0
6/6/21,CIM,1.6,4,0.840106667,0.287163733,0,0
6/6/21,CIM,1.6,4,0.954666667,0.337570133,0,0
6/6/21,CIM,1.6,3,0.840106667,0.204680533,0,0
6/6/21,CIM,1.6,2,1.412906667,0.291746133,0,0
6/9/21,CIM,1.6,5,3.131306667,0.223010133,0,0
6/9/21,CIM,1.6,1,0.840106667,0.534613333,0,0
6/6/21,CIM,1.6,1,0.954666667,0.090120533,0,4
6/9/21,CIM,1.6,6,0.954666667,0.502536533,0,0
6/6/21,CIM,1.6,6,0.954666667,0.172603733,0,0
