Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
FCR,50,3/22/2021 0:00,1.6,7.773714286,-5.299218286,0,4
FCR,50,10/19/2015 12:00,1.6,2.3,-2.3,0,4
FCR,50,9/15/2020 0:00,1.6,73.6,-2.2,0,4
FCR,50,6/7/2021 0:00,1.6,71.1704,-2.193824,0,4
CCR,50,10/28/2015 12:00,20,0,-2.1,4,4
FCR,50,7/21/2021 0:00,1.6,12.89,-1.9,0,4
FCR,50,8/10/2015 12:00,1.6,9.2,-1.8,0,4
FCR,50,11/9/2015 12:00,5,10.1,-1.8,0,4
FCR,50,11/9/2015 12:00,6.2,2.9,-1.6,0,4
FCR,50,9/30/2020 0:00,1.6,53.8432,-1.569472,0,4
BVR,50,9/15/2020 0:00,1.6,65.46,-1.5,0,4
BVR,50,10/23/2015 12:00,12,34.6,-1.4,0,4
FCR,50,11/9/2015 12:00,9,3.5,-1.4,0,4
FCR,50,5/6/2021 0:00,1.6,5.111138462,-1.304221538,0,4
BVR,50,10/2/2015 12:00,12,11.5,-1.2,0,4
BVR,50,10/23/2015 12:00,9,19.2,-1.2,0,4
SHR,50,5/8/2015 12:00,8,1.2,-1.2,0,4
SHR,50,5/8/2015 12:00,28,1.2,-1.2,0,4
SHR,50,5/22/2015 12:00,28,1.2,-1.2,0,4
FCR,50,5/31/2021 0:00,1.6,47.65696,-1.1364352,0,4
FCR,50,9/30/2020 0:00,1.6,52.7,-1.1,0,4
BVR,50,10/23/2015 12:00,0.1,3.5,-1,0,4
BVR,50,10/23/2015 12:00,6,5.2,-1,0,4
FCR,50,9/14/2015 12:00,3.8,13.4,-1,0,4
SHR,50,7/24/2015 12:00,31,0.6,-1,4,4
CCR,50,8/7/2015 12:00,6,1.7,-0.9,0,4
FCR,50,6/15/2021 0:00,1.6,24.71222857,-0.851017143,0,4
BVR,50,10/2/2015 12:00,6,2.9,-0.8,0,4
FCR,50,10/19/2015 12:00,3.8,2.9,-0.8,0,4
BVR,50,10/23/2015 12:00,3,2.3,-0.6,0,4
SHR,50,5/8/2015 12:00,0.1,0.6,-0.6,4,4
FCR,50,5/14/2021 0:00,1.6,5.728,-0.5315584,0,4
FCR,50,10/19/2015 12:00,6.2,1.7,-0.5,0,4
CCR,50,10/28/2015 12:00,0.1,6.3,-0.5,0,4
FCR,50,6/21/2021 0:00,1.6,47.92426667,-0.496426667,0,4
FCR,50,5/24/2021 0:00,1.6,14.32,-0.4628224,0,4
FCR,50,10/19/2015 12:00,5,2.9,-0.4,0,4
FCR,50,7/27/2020 0:00,1.6,40.34,-0.4,0,4
FCR,50,7/27/2020 0:00,1.6,39.61,-0.4,0,4
FCR,50,4/16/2021 0:00,1.6,3.32224,-0.3528448,0,4
BVR,50,6/28/2021 0:00,1.6,4.5824,-0.340406857,0,4
CCR,50,5/29/2015 12:00,0.1,1.2,-0.3,0,4
CCR,50,7/10/2015 12:00,0.1,1.2,-0.3,0,4
CCR,50,8/7/2015 12:00,0.1,1.2,-0.3,0,4
BVR,50,5/14/2021 0:00,1.6,1.882057143,-0.291309714,0,4
BVR,50,4/5/2021 0:00,1.6,9.1648,-0.2566144,0,4
BVR,50,4/5/2021 0:00,1.6,9.1648,-0.2566144,0,4
BVR,50,5/31/2021 0:00,1.6,2.373028571,-0.252032,0,4
FCR,50,11/9/2015 12:00,3.8,4.3,-0.2,0,4
SHR,50,5/29/2015 12:00,8,2.3,-0.2,0,4
CCR,2,6/1/2021 0:00,0.1,1.53,-0.2,0,4
FCR,50,10/19/2015 12:00,9,1.7,-0.1,0,4
GWR,50,6/10/2015 12:00,14,1.7,-0.1,0,4
GWR,50,9/17/2015 12:00,0.1,3.5,-0.1,0,4
CCR,50,5/8/2015 12:00,0.1,3.5,-0.1,0,4
CCR,50,5/8/2015 12:00,21,1.7,-0.1,0,4
CCR,50,9/23/2015 12:00,0.1,1.7,-0.1,0,4
BVR,50,6/15/2021 0:00,1.6,2.373028571,-0.075282286,0,4
BVR,50,6/28/2021 0:00,1.6,4.091428571,-0.026185143,0,4
SHR,50,7/24/2015 12:00,0.1,0,0,4,4
FCR,50,5/2/2016 12:00,1.6,3.5,0,1,1
SNP,50,7/20/2021 0:00,1,0.75,0,0,4
GWR,50,6/22/2015 12:00,0.1,1.2,0.1,0,4
SHR,50,5/22/2015 12:00,0.1,1.2,0.1,0,4
SHR,50,5/29/2015 12:00,0.1,1.2,0.1,0,4
SHR,50,6/12/2015 12:00,0.1,1.2,0.1,0,4
SHR,50,7/10/2015 12:00,8,1.2,0.1,0,4
BVR,50,5/23/2019 12:00,0.1,0.7,0.1,0,0
FCR,50,4/1/2019 12:00,3.8,0.8,0.1,4,4
CCR,50,9/9/2015 12:00,0.1,1.2,0.1,0,4
CCR,5,6/6/2021 0:00,0.1,0.84,0.1,0,4
CCR,1,6/6/2021 0:00,0.1,0.95,0.1,0,4
BVR,50,3/8/2021 0:00,1.6,6.07168,0.11456,0,4
GWR,50,6/22/2015 12:00,14,1.9,0.2,0,4
FCR,50,8/3/2020 0:00,1.6,43.07,0.2,0,4
SNP,50,7/7/2021 0:00,1,0.54,0.2,0,0
SNP,50,6/30/2021 0:00,1,0.63,0.2,0,0
SNP,50,6/23/2021 0:00,1,0.54,0.2,0,0
SNP,50,7/20/2021 0:00,1,0.54,0.2,0,0
SNP,50,6/23/2021 0:00,1,0.63,0.2,0,0
SNP,50,10/20/2021 0:00,0.1,1.03,0.2,0,0
BVR,50,7/21/2021 0:00,1.6,4.47,0.2,0,4
CCR,4,6/1/2021 0:00,0.1,1.07,0.2,0,0
CCR,3,6/9/2021 0:00,0.1,0.73,0.2,0,0
CCR,3,6/6/2021 0:00,0.1,0.84,0.2,0,0
CCR,5,6/9/2021 0:00,0.1,3.13,0.2,0,0
CCR,50,6/6/2021 0:00,0.1,0.95,0.2,0,0
FCR,50,6/28/2021 0:00,1.6,42.19626667,0.282581333,0,4
FCR,50,4/16/2021 0:00,1.6,3.66592,0.2932736,0,4
FCR,50,8/10/2015 12:00,9,3.8,0.3,0,4
GWR,50,5/20/2015 12:00,13,0.6,0.3,4,4
SHR,50,5/29/2015 12:00,31,0.6,0.3,4,4
SHR,50,6/12/2015 12:00,8,3.5,0.3,0,4
SHR,50,7/10/2015 12:00,0.1,0.6,0.3,4,4
FCR,50,5/7/2018 12:00,0.1,1.9,0.3,0,0
BVR,50,7/3/2019 12:00,0.1,1.3,0.3,0,0
SNP,50,6/16/2021 0:00,1,0.29,0.3,0,0
FCR,50,9/14/2021 0:00,1.6,4.7,0.3,0,4
CCR,50,5/29/2015 12:00,6,1.7,0.3,0,4
CCR,50,7/24/2015 12:00,0.1,1.7,0.3,0,4
CCR,5,6/9/2021 0:00,0.1,0.95,0.3,0,0
CCR,1,6/1/2021 0:00,0.1,1.18,0.3,0,0
CCR,2,6/9/2021 0:00,0.1,1.07,0.3,0,0
CCR,3,6/1/2021 0:00,0.1,0.95,0.3,0,0
CCR,4,6/6/2021 0:00,0.1,0.84,0.3,0,0
CCR,4,6/6/2021 0:00,0.1,0.95,0.3,0,0
CCR,2,6/6/2021 0:00,0.1,1.41,0.3,0,0
FCR,50,8/10/2020 0:00,1.6,29.67,0.4,0,4
FCR,50,11/9/2015 12:00,1.6,4.9,0.4,0,4
SHR,50,7/10/2015 12:00,31,0,0.4,4,4
FCR,50,4/25/2016 12:00,3.8,2.1,0.4,1,1
BVR,50,5/4/2018 12:00,0.1,3,0.4,0,0
FCR,50,5/7/2018 12:00,0.1,1.9,0.4,0,0
FCR,50,5/14/2018 12:00,0.1,1.2,0.4,0,0
FCR,50,6/11/2018 12:00,1.6,3.5,0.4,0,0
BVR,50,4/8/2019 12:00,0.1,1.2,0.4,0,0
SNP,50,7/15/2021 0:00,9,1.75,0.4,0,0
SNP,50,7/7/2021 0:00,1,0.54,0.4,0,0
SNP,50,7/15/2021 0:00,1,0.51,0.4,0,0
FCR,50,8/24/2021 0:00,1.6,4.35,0.4,0,0
FCR,50,8/2/2021 0:00,1.6,3.87,0.4,0,4
CCR,50,6/12/2015 12:00,0.1,0,0.4,4,4
CCR,50,9/23/2015 12:00,6,2.9,0.4,0,4
CCR,50,9/23/2015 12:00,19,1,0.4,4,4
CCR,4,6/9/2021 0:00,0.1,0.73,0.4,0,0
CCR,5,6/1/2021 0:00,0.1,1.07,0.4,0,0
CCR,50,6/1/2021 0:00,0.1,1.18,0.4,0,0
SHR,50,5/22/2015 12:00,8,1.2,0.5,0,4
SHR,50,6/12/2015 12:00,31,1.2,0.5,0,4
FCR,50,5/7/2018 12:00,3.8,2.3,0.5,0,0
BVR,50,6/20/2019 12:00,0.1,1.8,0.5,0,0
BVR,50,5/16/2019 12:00,0.1,1,0.5,0,0
