"Reservoir","Site","DataStream","TIMESTAMP_start","TIMESTAMP_end","start_parameter","end_parameter","flag","update_value","adjustment_code","notes"
"CCR",101,"hpb_inflow",2024-05-22 14:35:00,2024-05-22 15:05:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2024-06-19 10:35:00,2024-06-19 10:45:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2024-09-30 11:55:00,2024-09-30 12:05:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2024-10-28 12:35:00,2024-10-28 12:45:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2024-12-17 12:45:00,2024-12-17 12:55:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2025-04-16 11:25:00,2025-04-16 12:15:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for  install"
"CCR",101,"hpb_inflow",2025-04-11 13:10:00,2025-06-11 12:10:00,"corrected_Pres_kPa",NA,4,NA,"hobo[Time, maintenance_cols]+0.983","moved PT down closer to the stream bed so applied an offset to earlier pressure values"
"CCR",101,"hpb_inflow",2025-06-11 12:10:00,2025-06-11 12:30:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2025-07-09 09:55:00,2025-07-09 10:05:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2025-08-20 10:55:00,2025-08-20 11:05:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hbp_inflow",2025-11-11 11:45:00,2025-11-11 11:55:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2025-12-02 12:30:00,2025-12-02 12:40:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2026-02-17 12:30:00,2026-02-17 12:40:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
"CCR",101,"hpb_inflow",2026-03-03 15:00:00,2026-03-03 15:00:00,"HOBO_Abs_Pres_kPa","Temp_C",1,NA,NA,"sensor out of water for data download"
