"Reservoir","Site","time_start","time_end","curve_name","Iteration","a","b","gzf","RSE","max_dev_stage","max_obs_stage","min_dev_stage","min_obs_stage"
"CCR",101,2024-01-10,2025-01-01,"CCR101_RC_1","2024",5.07374851850729e-05,2.21950941731373,18.6,0.00261357134361544,36.0933906720194,62.8436601182459,25.1287776645585,18.6403543938882
"CCR",101,2024-01-10,2026-03-01,"CCR101_RC_1","All",2.34167749190919e-06,3.41275937904739,18.6,0.00513335871489823,38.8520239256815,86.1981701590597,25.1287776645585,18.6403543938882
