Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC,Date NOTES
FCR,50,9/21/21 13:50,6.2,,10/3/21,1.8,5.7,7.6,0.66,,F 21sep21 6.2,
FCR,50,9/21/21 13:58,8,,10/3/21,2.2,5.5,7.7,0.68,,F 21sep21 8.0,
FCR,50,9/21/21 14:08,9,,10/3/21,1.9,6,7.9,0.82,,F 21sep21 9.0,
FCR,50,8/23/21 12:34,0.1,,10/3/21,3.4,3.5,6.9,0.21,,F 23aug21 0.1,
FCR,50,8/23/21 13:05,5,,10/3/21,3.1,3.4,6.5,0.35,,F 23aug21 5.0,
FCR,50,8/23/21 13:13,6.2,,10/3/21,1.7,4.6,6.3,0.56,,F 23aug21 6.2,
FCR,50,8/23/21 13:54,9,,10/3/21,1.6,5.1,6.7,0.95,,F 23aug21 9.0,
FCR,50,7/26/21 13:41,5,,10/3/21,1.9,4,5.9,0.25,,F 25jul21 5.0,
FCR,50,7/26/21 12:50,1.6,,10/3/21,5.3,3.7,8.9,0.37,,F 26jul21 1.6,
FCR,50,7/26/21 13:35,3.8,,10/3/21,3,3.4,6.4,0.24,,F 26jul21 3.8,
FCR,50,7/26/21 13:46,6.2,,10/3/21,1.8,4.1,5.8,0.65,,F 26jul21 6.2,
FCR,50,7/26/21 13:50,8,,10/3/21,2.3,4,6.3,0.63,,F 26jul21 8.0,
FCR,50,7/26/21 13:56,9,,10/3/21,3,4.1,7.1,1.1,,F 26jul21 9.0,
FCR,50,9/27/21 10:42,3.8,,10/3/21,3,3.5,6.5,0.17,,F 27sep21 3.8,
FCR,50,9/27/21 10:52,5,,10/3/21,2,4.3,6.4,0.33,,F 27sep21 5.0,
FCR,50,9/27/21 11:02,6.2,,10/3/21,2,5.1,7.1,0.71,,F 27sep21 6.2,
FCR,50,9/27/21 11:13,8,,10/3/21,1.9,5.3,7.3,0.98,,F 27sep21 8.0,
FCR,50,9/27/21 11:24,9,,10/3/21,1.3,5.5,6.9,0.88,,F 27sep21 9.0,
FCR,200,9/27/21 14:48,0.1,,10/3/21,2.2,4.5,6.7,0.15,,F 27sep21 wet,
FCR,50,8/31/21 9:30,0.1,,10/3/21,3.6,3.7,7.3,0.27,,F 31aug21 0.1,
FCR,50,8/31/21 9:55,3.8,,10/3/21,2.6,4.1,6.7,0.21,,F 31aug21 3.9,
FCR,50,8/31/21 10:46,9,,10/3/21,2,5,7,0.81,,F 31aug21 9.0,
FCR,200,8/31/21 12:00,0.1,,10/3/21,3.4,5.6,9,0.18,,F 31aug21 wet,
FCR,100,9/27/21 14:25,0.1,,10/3/21,1.6,3.5,5.1,0.14,,F27sep21 weir,
SUN,buoy,7/15/21 0:00,9,,10/3/21,3.5,1.2,4.6,0.15,DO NOT PUBLISH,SUNP buoy 15jul21 DOmax 9.0,
BVR,50,8/9/21 10:05,0.1,,12/15/21,3.6,2.4,6,0.2,,B 09aug21 0.1,
BVR,50,11/9/21 10:46,3,,12/10/21,2.8,2.9,5.7,0.25,,B 09nov21 3.0,
BVR,50,11/9/21 11:00,6,,12/13/21,3.1,2.9,6,0.23,,B 09nov21 6.0,
BVR,50,11/9/21 11:12,9,,12/10/21,2.8,3,5.8,0.22,,B 09nov21 9.0,
BVR,50,10/12/21 11:15,0.1,,12/9/21,3.2,2.5,5.7,0.19,,B 12oct21 0.1,
BVR,50,10/12/21 12:02,10,,12/10/21,2.9,5.7,8.6,2.39,,B 12oct21 10.0,
BVR,50,10/12/21 11:27,3,,12/14/21,3,2.7,5.7,0.2,,B 12oct21 3.0,
BVR,50,10/12/21 11:40,6,,12/14/21,1.5,4.2,5.7,0.26,,B 12oct21 6.0,
BVR,50,10/12/21 11:53,9,,12/10/21,2.2,4.6,6.8,1.6,,B 12oct21 9.0,
BVR,50,11/22/21 10:04,0.1,,12/9/21,2.9,2.8,5.8,0.2,,B 22nov21 0.1,
BVR,50,11/22/21 10:10,3,,12/13/21,2.8,2.8,5.5,0.19,,B 22nov21 3.0,
BVR,50,11/22/21 10:13,6,,12/13/21,2.7,3.1,5.8,0.22,,B 22nov21 6.0,
BVR,50,8/23/21 10:39,11,,12/15/21,1.5,3.6,5.1,0.45,,B 23aug21 11.0,
BVR,50,10/26/21 11:25,0.1,,12/15/21,3.1,2.7,5.9,0.18,,B 25oct21 0.1,
BVR,50,10/26/21 11:40,3,,12/9/21,3.1,2.7,5.8,0.2,,B 260ct21 3.0,
BVR,50,10/26/21 12:30,10,,12/10/21,2.6,5.4,8,2.68,10 not 11m,B 26oct21 11.0,
BVR,50,10/26/21 12:00,6,,12/15/21,3,2.8,5.8,0.17,,B 26oct21 6.0,
CCR,50,8/19/21 12:00,6,,12/14/21,2.6,4.5,7.1,0.19,,C 19aug21 6.0,datetime_flag!
CCR,51,8/19/21 10:00,1.5,,12/10/21,2.5,4.3,6.8,0.12,,C 19aug21 EXO 1.5,datetime_flag!
CCR,100,8/19/21 12:51,0.1,,12/14/21,2.7,2.3,5,0.21,,C 19aug21 HPB 0.1,
CCR,50,11/19/21 12:11,0.1,,12/14/21,2.3,6.9,9.2,0.19,,C 19nov21 0.1,
CCR,50,11/19/21 12:11,1.5,,12/14/21,2.3,7,9.3,0.19,,C 19nov21 1.5,
CCR,50,11/19/21 12:11,20,,12/9/21,2.2,6.8,9,0.17,20 not 21m,C 19nov21 21.0,
CCR,50,11/19/21 12:11,6,,12/9/21,2.1,7.5,9.6,0.18,,C 19nov21 6.0,
CCR,100,11/19/21 13:41,0.1,,12/9/21,1.7,2.5,4.2,0.06,,C 19nov21 HPB,
CCR,301,11/19/21 12:00,0.1,,12/10/21,1.7,0.9,2.6,0.04,,C 19nov21 SMB,datetime_flag!
CCR,100,9/23/21 15:06,0.1,,12/13/21,3.9,1.5,5.3,0.2,,C 23sep21 HPB 0.1,
CCR,50,9/23/21 13:26,0.1,,12/14/21,2.6,5.5,8.2,0.15,,C 23sep21 site50 0.1,
CCR,50,9/23/21 13:45,9,,12/13/21,2.3,5,7.3,0.16,,C 23sep21 site50 9.0,
CCR,301,9/23/21 18:20,0.1,,12/13/21,2,0.2,2.2,0.08,,C 23sep21 SMB 0.1,
CCR,50,7/28/21 12:00,0.1,,12/9/21,2.1,4.4,6.6,0.09,,C 28jul21 0.1,datetime_flag!
CCR,50,7/28/21 12:00,6,,12/9/21,2.6,4.1,6.7,0.11,,C 28jul21 6.0,datetime_flag!
FCR,50,8/2/21 10:43,1.6,,12/14/21,4.2,3.8,8,0.28,,F 02aug21 1.6,
FCR,50,8/2/21 10:53,3.8,,12/14/21,1.9,3.9,5.8,0.16,,F 02aug21 3.8,
FCR,50,8/2/21 11:03,5,,12/9/21,1.5,4.3,5.8,0.16,,F 02aug21 5.0,
FCR,50,11/3/21 10:35,0.1,,12/14/21,3,4.2,7.2,0.29,,F 03nov21 0.1,
FCR,50,11/3/21 10:44,1.6,,12/15/21,2.5,4.2,6.6,0.24,,F 03nov21 1.6,
FCR,50,11/3/21 10:53,3.8,,12/13/21,2.7,4.1,6.8,0.28,,F 03nov21 3.8,
FCR,50,11/3/21 11:02,5,,12/14/21,2.8,4.4,7.2,0.3,,F 03nov21 5.0,
FCR,50,11/3/21 11:11,6.2,,12/14/21,2.2,4.5,6.7,0.32,,F 03nov21 6.2,
FCR,50,11/3/21 11:19,8,,12/10/21,1.7,5.4,7.1,0.72,,F 03nov21 8.0,
FCR,50,11/3/21 11:30,9,,12/15/21,1.5,6,7.5,1.14,,F 03nov21 9.0,
FCR,50,10/4/21 12:00,3.8,,12/13/21,3,3.9,7,0.21,,F 04oct21 3.8,
FCR,50,10/4/21 12:20,5,,12/9/21,1.2,5.8,7,0.54,,F 04oct21 5.0,
FCR,50,10/4/21 12:40,6.2,,12/13/21,1.7,6.2,7.8,0.94,,F 04oct21 6.2,
FCR,50,9/6/21 13:19,1.6,,12/9/21,3.9,3.9,7.9,0.29,,F 06sep21 1.6,
FCR,50,9/6/21 13:29,3.8,,12/15/21,2.7,4.1,6.9,0.18,,F 06sep21 3.8,
FCR,50,9/6/21 13:39,5,,12/9/21,2.3,4.5,6.8,0.33,,F 06sep21 5.0,
FCR,50,11/8/21 9:45,0.1,,12/13/21,2.7,4.1,6.7,0.23,,F 08nov21 0.1,
FCR,50,11/8/21 10:01,3.8,,12/13/21,2.6,4.2,6.8,0.23,,F 08nov21 3.8,
FCR,50,11/8/21 10:10,5,,12/10/21,2.8,4.4,7.2,0.26,,F 08nov21 5.0,
FCR,50,11/8/21 10:18,6.2,,12/9/21,2.7,4.2,6.9,0.23,,F 08nov21 6.2,
FCR,50,11/8/21 10:25,8,,12/10/21,2.4,4.2,6.6,0.22,,F 08nov21 8.0,
FCR,50,11/8/21 10:32,9,,12/14/21,2.5,4.2,6.7,0.21,,F 08nov21 9.0,
FCR,50,8/9/21 13:20,1.6,,12/9/21,3.7,4.1,7.8,0.27,,F 09aug21 1.6,
FCR,50,8/9/21 14:05,6.2,,12/15/21,1.7,4.7,6.4,0.43,,F 09aug21 6.2,
FCR,50,10/11/21 10:30,0.1,,12/15/21,2.9,3.8,6.7,0.19,,F 11oct21 0.1,
FCR,50,10/11/21 10:50,1.6,,12/13/21,3.2,3.8,7.1,0.19,,F 11oct21 1.6,
FCR,50,10/11/21 11:00,3.8,,12/13/21,2.9,4,6.9,0.19,,F 11oct21 3.8,
FCR,50,10/11/21 11:05,5,,12/15/21,2.2,4.5,6.7,0.23,,F 11oct21 5.0,
FCR,50,10/11/21 11:15,6.2,,12/13/21,1.5,5.8,7.4,0.78,,F 11oct21 6.2,
FCR,50,10/11/21 11:32,9,,12/14/21,1.5,6.3,7.8,1.15,,F 11oct21 9.0,
FCR,100,10/11/21 15:15,0.1,,12/13/21,1.3,4.2,5.5,0.11,,F 11oct21 weir,
FCR,50,7/12/21 10:12,8,,12/9/21,1.8,4.1,5.9,0.59,,F 12jul21 8.0,
FCR,50,9/14/21 11:09,3.8,,12/15/21,2.5,4.1,6.5,0.14,,F 14sep21 3.8,
FCR,50,9/14/21 11:19,5,,12/15/21,1.6,5.2,6.9,0.49,,F 14sep21 5.0,
FCR,50,9/14/21 11:40,8,,12/14/21,1.3,5.9,7.2,0.73,,F 14sep21 8.0,
FCR,50,9/14/21 11:56,9,,12/15/21,1.2,5.8,7,0.75,,F 14sep21 9.0,
FCR,100,9/14/21 16:19,0.1,,12/15/21,0.9,4,4.9,0.16,,F 14sep21 weir,
FCR,50,8/16/21 10:29,5,,12/15/21,1.7,4.5,6.2,0.24,,F 15aug21 5.0,
FCR,50,8/16/21 10:41,6.2,,12/9/21,1.1,5.3,6.4,0.69,,F 16aug21 6.2,
FCR,50,10/18/21 11:00,1.6,,12/13/21,2.9,3.9,6.8,0.17,,F 18oct21 1.6,
FCR,50,10/18/21 11:20,3.8,,12/9/21,2.9,4.2,7.1,0.18,,F 18oct21 3.8,
FCR,50,10/18/21 11:37,5,,12/10/21,1.2,5.6,6.9,0.46,,F 18oct21 5.0,
FCR,50,10/18/21 11:51,6.2,,12/10/21,1.3,6.2,7.4,1.18,,F 18oct21 6.2,
FCR,50,10/18/21 12:12,8,,12/10/21,1.1,6.5,7.7,1.16,,F 18oct21 8.0,
FCR,50,7/21/21 11:25,5,,12/10/21,3.4,3.8,7.2,0.33,,F 21 jul21 5.0,
FCR,100,7/21/21 12:00,0.1,,12/10/21,0.9,3.6,4.5,0.17,,F 21jul21 WEIR,datetime_flag!
FCR,50,9/21/21 13:30,3.8,,12/14/21,2.8,4.2,7,0.26,,F 21sep21 3.8,
FCR,50,9/21/21 13:38,5,,12/15/21,1.3,5.8,7,0.52,,F 21sep21 5.0,
FCR,50,11/22/21 12:35,0.1,,12/14/21,3.4,4.1,7.5,0.21,,F 22nov21 0.1,
FCR,50,11/22/21 13:05,3.8,,12/10/21,3.5,4.1,7.6,0.22,,F 22nov21 3.8,
FCR,50,11/22/21 13:25,5,,12/15/21,3.3,4,7.3,0.19,,F 22nov21 5.0,
FCR,50,11/22/21 13:49,8,,12/15/21,3.3,4,7.3,0.2,,F 22nov21 8.0,
FCR,50,11/22/21 14:00,9,,12/14/21,3.5,4,7.5,0.21,,F 22nov21 9.0,
FCR,200,11/22/21 12:00,0.1,,12/10/21,1.5,4.2,5.7,0.07,,F 22nov21 WET,datetime_flag!
FCR,50,8/23/21 12:44,1.6,,12/15/21,3.2,3.7,7,0.19,,F 23aug21 1.6,
FCR,50,8/23/21 12:55,3.8,,12/14/21,2.2,3.9,6.1,0.17,,F 23aug21 3.8,
FCR,50,8/23/21 13:37,8,,12/9/21,1.1,5.4,6.5,0.64,,F 23aug21 8.0,
FCR,50,10/25/21 10:00,0.1,,12/10/21,2.8,4.1,6.9,0.19,,F 25oct21 0.1,
FCR,50,10/25/21 10:16,1.6,,12/13/21,2.6,4.1,6.7,0.17,,F 25oct21 1.6,
FCR,50,10/25/21 10:30,3.8,,12/10/21,2.8,3.9,6.7,0.21,,F 25oct21 3.8,
FCR,50,10/25/21 11:24,8,,12/10/21,1.3,6.2,7.5,0.99,,F 25oct21 8.0,
FCR,50,10/25/21 11:45,9,,12/9/21,1.2,6.6,7.8,1.09,,F 25oct21 9.0,
FCR,100,10/25/21 14:40,0.1,,12/13/21,2.1,4.2,6.3,0.06,,F 25oct21 weir,
FCR,50,9/27/21 10:24,0.1,,12/15/21,2.9,3.9,6.8,0.17,,F 27sep21 0.1,
FCR,50,8/31/21 9:45,1.6,,12/14/21,3.2,4,7.2,0.21,,F 31aug21 1.6,
FCR,50,8/31/21 10:22,6.2,,12/9/21,1.2,5.5,6.7,0.67,,F 31aug21 6.2,
FCR,100,8/31/21 13:38,0.1,,12/13/21,1.5,4.1,5.6,0.18,,F 31aug21 weir,
SUN,buoy,7/15/21 0:00,1,,12/13/21,3.7,1.4,5,0.19,DO NOT PUBLISH,SUNP buoy 15jul21 1.0,
BVR,50,12/6/21 9:57,0.1,,1/25/22,3.1,2.9,6,0.32,,B 06dec21 0.1,
BVR,50,12/6/21 10:02,3,,1/25/22,3,2.8,5.8,0.23,,B 06dec21 3.0,
BVR,50,12/6/21 10:10,6,,1/25/22,2.7,2.7,5.4,0.19,,B 06dec21 6.0,
BVR,50,12/6/21 10:18,9,,1/25/22,2.7,2.7,5.3,0.19,,B 06dec21 9.0,
BVR,50,9/6/21 10:36,10,,1/25/22,2.9,5,7.9,2.25,,B 06sep21 10.0,
BVR,50,11/9/21 10:32,0.1,,1/25/22,2.9,2.8,5.7,0.26,,B 09nov21 0.1,
BVR,50,9/21/21 10:19,3,,1/25/22,3.8,2.6,6.4,0.24,,B 21sep21 3.0,
BVR,50,11/22/21 10:18,9,,1/24/22,3.3,2.7,6,0.26,,B 22nov21 9.0,
BVR,50,8/9/21 11:10,10,,1/24/22,9.1,3.2,12.3,0.34,,B 09aug21 10.0 TOC only,
BVR,50,7/26/21 10:00,3,,1/24/22,3.3,2.3,5.6,0.2,,B 26jul21 3.0,
BVR,50,10/26/21 12:14,9,,1/25/22,2.2,5.3,7.5,2.76,,B 26oct21 9.0,
CCR,400,8/19/21 15:34,0.1,,1/25/22,5.5,ND,ND,0.7,run_NPOC,C 19aug21 TCT 0.1,
CCR,50,11/19/21 12:11,9,,1/24/22,2.2,6.8,9,0.16,,C 19nov21 9.0,
CCR,50,9/23/21 13:36,6,,1/25/22,2.6,6.3,8.9,0.14,,C 23sep21 Site50 6,
FCR,50,8/2/21 10:30,0.1,,1/25/22,4,3.7,7.7,0.26,,F 02aug21 0.1,
FCR,50,10/4/21 11:20,0.1,,1/25/22,2.9,4.8,7.8,0.19,,F 04oct21 0.1,
FCR,50,10/4/21 11:35,1.6,,1/25/22,3,3.6,6.6,0.18,,F 04oct21 1.6,
FCR,50,10/4/21 13:00,8,,1/25/22,2.2,6.3,8.5,1.16,,F 04oct21 8.0,
FCR,50,10/4/21 13:20,9,,1/24/22,1.3,6.1,7.4,1.02,,F 04oct21 9.0,
FCR,50,12/6/21 13:15,0.1,,1/24/22,3.4,4.2,7.6,0.22,,F 06dec21 0.1,
FCR,50,12/6/21 13:30,1.6,,1/25/22,3.8,4,7.8,0.24,,F 06dec21 1.6,
FCR,50,12/6/21 13:39,3.8,,1/25/22,3.4,4,7.4,0.2,,F 06dec21 3.8,
FCR,50,12/6/21 13:49,5,,1/25/22,3,4.3,7.3,0.21,,F 06dec21 5.0,
FCR,50,12/6/21 13:59,6.2,,1/24/22,3.3,3.9,7.2,0.23,,F 06dec21 6.2,
FCR,50,12/6/21 13:07,8,,1/24/22,3.4,4,7.3,0.22,,F 06dec21 8.0,
FCR,50,12/6/21 14:14,9,,1/25/22,3.2,4,7.2,0.19,,F 06dec21 9.0,
FCR,200,??,0.1,,1/24/22,1.3,4.4,5.7,0.09,drop sample because shouldn't have gone to wetland on this day,F 06dec21 wet,
FCR,50,7/7/21 15:22,6.2,,1/24/22,1.4,4,5.3,0.39,,F 07jul21 6.2 TOC only,
FCR,50,6/7/21 11:35,6.2,,1/24/22,1.6,3.4,5,0.16,,F 07jun21 6.2 TOC only,
FCR,50,11/8/21 9:53,1.6,,1/24/22,2.7,4,6.7,0.25,,F 08nov21 1.6,
FCR,100,11/8/21 13:20,0.1,,1/25/22,1.4,3.8,5.2,0.04,,F 08nov21 weir,
FCR,200,11/8/21 12:00,0.1,,1/24/22,1.8,4.6,6.4,0.12,,F 08nov21 wet,
FCR,50,10/11/21 11:22,8,,1/25/22,1.5,6.4,7.9,1.21,,F 11oct21 8.0,
FCR,200,10/11/21 15:40,0.1,,1/24/22,2.1,5.1,7.2,0.15,,F 11oct21 wet,
FCR,50,9/14/21 10:46,0.1,,1/25/22,2.9,3.8,6.7,0.18,,F 14sep21 0.1,
FCR,50,9/14/21 11:30,6.2,,1/25/22,1.1,6,7,0.79,,F 14sep21 6.2,
FCR,50,8/16/21 11:09,9,,1/25/22,1.2,5.6,6.8,0.86,,F 16aug21 9.0,
FCR,50,10/18/21 10:43,0.1,,1/25/22,2.8,3.8,6.6,0.18,,F 18oct21 0.1,
FCR,50,10/18/21 12:28,9,,1/24/22,1.8,6.3,8.1,1.14,,F 18oct21 9.0,
FCR,50,7/21/21 11:59,8,,1/24/22,2,4.3,6.3,0.68,,F 21jul21 8.0,
FCR,50,11/22/21 12:54,1.6,,1/25/22,3.5,4.1,7.6,0.21,,F 22nov21 1.6,
FCR,50,11/22/21 13:39,6.2,,1/24/22,3.3,4.1,7.4,0.25,,F 22nov21 6.2,
FCR,100,11/22/21 12:00,0.1,,1/25/22,1.2,3.6,4.8,0.04,,F 22nov21 weir,
FCR,50,10/25/21 10:53,5,,1/25/22,4.2,4.7,8.9,0.34,,F 25oct21 5.0,
FCR,50,10/25/21 11:11,6.2,,1/24/22,1.6,5.9,7.5,0.96,,F 25oct21 6.2,
FCR,50,7/26/21 12:55,0.1,,1/25/22,4.6,3.6,8.2,0.32,,F 26jul21 0.1,
FCR,50,9/27/21 10:31,1.6,,1/25/22,3.4,3.6,7,0.19,,F 27sep21 1.6,
FCR,50,8/31/21 10:07,5,,1/25/22,2,4.6,6.6,0.37,,F 31aug21 5.0,
FCR,50,8/31/21 10:35,8,,1/24/22,1.4,5.5,6.9,0.79,,F 31aug21 8.0,
SUN,buoy,10/20/21 12:00,1,,1/25/22,3.5,1.5,5,0.15,,SUNP 20oct21 buoy 1.0,datetime_flag!
SUN,buoy,10/20/21 12:00,10,,1/24/22,3.5,1.3,4.8,0.16,,SUNP 20oct21 buoy 10.0,datetime_flag!
SUN,HH,10/20/21 12:00,1,,1/25/22,3.3,1.5,4.8,0.19,,SUNP 20oct21 HH 1.0,datetime_flag!
CCR,500,11/19/21 12:00,0.1,,4/14/22,1.2,ND,ND,0.14,run_NPOC,C19nov21 S CCT,datetime_flag!
CCR,400,11/19/21 12:00,0.1,,4/14/22,0.9,ND,ND,0.38,run_NPOC,C19novS TCT,datetime_flag!
CCR,500,9/23/21 18:55,0.1,,4/14/22,3.15,ND,ND,0.86,run_NPOC,C23sep21 CCT 0.1,
CCR,400,9/23/21 17:05,0.1,,4/14/22,3.17,ND,ND,1.18,run_NPOC,C23sep21 TCT 0.1,
