Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC,Date NOTES
FCR,50,5/14/21 13:44,5,,6/16/21,1.8,2.59,4.39,0.13,,F 14may21 5.0,
FCR,50,5/14/21 13:50,6.2,,6/16/21,1.39,3.07,4.46,0.12,,F 14may21 6.2,
FCR,50,5/14/21 13:56,8,,6/16/21,1.18,3.46,4.65,0.2,,F 14may21 8.0,
FCR,50,5/14/21 14:02,9,,6/16/21,1.57,3.54,5.11,0.23,,F 14may21 9.0,
FCR,50,4/16/21 14:05,6.2,,6/16/21,1.6,2.86,4.46,0.15,,F 16apr21 6.2,
FCR,50,4/16/21 14:15,8,,6/16/21,1.81,3.36,5.17,0.18,,F 16apr21 8.0,
FCR,50,4/16/21 13:23,0.1,,6/16/21,2.41,2.88,5.29,0.14,,F 16apr21 0.1,
FCR,50,4/16/21 13:33,1.6,,6/16/21,1.82,2.87,4.69,0.16,,F 16apr21 1.6,
FCR,50,4/16/21 13:40,3.8,,6/16/21,2.1,2.95,5.05,0.1,,F 16apr21 3.8,
FCR,50,4/16/21 13:55,5,,6/16/21,1.35,2.99,4.34,0.12,,F 16apr21 5.0,
FCR,50,4/16/21 14:24,9,,6/16/21,1.38,3.16,4.54,0.13,,F 16apr21 9.0,
FCR,100,4/16/21 15:37,0.1,,6/16/21,1.42,2.47,3.9,0.16,,F 16apr21 weir,
FCR,50,3/22/21 9:21,0.1,,6/16/21,1.84,3.07,4.91,0.13,,F 22mar21 0.1,
FCR,50,3/22/21 9:31,1.6,,6/16/21,1.95,2.7,4.65,0.14,,F 22mar21 1.6,
FCR,50,3/22/21 11:10,3.8,,6/16/21,1.45,3.12,4.57,0.16,,F 22mar21 3.8,
FCR,50,3/22/21 10:07,5,,6/16/21,1.89,2.73,4.62,0.14,,F 22mar21 5.0,
FCR,50,3/22/21 10:20,6.2,,6/16/21,1.77,2.7,4.48,0.12,,F 22mar21 6.2,
FCR,50,3/22/21 10:32,8,,6/16/21,1.8,2.68,4.49,0.18,,F 22mar21 8.0,
FCR,50,3/22/21 10:43,9,,6/16/21,1.25,2.79,4.04,0.18,,F 22mar21 9.0,
FCR,100,3/22/21 13:30,0.1,,6/16/21,1.84,2.6,4.45,0.12,,F 22mar21 weir,
FCR,200,3/22/21 13:45,0.1,,6/16/21,1.19,3.15,4.34,0.18,,F 22mar21 wet,
FCR,50,5/24/21 11:17,0.1,,6/16/21,2.82,3.37,6.19,0.23,,F 24may21 0.1,
FCR,50,5/24/21 11:31,1.6,,6/16/21,3.3,3.36,6.65,0.37,,F 24may21 1.6,
FCR,50,5/24/21 12:57,3.8,,6/16/21,2.87,3.14,6.01,0.19,,F 24may21 3.8,
FCR,50,5/24/21 13:16,5,,6/16/21,1.32,3.43,4.75,0.14,,F 24may21 5.0,
FCR,50,5/24/21 13:32,6.2,,6/16/21,1.26,3.18,4.44,0.14,,F 24may21 6.2,
FCR,50,5/24/21 13:35,8,,6/16/21,1.44,4.24,5.68,0.19,,F 24may21 8.0,
FCR,50,5/24/21 13:44,9,,6/16/21,1.43,4.05,5.48,0.3,,F 24may21 9.0,
FCR,100,5/24/21 14:40,0.1,,6/16/21,1.04,3.1,4.14,0.18,,F 24may21 weir,
FCR,200,5/24/21 15:20,0.1,,6/16/21,1.5,4.35,5.85,0.18,,F 24may21 wet,
FCR,200,4/26/21 15:30,0.1,,6/16/21,1.9,3.46,5.35,0.17,date on sample map,F 26apr21 wet 200,
FCR,50,2/26/21 10:45,0.1,,6/16/21,2.22,2.71,4.92,0.14,,F 26feb21 0.1,
FCR,50,2/26/21 12:07,9,,6/16/21,1.75,3,4.75,0.14,,F 26feb21 9.0,
FCR,50,2/26/21 11:18,5,,6/16/21,1.78,2.88,4.66,0.13,,F 26feb21 5.0,
