Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
BVR,50,5/3/21 10:15,0.1,,6/16/21,3.4,11.5,0.7,,B 03may21 0.1
BVR,50,5/3/21 11:01,11,,6/16/21,91.2,3.1,4.9,,B 03may21 11.0
BVR,50,5/3/21 10:26,3,,6/16/21,7.6,0.7,0.3,,B 03may21 3.0
BVR,50,5/3/21 10:39,6,,6/16/21,4.8,3.7,1.2,,B 03may21 6.0
BVR,50,5/3/21 10:43,9,,6/16/21,13.7,6.5,0.3,,B 03may21 9.0
BVR,50,4/5/21 11:00,0.1,,6/16/21,3.7,4.9,1.3,,B 05apr21 0.1
BVR,50,4/5/21 11:26,11,,6/16/21,6,11.5,4.2,,B 05apr21 11.0
BVR,50,4/5/21 11:07,3,,6/16/21,5.3,3.5,2.7,,B 05apr21 3.0
BVR,50,4/5/21 11:08,6,,6/16/21,9.5,0.5,5.7,,B 05apr21 6.0 repeat
BVR,50,4/5/21 11:15,9,,6/16/21,8.8,5.8,1.7,,B 05apr21 9.0
BVR,50,3/8/21 10:28,0.1,,6/16/21,8.3,1.7,1.3,,B 08mar21 0.1
BVR,50,3/8/21 10:58,11,,6/16/21,6.9,5.6,4.1,,B 08mar21 11.0
BVR,50,3/8/21 10:28,3,,6/16/21,8.5,1.9,1.3,,B 08mar21 3.0
BVR,50,3/8/21 10:38,6,,6/16/21,8.1,0.6,1.7,,B 08mar21 6.0 repeat
BVR,50,3/8/21 10:49,9,,6/16/21,7.5,1,1.6,,B 08mar21 9.0
BVR,50,5/14/21 10:07,0.1,,6/16/21,2.4,0.6,0.4,,B 14may21 0.1
BVR,50,5/14/21 11:10,11,,6/16/21,131,-0.5,3.2,,B 14may21 11.0
BVR,50,5/14/21 10:24,3,,6/16/21,6.1,1.6,1.4,,B 14may21 3.0
BVR,50,5/14/21 10:37,6,,6/16/21,6.8,-0.1,1.3,,B 14may21 6.0
BVR,50,5/14/21 10:52,9,,6/16/21,12.3,0.2,4,,B 14may21 9.0
CCR,500,5/11/21 10:19,0.1,,6/16/21,4.9,1.8,83.9,,C 11may21 CCT 0.1
CCR,501,5/11/21 9:45,0.1,,6/16/21,6.4,2.3,76.7,,C 11may21 CCT 500 0.1
CCR,301,5/11/21 11:07,0.1,,6/16/21,5.4,-0.4,59.8,,C 11may21 inf c 300 0.1
CCR,400,5/11/21 12:04,0.1,,6/16/21,9.6,0.6,19.6,,C 11may21 TCT 400 0.1
CCR,400,4/19/21 15:02,0.1,,6/16/21,8.1,0.4,17,changed from 18 to 19apr,C 18apr21 TCT 400 inf
CCR,50,4/19/21 10:22,0.1,,6/16/21,9.6,-0.9,14.9,,C 19apr21 0.1
CCR,50,4/19/21 10:37,20,,6/16/21,17.9,0.1,24.2,,C 19apr21 20.0
CCR,50,4/19/21 10:25,6,,6/16/21,5.6,-0.4,6.8,,C 19apr21 6.0
CCR,50,4/19/21 10:31,9,,6/16/21,8.4,0.6,5.1,,C 19apr21 9.0
CCR,100,4/19/21 12:59,0.1,,6/16/21,2.4,1.5,17.1,,C 19apr21 HPB inf 100
CCR,300,4/19/21 14:00,0.1,,6/16/21,6.4,2.3,18.9,,C 19apr21 inf c 300
FCR,50,5/6/21 10:50,0.1,,6/16/21,8.7,1.5,5.9,,F 06may21 0.1
FCR,50,5/6/21 11:05,1.6,,6/16/21,8.4,1.4,3.6,,F 06may21 1.6
FCR,100,5/6/21 3:30,0.1,,6/16/21,10.9,5.7,48.6,,F 06may21 23i4
FCR,50,5/6/21 11:12,3.8,,6/16/21,4.5,4.2,0.1,,F 06may21 3.8
FCR,50,5/6/21 11:20,5,,6/16/21,7.6,4.3,1.7,,F 06may21 5.0
FCR,50,5/6/21 11:27,6.2,,6/16/21,17.6,4.1,1.2,,F 06may21 6.2
FCR,50,5/6/21 11:35,8,,6/16/21,40.2,2.9,1.5,,F 06may21 8.0
FCR,50,5/6/21 11:42,9,,6/16/21,168,2.6,2.1,,F 06may21 9.0
FCR,50,2/8/21 11:22,0.1,,6/16/21,17,1.9,23.9,,F 08feb21 0.1
FCR,50,2/8/21 11:36,1.6,,6/16/21,7.7,4.5,11.9,,F 08feb21 1.6
FCR,50,2/8/21 11:46,3.8,,6/16/21,17.1,8.5,14,,F 08feb21 3.8
FCR,50,2/8/21 12:00,5,,6/16/21,11.7,11.2,12.6,,F 08feb21 5.0
FCR,50,2/8/21 12:00,6.2,,6/16/21,6.3,3.3,12.2,,F 08feb21 6.2
FCR,50,2/8/21 12:00,8,,6/16/21,7.1,4.4,12,,F 08feb21 8.0 repeat
FCR,50,2/8/21 12:50,9,,6/16/21,10.3,4.7,12.4,,F 08feb21 9.0
FCR,50,5/14/21 13:29,0.1,,6/16/21,10.6,2,4.2,,F 14may21 0.1
FCR,50,5/14/21 13:34,1.6,,6/16/21,7.9,5.4,2.4,,F 14may21 1.6
FCR,50,5/14/21 13:39,3.8,,6/16/21,6.4,9.8,2.4,,F 14may21 3.8
FCR,50,5/14/21 13:44,5,,6/16/21,8.8,2.1,4,,F 14may21 5.0
FCR,50,5/14/21 13:50,6.2,,6/16/21,10.9,0.3,2.5,,F 14may21 6.2
