Sample_Date,Reservoir,Site,Depth_m,TNa_ppb,SNa_ppb,TMg_ppb,SMg_ppb,TSi_ppb,SSi_ppb,TP_ppb,SP_ppb,TS_ppm,SS_ppm,TFe_ppb,SFe_ppb,TMn_ppb,SMn_ppb
2022-01-26,FCR,100,0.1,"3,317.80","4,004.60",789.8,813.9,"10,134.00","10,246.90",15.7,12.5,1.1,0.6,29.2,16.3,1.4,0.7
2022-01-26,BVR,50,0.1,"2,218.10","2,872.10",739.2,740.1,"5,921.50","5,823.80",21.6,7.6,0.2,0.1,782.8,311.2,139.4,99.9
2022-01-26,BVR,50,3,"2,220.40","2,708.00",759.6,736.4,"6,107.30","5,795.60",19.4,7.6,0.1,-0.1,772,333.1,139.4,110.3
2022-01-26,BVR,50,6,"2,168.00","3,252.10",722.7,748.1,"5,755.30","5,792.90",20.7,10.7,-0.1,-0.2,755.7,374.8,135.3,82.9
2022-01-26,BVR,50,9,"2,186.70","2,803.90",740.2,736.6,"6,045.20","5,762.00",17.4,6.3,-0.2,-0.4,763.9,309.6,138.7,108.9
2022-01-31,FCR,50,0.1,"3,330.90","3,752.30","1,189.80","1,171.80","6,908.20","6,748.00",10.4,2.4,-0.1,-0.1,172.3,91.5,19.9,15.1
2022-01-31,FCR,50,1.6,"3,172.90","5,619.30","1,146.20","1,168.80","6,708.00","6,732.80",15.8,4.2,-0.3,-0.1,202.1,91.1,22,11.4
2022-01-31,FCR,50,3.8,"3,287.30","4,163.90","1,178.10","1,165.20","6,857.10","6,714.30",19.5,3.4,0,-0.1,216.1,94.1,24.5,13.9
2022-01-31,FCR,50,5,"3,220.30","4,283.00","1,165.70","1,162.10","6,731.90","6,672.20",17.1,2.8,-0.2,-0.2,223.3,97.5,26.4,17.7
2022-01-31,FCR,50,6.2,"3,174.60","3,637.80","1,154.20","1,163.00","6,743.70","6,713.20",17.1,2.9,-0.2,-0.2,301.1,113.8,43,25.7
2022-01-31,FCR,50,8,"3,205.80","3,589.80","1,237.90","1,228.20","7,132.00","6,981.00",26.7,5.8,-0.2,-0.1,"1,177.40",367.9,290.7,226.8
2022-01-31,FCR,50,9,"3,178.30","3,587.10","1,258.70","1,268.70","7,167.30","7,142.70",31,6.8,-0.2,-0.1,"1,630.80",528.1,414.4,404.3
2022-02-24,FCR,50,0.1,"3,043.90","3,052.40","1,070.10","1,069.60","6,635.90","6,586.60",14.9,1.4,0,0,394.1,140.9,45.1,34.1
2022-02-24,FCR,50,1.6,"3,013.90","3,036.80","1,073.60","1,056.00","6,609.60","6,520.70",17,2.2,0,-0.1,399.9,131,46.6,35.4
2022-02-24,FCR,50,3.8,"3,068.40","3,065.30","1,089.20","1,066.80","6,730.70","6,578.10",15.4,1.5,-0.1,-0.2,425.4,135.1,48.9,35.3
2022-02-24,FCR,50,5,"3,057.60","3,083.10","1,084.50","1,074.10","6,752.20","6,623.40",18.7,1.7,-0.1,-0.2,424,131.7,48.6,35.3
2022-02-24,FCR,50,6.2,"3,068.50","3,075.40","1,087.60","1,074.30","6,763.50","6,656.70",19.6,1.3,-0.1,-0.2,429.5,166.4,50.2,35.5
2022-02-24,FCR,50,8,"3,058.50","3,059.10","1,083.00","1,073.30","6,713.00","6,598.60",13.2,1.5,-0.2,-0.2,418,169.8,49.9,35.1
2022-02-24,FCR,50,9,"3,055.30","2,181.20","1,082.90",726.4,"6,688.70","5,890.50",13.2,0.4,-0.2,-0.7,420.7,259.3,49.4,104.8
2022-02-24,BVR,50,0.1,"2,200.70","2,219.90",742,730.5,"6,093.40","5,857.50",10.9,1,-0.6,-0.7,732.5,263,122.2,101.4
2022-02-24,BVR,50,3,"2,212.60","2,161.50",739.9,727.1,"6,080.10","5,853.50",10.4,-0.1,-0.7,-0.8,746.5,236,122.1,98.4
2022-02-24,BVR,50,6,"2,192.60","2,223.00",744.7,748,"6,060.20","6,028.10",11.5,1,-0.7,-0.7,746.4,265.3,126.3,106.3
2022-02-24,BVR,50,9,"2,172.50","3,741.80",743,"1,263.40","6,064.00","7,008.60",11.8,2.8,-0.7,0.1,742.5,165.6,132,41.4
2022-03-17,FCR,50,0.1,"3,022.40","3,065.10","1,058.50","1,060.40","6,529.20","6,579.40",9.1,1.1,-0.1,-0.1,339.9,150,30,10.1
2022-03-17,FCR,50,1.6,"3,074.00","3,114.40","1,064.90","1,069.50","6,596.00","6,567.90",12.4,2.6,-0.1,-0.1,352.2,151.4,30.2,9.6
2022-03-17,FCR,50,3.8,"3,036.50","3,092.40","1,068.60","1,067.50","6,520.20","6,560.40",12.4,1.1,-0.1,-0.2,368.6,145.7,30,8.3
2022-03-17,FCR,50,5,"3,065.20","3,045.20","1,076.70","1,061.20","6,648.10","6,588.10",13,0.7,-0.1,-0.2,394.6,148.7,32.7,8.5
2022-03-17,FCR,50,6.2,"3,148.70","3,065.00","1,087.80","1,061.90","6,753.90","6,585.30",15,1,-0.1,-0.2,444.1,163.1,40.1,11.3
2022-03-17,FCR,50,8,"3,092.20","3,060.90","1,193.30","1,066.70","6,700.80","6,727.80",14.4,1.7,-0.2,-0.2,542.5,177.1,55.6,25.3
2022-03-17,FCR,50,9,"3,018.90","3,051.50","1,073.00","1,058.60","6,617.80","6,599.40",17.1,2.4,-0.3,-0.2,533,173,53.2,21.8
