Reservoir,Site,DateTime,Depth_m,CH4_umol_L,ChaoborusDensity_NumPerLiter,Flag_depth,Flag_CH4_umol_L,Flag_ChaoborusDensity_NumPerLiter
BVR,50,2016-08-03 12:01:00,0,1.801815052,0,0,7,0
BVR,50,2016-08-03 12:01:00,1,2.411645851,0,0,7,0
BVR,50,2016-08-03 12:01:00,2,2.28601872,0,0,7,0
BVR,50,2016-08-03 12:01:00,3,2.125708762,0,0,7,0
BVR,50,2016-08-03 12:01:00,4,1.073347193,0.033333333,0,7,0
BVR,50,2016-08-03 12:01:00,5,0.389127035,0.066666667,0,7,0
BVR,50,2016-08-03 12:01:00,6,0.384747069,0.2,0,7,0
BVR,50,2016-08-03 12:01:00,7,2.142915876,0.166666667,0,7,0
BVR,50,2016-08-03 12:01:00,8,11.57357588,0.133333333,0,7,0
BVR,50,2016-08-03 12:01:00,9,120.9317384,0.1,0,7,0
BVR,50,2016-08-03 12:01:00,10,284.6626583,0.433333333,0,7,0
BVR,50,2016-08-03 12:01:00,11,349.0822949,NA,0,7,1
BVR,50,2016-08-03 20:00:00,0,2.473709418,0,0,7,0
BVR,50,2016-08-03 20:00:00,1,2.55256829,0.066666667,0,7,0
BVR,50,2016-08-03 20:00:00,2,2.630121079,0,0,7,0
BVR,50,2016-08-03 20:00:00,3,2.524963598,0.033333333,0,7,0
BVR,50,2016-08-03 20:00:00,4,2.208207994,0.066666667,0,7,0
BVR,50,2016-08-03 20:00:00,5,1.959390304,0.1,0,7,0
BVR,50,2016-08-03 20:00:00,6,1.150605491,0.166666667,0,7,0
BVR,50,2016-08-03 20:00:00,7,4.244094587,0.166666667,0,7,0
BVR,50,2016-08-03 20:00:00,8,25.00115107,0.533333333,0,7,0
BVR,50,2016-08-03 20:00:00,9,127.9210147,0.366666667,0,7,0
BVR,50,2016-08-03 20:00:00,10,401.6320392,0.666666667,0,7,0
BVR,50,2016-08-03 20:00:00,11,330.8867398,NA,0,7,1
BVR,50,2016-08-04 00:00:00,0,1.647006703,0.266666667,0,7,0
BVR,50,2016-08-04 00:00:00,1,1.859967341,0.233333333,0,7,0
BVR,50,2016-08-04 00:00:00,2,1.861946239,0.233333333,0,7,0
BVR,50,2016-08-04 00:00:00,3,1.935613478,0.233333333,0,7,0
BVR,50,2016-08-04 00:00:00,4,0.746361076,0.633333333,0,7,0
BVR,50,2016-08-04 00:00:00,5,0.858973813,1.033333333,0,7,0
BVR,50,2016-08-04 00:00:00,6,1.583262045,0.8,0,7,0
BVR,50,2016-08-04 00:00:00,7,5.648036536,0.566666667,0,7,0
BVR,50,2016-08-04 00:00:00,8,15.3168429,0.3,0,7,0
BVR,50,2016-08-04 00:00:00,9,210.0478414,1.166666667,0,7,0
BVR,50,2016-08-04 00:00:00,10,381.1070375,0.333333333,0,7,0
BVR,50,2016-08-04 00:00:00,11,399.872937,NA,0,7,1
BVR,50,2016-08-04 02:00:00,0,1.945880747,0.066666667,0,7,0
BVR,50,2016-08-04 02:00:00,1,1.853960885,0.3,0,7,0
BVR,50,2016-08-04 02:00:00,2,1.857858239,0.1,0,7,0
BVR,50,2016-08-04 02:00:00,3,1.885021254,0.4,0,7,0
BVR,50,2016-08-04 02:00:00,4,0.543457195,1.266666667,0,7,0
BVR,50,2016-08-04 02:00:00,5,0.503712304,0.666666667,0,7,0
BVR,50,2016-08-04 02:00:00,6,1.039056228,1.366666667,0,7,0
BVR,50,2016-08-04 02:00:00,7,2.101256882,1.033333333,0,7,0
BVR,50,2016-08-04 02:00:00,8,30.77602509,0.633333333,0,7,0
BVR,50,2016-08-04 02:00:00,9,302.1715132,0.033333333,0,7,0
BVR,50,2016-08-04 02:00:00,10,338.7835057,0.1,0,7,0
BVR,50,2016-08-04 02:00:00,11,428.5105141,NA,0,7,1
BVR,50,2016-08-04 06:00:00,0,1.549650013,0,0,7,0
BVR,50,2016-08-04 06:00:00,1,1.4898826,0.066666667,0,7,0
BVR,50,2016-08-04 06:00:00,2,1.382249806,0.066666667,0,7,0
BVR,50,2016-08-04 06:00:00,3,1.527108105,0.1,0,7,0
BVR,50,2016-08-04 06:00:00,4,0.65229079,0.2,0,7,0
BVR,50,2016-08-04 06:00:00,5,0.667360293,0.166666667,0,7,0
BVR,50,2016-08-04 06:00:00,6,0.439860148,0.133333333,0,7,0
BVR,50,2016-08-04 06:00:00,7,4.377993708,0.4,0,7,0
BVR,50,2016-08-04 06:00:00,8,25.54167542,0.566666667,0,7,0
BVR,50,2016-08-04 06:00:00,9,202.6799098,0.466666667,0,7,0
BVR,50,2016-08-04 06:00:00,10,247.020749,0.266666667,0,7,0
BVR,50,2016-08-04 06:00:00,11,456.8696406,NA,0,7,1
BVR,50,2016-08-04 11:00:00,0,1.569949764,0,0,7,0
BVR,50,2016-08-04 11:00:00,1,1.425477509,0,0,7,0
BVR,50,2016-08-04 11:00:00,2,1.509388576,0.033333333,0,7,0
BVR,50,2016-08-04 11:00:00,3,1.550249355,0,0,7,0
BVR,50,2016-08-04 11:00:00,4,1.773261209,0.033333333,0,7,0
BVR,50,2016-08-04 11:00:00,5,0.864197479,0.033333333,0,7,0
BVR,50,2016-08-04 11:00:00,6,1.294699704,0.133333333,0,7,0
BVR,50,2016-08-04 11:00:00,7,3.674426779,0.033333333,0,7,0
BVR,50,2016-08-04 11:00:00,8,19.13092913,0.3,0,7,0
BVR,50,2016-08-04 11:00:00,9,93.4657549,0.433333333,0,7,0
BVR,50,2016-08-04 11:00:00,10,370.6997639,0.2,0,7,0
BVR,50,2016-08-04 11:00:00,11,289.6904492,NA,0,7,1
BVR,50,2016-09-16 12:30:00,0,1.408929746,0,0,7,0
BVR,50,2016-09-16 12:30:00,1,1.385235691,0,0,7,0
BVR,50,2016-09-16 12:30:00,2,1.328533354,0,0,7,0
BVR,50,2016-09-16 12:30:00,3,1.271072673,0.033333333,0,7,0
BVR,50,2016-09-16 12:30:00,4,1.140770217,0,0,7,0
BVR,50,2016-09-16 12:30:00,5,0.757480583,0.133333333,0,7,0
BVR,50,2016-09-16 12:30:00,6,0.449404125,0.2,0,7,0
BVR,50,2016-09-16 12:30:00,7,0.834132067,0.1,0,7,0
BVR,50,2016-09-16 12:30:00,8,8.391697605,0.166666667,0,7,0
BVR,50,2016-09-16 12:30:00,9,406.7333162,0.433333333,0,7,0
BVR,50,2016-09-16 12:30:00,10,513.8031211,0.133333333,0,7,0
BVR,50,2016-09-16 12:30:00,11,568.0909751,NA,0,7,1
BVR,50,2016-09-16 18:00:00,0,1.052884927,0,0,7,0
BVR,50,2016-09-16 18:00:00,1,1.147452268,0,0,7,0
BVR,50,2016-09-16 18:00:00,2,1.054468217,0,0,7,0
