SIGNAL2,B,C,D
270,0.01271,552,4.34208E4
272,0.01272,272,2.13897E4
274,0.01272,224,1.76095E4
276,0.01272,212,1.66693E4
278,0.01271,220,1.73032E4
280,0.01272,224,1.7615E4
282,0.01272,228,1.79285E4
284,0.01272,224,1.76117E4
286,0.01271,240,1.88774E4
288,0.01271,220,1.73087E4
290,0.01272,236,1.85505E4
292,0.01271,244,1.9192E4
294,0.01271,268,2.10805E4
296,0.0127,304,2.39355E4
298,0.01271,292,2.29777E4
300,0.0127,260,2.04718E4
302,0.01271,324,2.54829E4
304,0.01277,288,2.25606E4
306,0.01274,312,2.44875E4
308,0.01273,328,2.57691E4
310,0.01273,272,2.13662E4
312,0.01272,316,2.48467E4
314,0.01271,316,2.48576E4
316,0.01273,368,2.89063E4
318,0.01272,360,2.83072E4
320,0.01273,324,2.54525E4
322,0.01271,288,2.26508E4
324,0.01271,268,2.10805E4
326,0.01272,312,2.45275E4
328,0.01272,392,3.08176E4
330,0.01272,304,2.38979E4
332,0.01272,360,2.83099E4
334,0.01272,328,2.57927E4
336,0.01272,364,2.86164E4
338,0.01272,380,2.98648E4
340,0.01272,328,2.57789E4
342,0.01272,420,3.30126E4
344,0.01271,376,2.95839E4
346,0.01271,404,3.1777E4
348,0.01272,428,3.36605E4
350,0.01273,400,3.14317E4
352,0.01274,356,2.79382E4
354,0.01274,352,2.76339E4
356,0.01272,360,2.83019E4
358,0.01273,408,3.20462E4
360,0.01272,344,2.70355E4
362,0.01272,448,3.52201E4
364,0.01273,324,2.54605E4
366,0.01272,396,3.11272E4
368,0.01272,376,2.95523E4
370,0.01273,412,3.23635E4
372,0.01273,372,2.92131E4
374,0.01274,380,2.98301E4
376,0.01273,388,3.04715E4
378,0.01274,376,2.95022E4
380,0.01273,316,2.4824E4
382,0.01273,480,3.77109E4
384,0.01273,424,3.33197E4
386,0.01274,420,3.29681E4
388,0.01273,384,3.01688E4
390,0.01274,416,3.2649E4
392,0.01274,380,2.98367E4
394,0.01273,408,3.20553E4
396,0.01273,416,3.26715E4
398,0.01273,316,2.48256E4
400,0.01272,400,3.14396E4
402,0.01273,488,3.83431E4
404,0.01273,380,2.98451E4
406,0.01273,420,3.29981E4
408,0.01273,428,3.36256E4
410,0.01273,412,3.23706E4
412,0.01273,364,2.8593E4
414,0.01272,412,3.2394E4
416,0.01273,388,3.0484E4
418,0.01273,504,3.95841E4
420,0.01274,352,2.76399E4
422,0.01274,352,2.76382E4
424,0.01274,400,3.13903E4
426,0.01274,432,3.39185E4
428,0.01274,364,2.85795E4
430,0.01273,364,2.85903E4
