SIGNAL2,B,C,D
365,0.719,1.294E4,1.79972E4
366,0.7186,1.282E4,1.78402E4
367,0.7192,1.192E4,1.6574E4
368,0.7185,1.088E4,1.51427E4
369,0.7179,1.177E4,1.6395E4
370,0.7187,1.169E4,1.62655E4
371,0.7186,1.15E4,1.60033E4
372,0.7192,1.143E4,1.58927E4
373,0.7193,1.082E4,1.50424E4
374,0.7192,9850,1.36958E4
375,0.719,9640,1.34075E4
376,0.7193,8870,1.23314E4
377,0.7188,8260,1.14914E4
378,0.7193,8030,1.11636E4
379,0.7191,7450,1.03602E4
380,0.7188,7580,1.05454E4
381,0.7186,8070,1.12302E4
382,0.7192,8600,1.19577E4
383,0.7197,1.044E4,1.4506E4
384,0.7197,1.423E4,1.97721E4
385,0.7192,2.05E4,2.85039E4
386,0.7188,3.299E4,4.58959E4
387,0.7191,4.714E4,6.55542E4
388,0.7188,7.012E4,9.75515E4
389,0.7181,1.0016E5,1.39479E5
390,0.7187,1.3109E5,1.82399E5
391,0.7192,1.7295E5,2.40476E5
392,0.719,2.1529E5,2.9943E5
393,0.7187,2.5473E5,3.54432E5
394,0.7196,2.9444E5,4.09172E5
395,0.7195,3.2061E5,4.45601E5
396,0.7193,3.3968E5,4.72237E5
397,0.7193,3.4046E5,4.73321E5
398,0.7191,3.3603E5,4.67292E5
399,0.7188,3.1328E5,4.35838E5
400,0.7193,2.8271E5,3.93035E5
401,0.72,2.4404E5,3.38944E5
402,0.7195,2.016E5,2.80195E5
403,0.7191,1.6133E5,2.2435E5
404,0.7188,1.2211E5,1.6988E5
405,0.7196,9.135E4,1.26946E5
406,0.7194,6.533E4,9.08118E4
407,0.7192,4.442E4,6.17631E4
408,0.7195,2.981E4,4.14315E4
409,0.7201,1.981E4,2.75101E4
410,0.7191,1.44E4,2.0025E4
411,0.719,1.121E4,1.55911E4
412,0.7195,9230,1.28284E4
413,0.7191,7450,1.03602E4
414,0.7188,6820,9488.03561
415,0.719,6130,8525.73018
416,0.7191,5140,7147.82367
417,0.719,4470,6216.96801
418,0.719,4050,5632.82337
419,0.7191,3650,5075.78918
420,0.7196,3860,5364.09116
421,0.7193,3400,4726.81774
422,0.7192,3480,4838.70968
423,0.7187,3240,4508.1397
424,0.7187,3430,4772.50591
425,0.7186,3270,4550.51489
426,0.7189,3370,4687.71735
427,0.7191,2940,4088.44389
428,0.7183,2990,4162.60615
429,0.7187,3150,4382.91359
430,0.7191,2940,4088.44389
431,0.7192,3230,4491.10122
432,0.7194,3080,4281.34557
433,0.7188,3040,4229.27101
434,0.7188,2940,4090.15025
435,0.7197,3010,4182.29818
436,0.7191,3020,4199.69406
437,0.719,2850,3963.83866
438,0.7183,2870,3995.54504
439,0.7185,3140,4370.21573
440,0.7184,3340,4649.22049
441,0.7186,3050,4244.36404
442,0.7198,3340,4640.17783
443,0.7187,3070,4271.6015
444,0.7188,3310,4604.89705
445,0.7192,3170,4407.67519
446,0.7193,3050,4240.23356
447,0.7191,2850,3963.28744
448,0.7184,3060,4259.46548
449,0.7196,2980,4141.18955
450,0.7195,3060,4252.95344
