"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms","Date","Year","DO_mgL_ysi","Temp_C_ysi","pH_ysi","DO_pSat_ysi","method","max","Depth_m_orig"
"BVR",50,"2021-03-08 11:18:58",13.9,5.8511,11.5242,94.262,15.84793,25.721,0.5428,2.9907,NA,NA,656.08,0.063,0,0,0,0,0,0,0,2,2,0,0,2021-03-08,2021,NA,NA,NA,NA,"ysi",14,0.1
"BVR",50,"2021-03-31 10:50:07",9.2,12.259,10.3897,95.366,18.721538,25.211,6.7876,3.4952,NA,NA,22.687,0.089,0,0,0,0,0,0,0,2,2,0,0,2021-03-31,2021,NA,NA,NA,NA,NA,9.3,0.1
"BVR",50,"2021-04-05 10:35:46",10.5,11.0062,8.9575,82.467,18.386287,25.692,0.7942,3.5317,NA,NA,595.65,0.121,0,0,0,0,0,0,0,2,2,0,0,2021-04-05,2021,NA,NA,NA,NA,NA,10.6,0.1
"BVR",50,"2021-05-03 10:11:54",10.3,16.5632,8.6577,89.037,21.727647,26.122,1.8788,1.6706,NA,NA,107.15,0.012,0,0,0,0,0,0,0,2,2,0,0,2021-05-03,2021,NA,NA,NA,NA,NA,10.4,0.1
"BVR",50,"2021-05-14 10:19:30",10.5,17.2116,8.8227,91.638,21.57372,25.565,0,0.9808,7.44,NA,842.73,0.149,0,0,0,0,0,4,0,2,2,0,0,2021-05-14,2021,NA,NA,7.44,NA,"ysi",10.6,0.1
"BVR",50,"2021-05-31 09:52:06",10.5,20.6051,7.524,84.186,24.353841,26.699,0.2427,0.9358,7.36,NA,656.51,0.122,0,0,0,0,0,0,0,2,2,0,0,2021-05-31,2021,NA,NA,7.36,NA,"ysi",10.6,0.1
"BVR",50,"2021-06-16 09:23:33",10.4,24.8113,7.6538,92.936,25.804901,25.909,0.0414,1.1729,NA,NA,570.47,0.068,0,0,0,0,0,0,0,2,2,0,0,2021-06-16,2021,NA,NA,NA,NA,NA,10.5,0.1
"BVR",50,"2021-06-28 10:27:32",11.9,25.5926,8.2686,111.481,27.018092,26.757,0.2525,1.3461,7.68,NA,235.66,0.179,0,2,2,0,0,0,0,2,2,0,0,2021-06-28,2021,NA,NA,7.68,NA,"ysi",12,0.1
"BVR",50,"2021-07-12 15:13:05",10.2,27.7706,NA,NA,28.962551,27.53,1.1171,1.2957,NA,NA,357.03,0.064,0,2,2,0,0,0,0,2,2,0,0,2021-07-12,2021,NA,NA,NA,NA,NA,10.3,0.1
"BVR",50,"2021-07-26 09:42:12",10.2,27.2402,8.75,110.4,28.386533,27.165,1.68,2.2296,8.15,NA,405.33,0.062,0,2,2,0,0,0,0,2,2,0,0,2021-07-26,2021,8.75,27.1,8.15,110.4,"ysi",10.3,0.1
"BVR",50,"2022-02-24 10:01:48",9.3,5.1364,10.2955,80.81,20.302018,33.666,6.5733,3.8233,6.535,337.7298,15.732,0.172,0,0,0,0,0,0,0,0,0,0,0,2022-02-24,2022,NA,NA,NA,NA,NA,9.4,0.1
"BVR",50,"2022-03-22 10:32:11",9.4,12.1508,7.4516,71.217,20.989589,28.5,1.398,2.6032,6.106,250.5559,572.83,0.238,0,0,0,0,0,0,0,0,0,0,0,2022-03-22,2022,NA,NA,NA,NA,NA,9.5,0.1
"BVR",50,"2022-04-12 13:41:15",9.6,14.7876,8.9514,92.608,22.41598,28.2,6.527,2.3659,6.912,256.285,78.125,0.087,0,0,0,0,0,0,0,0,0,0,0,2022-04-12,2022,NA,NA,NA,NA,NA,9.7,0.1
"BVR",50,"2022-05-02 09:30:07",9,16.083,7.7829,79.391,22.60037,27.41,1.3102,1.6386,6.748,211.4873,169.71,0.067,0,0,0,0,0,0,0,0,0,0,0,2022-05-02,2022,NA,NA,NA,NA,NA,9.1,0.1
"BVR",50,"2022-05-09 10:46:20",9.3,16.7219,8.9972,92.153,22.148591,26.566,1.2475,1.6621,7.61,241.1654,334.33,0.134,0,0,0,0,0,0,0,0,0,0,0,2022-05-09,2022,NA,NA,NA,NA,NA,9.4,0.1
"BVR",50,"2022-05-12 12:48:09",9.4,18.6506,8.7389,93.556,23.131521,26.54,2.0097,1.7647,7.633,203.7701,151.37,0.152,0,0,0,0,0,0,0,0,0,0,0,2022-05-12,2022,NA,NA,NA,NA,NA,9.5,0.1
"BVR",50,"2022-05-17 12:17:36",9.5,NA,NA,NA,NA,NA,1.3756,1.9152,7.938,226.9805,80.587,0.089,2,2,2,2,2,0,0,0,0,0,0,2022-05-17,2022,NA,NA,NA,NA,NA,9.6,0.1
"BVR",50,"2022-05-23 11:49:23",9.2,23.8512,8.4868,102.119,26.645036,27.429,5.2199,3.0006,8.634,171.0239,69.85,0.091,0,0,0,0,0,0,0,0,0,0,0,2022-05-23,2022,NA,NA,NA,NA,NA,9.3,0.1
"BVR",50,"2022-05-31 11:10:10",9.3,25.3907,8.414,102.929,26.698811,26.502,2.0205,4.1469,8.759,147.5412,162.99,0.127,0,0,0,0,0,0,0,0,0,0,0,2022-05-31,2022,NA,NA,NA,NA,NA,9.4,0.1
"BVR",50,"2022-06-07 10:30:51",8.9,23.8786,8.84,104.916,27.71678,28.339,4.825,8.0131,9.471,82.2478,89.654,0.128,0,0,0,0,0,0,0,0,0,0,0,2022-06-07,2022,NA,NA,NA,NA,NA,9,0.1
"BVR",50,"2022-06-13 11:45:55",8.5,25.6462,6.0461,78.479,28.137,27.982,1.8272,9.7466,9.716,55.6817,226.19,0.127,0,0,0,0,0,0,0,0,0,0,0,2022-06-13,2022,NA,NA,NA,NA,NA,8.6,0.1
"BVR",50,"2022-06-20 11:57:13",8.3,23.7322,6.7706,84.285,28.470076,29.213,4.281,15.2994,9.884,152.7206,131.81,0.077,0,0,0,0,0,0,0,0,0,0,0,2022-06-20,2022,NA,NA,NA,NA,NA,8.4,0.1
