"Date","Reservoir","Depth_m","Site","TLi_mgL","SLi_mgL","TNa_mgL","SNa_mgL","TMg_mgL","SMg_mgL","TAl_mgL","SAl_mgL","TSi_mgL","SSi_mgL","TP_mgL","SP_mgL","TS_mgL","SS_mgL","TCl_mgL","SCl_mgL","TK_mgL","SK_mgL","TCa_mgL","SCa_mgL","TTi_mgL","STi_mgL","TV_mgL","SV_mgL","TCr_mgL","SCr_mgL","TFe_mgL","SFe_mgL","TMn_mgL","SMn_mgL","TCo_mgL","SCo_mgL","TNi_mgL","SNi_mgL","TCu_mgL","SCu_mgL","TZn_mgL","SZn_mgL","TAs_mgL","SAs_mgL","TSe_mgL","SSe_mgL","TSr_mgL","SSr_mgL","TMo_mgL","SMo_mgL","TAg_mgL","SAg_mgL","TCd_mgL","SCd_mgL","TSn_mgL","SSn_mgL","TBa_mgL","SBa_mgL","TPb_mgL","SPb_mgL","TU_mgL","SU_mgL","Flag_DateTime","Flag_TFe","Flag_TMn","Flag_SFe","Flag_SMn","Date_22","Year"
2022-05-09,"BVR",0.1,50,1e-04,1e-04,2.0704,2.0107,0.6793,0.6696,0.0153,0.0255,5.6355,5.4351,-0.0019,0.0113,-4e-04,-4e-04,-3e-04,-3e-04,1.1432,1.1158,1.4728,1.4664,2e-04,5e-04,1e-04,2e-04,1e-04,1e-04,0.0155,0.216,8e-04,0.0459,0,1e-04,1e-04,1e-04,2e-04,4e-04,0.0025,0.0061,1e-04,1e-04,1e-04,0,0.0099,0.0097,1e-04,1e-04,0,0,0,0,1e-04,1e-04,0.0116,0.0133,2e-04,5e-04,0,0,NA,NA,NA,NA,NA,2022-05-09,"2022"
2022-09-19,"BVR",0.1,50,2e-04,2e-04,2.1957,2.1857,0.7822,0.7436,0.0346,0.0127,5.6598,5.5637,0.0094,0,8e-04,7e-04,-0.0016,-0.0017,1.3388,1.2989,1.618,1.5098,8e-04,3e-04,2e-04,1e-04,-3e-04,-4e-04,0.5194,0.2719,0.0302,0.001,1e-04,0,-0.0011,-0.0012,1e-04,-6e-04,0.0016,0.0017,1e-04,0,-8e-04,-8e-04,0.0115,0.011,-4e-04,-4e-04,0,0,0,0,-4e-04,-7e-04,0.0231,0.0193,7e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-09-19,"2022"
2022-09-05,"BVR",0.1,50,2e-04,1e-04,2.3304,2.3507,0.7949,0.7842,0.053,0.0175,5.8731,5.8321,0.0089,0.0014,3e-04,2e-04,5e-04,5e-04,1.3322,1.3433,1.5119,1.4987,2e-04,8e-04,3e-04,2e-04,0,-1e-04,0.4549,0.2456,0.0257,0.0104,1e-04,0,-3e-04,-3e-04,4e-04,4e-04,0.0016,0.0092,3e-04,3e-04,1e-04,2e-04,0.011,0.011,0,0,0,0,0,0,-2e-04,-3e-04,0.0221,0.0216,4e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-09-05,"2022"
2022-07-18,"BVR",0.1,50,2e-04,1e-04,2.3842,2.3692,0.7767,0.7557,0.0468,0.0292,6.3005,6.1401,0.0078,8e-04,0.0015,0.0013,2e-04,1e-04,1.3897,1.3732,1.4189,1.3766,0.0016,0.001,1e-04,-2e-04,-1e-04,0,0.7695,0.3282,0.0376,0.0076,1e-04,0,-3e-04,-3e-04,-1e-04,-4e-04,-9e-04,0.021,1e-04,1e-04,-3e-04,-4e-04,0.0103,0.0103,1e-04,1e-04,0,0,0,0,2e-04,2e-04,0.0242,0.0299,4e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-07-18,"2022"
2022-05-31,"BVR",0.1,50,1e-04,1e-04,2.06,2.1955,0.6826,0.6722,0.0721,0.024,5.8158,5.7973,0.0043,-9e-04,-5e-04,-4e-04,5e-04,6e-04,1.1184,1.2185,1.4233,1.3759,0.0014,5e-04,3e-04,2e-04,1e-04,1e-04,0.3999,0.1287,0.0559,0.005,1e-04,0,0,0,-3e-04,0.0013,2e-04,0.0041,1e-04,1e-04,0,-1e-04,0.0098,0.0094,0,0,0,0,0,0,-6e-04,-7e-04,0.0132,0.0098,1e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-05-31,"2022"
2022-08-08,"BVR",0.1,50,1e-04,1e-04,2.3499,2.3277,0.8039,0.7344,0.0247,0.0077,5.5512,5.4456,0.0033,-0.0013,8e-04,8e-04,4e-04,5e-04,1.339,1.3237,1.5877,1.4058,0.0011,7e-04,3e-04,2e-04,-1e-04,-1e-04,0.5935,0.2001,0.0379,0.0019,1e-04,0,-3e-04,-3e-04,0,-2e-04,-4e-04,0.0124,3e-04,2e-04,0,-1e-04,0.0107,0.0101,0,0,0,0,0,0,-6e-04,-6e-04,0.0207,0.0213,2e-04,2e-04,0,0,NA,NA,NA,NA,NA,2022-08-08,"2022"
2022-07-11,"BVR",0.1,50,1e-04,1e-04,2.2639,2.2826,0.7239,0.721,0.05,0.0112,6.1176,6.1206,0.0091,8e-04,0,2e-04,-0.0011,-0.0011,1.3503,1.3612,1.367,1.3707,0.0013,8e-04,1e-04,-2e-04,2e-04,0,0.9613,0.3155,0.1028,0.0127,3e-04,1e-04,2e-04,1e-04,4e-04,1e-04,0.0016,0.0102,2e-04,2e-04,-0.0014,-0.0013,0.0097,0.0095,-1e-04,-2e-04,0,0,0,0,0,-1e-04,0.0236,0.0212,3e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-07-11,"2022"
2022-06-20,"BVR",0.1,50,1e-04,1e-04,2.096,2.078,0.6536,0.6112,0.0638,0.0657,5.7857,5.66,0.0093,0.0019,0,-6e-04,-1e-04,-2e-04,1.2175,1.1539,1.29,1.1783,0.0012,0.0012,4e-04,4e-04,1e-04,1e-04,0.6493,0.4043,0.0423,0.0159,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0.001,0.0017,2e-04,2e-04,3e-04,1e-04,0.0086,0.0082,1e-04,1e-04,0,0,0,0,-6e-04,-6e-04,0.0133,0.0134,3e-04,2e-04,0,0,NA,NA,NA,NA,NA,2022-06-20,"2022"
2022-08-22,"BVR",0.1,50,2e-04,2e-04,2.32,2.3017,0.784,0.7739,0.0509,0.0126,5.7516,5.6793,0.0099,0.002,6e-04,2e-04,6e-04,6e-04,1.3668,1.3143,1.5269,1.486,0.0011,-2e-04,3e-04,1e-04,0.0017,1e-04,0.4421,0.1693,0.0387,0.0022,1e-04,0,1e-04,-3e-04,0.0025,3e-04,0.0101,0.0079,4e-04,2e-04,1e-04,1e-04,0.0113,0.0111,0,0,0,0,0,0,-4e-04,-4e-04,0.0288,0.0233,4e-04,1e-04,0,0,NA,NA,NA,NA,NA,2022-08-22,"2022"
2022-07-05,"BVR",0.1,50,NA,1e-04,NA,2.2686,NA,0.6275,NA,0.0513,NA,5.9647,NA,0.0075,NA,0,NA,-8e-04,NA,1.3254,NA,1.2527,NA,0.0013,NA,6e-04,NA,1e-04,NA,0.7206,NA,0.0164,NA,2e-04,NA,2e-04,NA,5e-04,NA,0.0191,NA,2e-04,NA,-0.0013,NA,0.0082,NA,-1e-04,NA,0,NA,0,NA,3e-04,NA,0.0105,NA,3e-04,NA,0,NA,NA,NA,NA,NA,2022-07-05,"2022"
