"","Sample","Date","7Li","23Na","24Mg","27Al","29Si","31P","34S","35Cl","39K","44Ca","48Ti","51V","52Cr","54Fe","55Mn","59Co","60Ni","65Cu","66Zn","75As","78Se","88Sr","95Mo","107Ag","111Cd","120Sn","138Ba","208Pb","238U","Reservoir","Sample Depth (m)","Filter","Site"
"1",1,2022-01-31,3e-04,3.3309,1.1898,0.0327,6.9082,0.0104,-1e-04,-3e-04,1.3304,2.6216,6e-04,-5e-04,1e-04,0.1723,0.0199,1e-04,1e-04,0.0018,0.0056,1e-04,4e-04,0.0167,0.001,0,0,-4e-04,0.0173,3e-04,0,"FCR",0.1,"T",50
"2",1,0022-05-31,3e-04,2.6328,0.9635,0.0681,7.5295,0.005,1e-04,6e-04,1.0542,2.2221,0.002,3e-04,2e-04,0.3337,0.0137,1e-04,0,0,-6e-04,1e-04,2e-04,0.0146,0,0,0,-7e-04,0.0153,1e-04,0,"FCR",0.1,"T",50
"3",1,2022-06-13,3e-04,2.811,1.0452,0.0222,7.1399,0.012,0.0013,0,0.9882,2.4262,7e-04,-1e-04,1e-04,0.482,0.0488,1e-04,1e-04,7e-04,5e-04,1e-04,2e-04,0.016,0,0,0,-5e-04,0.0245,1e-04,0,"FCR",0.1,"T",50
"4",1,2022-07-18,2e-04,2.5301,0.9091,0.0305,7.2388,0.0167,-3e-04,-0.0012,1.2525,2.0551,0.0014,-1e-04,1e-04,0.6964,0.031,2e-04,2e-04,8e-04,0.0076,1e-04,-0.0014,0.0133,-1e-04,0,8e-04,1e-04,0.0177,2e-04,0,"FCR",0.1,"T",50
"5",1,2022-08-01,3e-04,2.6504,0.9698,0.0127,6.3162,0.0102,3e-04,4e-04,1.2449,2.2058,0.001,2e-04,-1e-04,0.5458,0.0188,1e-04,-3e-04,2e-04,-0.0012,1e-04,2e-04,0.0146,0,0,0,-4e-04,0.0208,1e-04,0,"FCR",0.1,"T",50
"6",1,2022-08-18,5e-04,2.6077,0.9871,0.0185,4.5294,0.0141,1e-04,0.001,1.183,2.2222,8e-04,2e-04,-1e-04,0.2881,0.0156,1e-04,-3e-04,7e-04,0.0035,2e-04,2e-04,0.0152,5e-04,0,0,6e-04,0.0239,1e-04,0,"FCR",0.1,"T",50
"7",1,2022-08-08,2e-04,2.6443,0.9589,0.0067,5.4897,0.0068,3e-04,3e-04,1.2273,2.1865,8e-04,0,-1e-04,0.3711,0.0117,1e-04,-3e-04,1e-04,-0.0011,1e-04,0,0.0146,0,0,0,-5e-04,0.0207,1e-04,0,"FCR",0.1,"T",50
"8",1,2022-03-17,2e-04,3.0224,1.0585,0.0318,6.5292,0.0091,-1e-04,-0.0013,1.0526,2.2998,7e-04,-5e-04,1e-04,0.3399,0.03,1e-04,0,0.0013,0.0029,1e-04,4e-04,0.0147,0.0011,0,0,-2e-04,0.0153,2e-04,0,"FCR",0.1,"T",50
"9",1,2022-04-12,5e-04,3.002,1.034,0.0448,6.8097,0.0109,0.0021,-1e-04,0.9686,2.4088,0.0011,1e-04,1e-04,0.4325,0.0324,1e-04,1e-04,0.0016,0.0031,-1e-04,9e-04,0.0151,0.0019,0,0,0.0444,0.0151,6e-04,0,"FCR",0.1,"T",50
"10",1,2022-04-19,4e-04,2.8686,0.9901,0.0324,6.5833,0.0143,1e-04,-5e-04,0.9359,2.374,9e-04,1e-04,1e-04,0.3914,0.0247,1e-04,1e-04,0.0015,0.0044,-1e-04,0.0014,0.0149,0.0018,0,0,0.0013,0.0144,4e-04,0,"FCR",0.1,"T",50
