"Date","Volume_L","Reservoir"
2021-01-01,1015775589.22779,"BVR"
2021-01-02,1018626905.96251,"BVR"
2021-01-03,1019481736.6862,"BVR"
2021-01-04,1019156756.41673,"BVR"
2021-01-05,1018725747.20983,"BVR"
2021-01-06,1017919780.1689,"BVR"
2021-01-07,1016908984.97649,"BVR"
2021-01-08,1016734925.18268,"BVR"
2021-01-09,1016456160.49961,"BVR"
2021-01-10,1015040406.22279,"BVR"
2021-01-11,1014486554.76827,"BVR"
2021-01-12,1013929708.44286,"BVR"
2021-01-13,1013102220.36487,"BVR"
2021-01-14,1012055528.7552,"BVR"
2021-01-15,1011881489.97802,"BVR"
2021-01-16,1012075347.44459,"BVR"
2021-01-17,1011092157.60587,"BVR"
2021-01-18,1010330945.49501,"BVR"
2021-01-19,1009385722.21238,"BVR"
2021-01-20,1008609199.48093,"BVR"
2021-01-21,1008080147.65894,"BVR"
2021-01-22,1007138223.98843,"BVR"
2021-01-23,1005957845.54605,"BVR"
2021-01-24,1003964427.96413,"BVR"
2021-01-25,1004692875.13674,"BVR"
2021-01-26,1019540036.83931,"BVR"
2021-01-27,1022689821.35498,"BVR"
2021-01-28,1022112073.98334,"BVR"
2021-01-29,1023437866.54229,"BVR"
2021-01-30,1021286288.25301,"BVR"
2021-01-31,1021739501.53769,"BVR"
2021-02-01,1020983564.60292,"BVR"
2021-02-02,1019389042.80542,"BVR"
2021-02-03,1017225207.16733,"BVR"
2021-02-04,1017446306.84543,"BVR"
2021-02-05,1016445189.81471,"BVR"
2021-02-06,1015557657.20268,"BVR"
2021-02-07,1016799194.06091,"BVR"
2021-02-08,1016251122.18176,"BVR"
2021-02-09,1015508184.03743,"BVR"
2021-02-10,1015145520.93648,"BVR"
2021-02-11,1016190941.03957,"BVR"
2021-02-12,1020970765.47053,"BVR"
2021-02-13,1023732404.21198,"BVR"
2021-02-14,1026207533.63936,"BVR"
2021-02-15,1029292797.07715,"BVR"
2021-02-16,1038624163.21986,"BVR"
2021-02-17,1041745070.87527,"BVR"
2021-02-18,1045324645.63285,"BVR"
2021-02-19,1045917146.68419,"BVR"
2021-02-20,1043991581.31724,"BVR"
2021-02-21,1040902040.99367,"BVR"
2021-02-22,1039864943.47912,"BVR"
2021-02-23,1038865224.05481,"BVR"
2021-02-24,1036592716.03194,"BVR"
2021-02-25,1034941197.11288,"BVR"
2021-02-26,1033953761.91333,"BVR"
2021-02-27,1035622976.84137,"BVR"
2021-02-28,1038215442.15729,"BVR"
2021-03-01,1040803504.48759,"BVR"
2021-03-02,1040036102.97693,"BVR"
2021-03-03,1038485327.31091,"BVR"
2021-03-04,1036588144.91323,"BVR"
2021-03-05,1034106636.9363,"BVR"
2021-03-06,1031818471.51831,"BVR"
2021-03-07,1029811235.49708,"BVR"
2021-03-08,1026688726.04123,"BVR"
2021-03-09,1023891132.36856,"BVR"
2021-03-10,1022522739.0849,"BVR"
2021-03-11,1021408037.63548,"BVR"
2021-03-12,1020974622.02355,"BVR"
2021-03-13,1019845051.30292,"BVR"
2021-03-14,1018852624.65191,"BVR"
2021-03-15,1017605518.38468,"BVR"
2021-03-16,1017607315.30721,"BVR"
2021-03-17,1017066515.18472,"BVR"
2021-03-18,1019975491.0651,"BVR"
2021-03-19,1025376808.99916,"BVR"
2021-03-20,1024748621.69693,"BVR"
2021-03-21,1023314803.61996,"BVR"
2021-03-22,1021870056.89137,"BVR"
2021-03-23,1021378982.13379,"BVR"
2021-03-24,1021817630.88851,"BVR"
2021-03-25,1021629689.60547,"BVR"
2021-03-26,1024144288.27853,"BVR"
2021-03-27,1024001522.25832,"BVR"
2021-03-28,1027825026.62191,"BVR"
2021-03-29,1028745292.64722,"BVR"
2021-03-30,1027499878.21934,"BVR"
2021-03-31,1029312016.79237,"BVR"
2021-04-01,1030343912.68907,"BVR"
2021-04-02,1027999443.69856,"BVR"
2021-04-03,1025821636.64538,"BVR"
2021-04-04,1024591637.92128,"BVR"
2021-04-05,1018233419.37122,"BVR"
2021-04-06,1011402310.63741,"BVR"
2021-04-07,1010484472.03375,"BVR"
2021-04-08,1009640769.61975,"BVR"
2021-04-09,1009740462.04089,"BVR"
2021-04-10,1010008098.41427,"BVR"
2021-04-11,1013879342.0705,"BVR"
2021-04-12,1012626887.06897,"BVR"
2021-04-13,1011098914.4549,"BVR"
2021-04-14,1010161099.53707,"BVR"
2021-04-15,1010547280.25565,"BVR"
2021-04-16,1008708345.46949,"BVR"
2021-04-17,1007384223.73325,"BVR"
2021-04-18,1006329451.22636,"BVR"
2021-04-19,1007201095.26024,"BVR"
2021-04-20,1006325878.39794,"BVR"
2021-04-21,1005024633.27188,"BVR"
2021-04-22,1003569798.55717,"BVR"
2021-04-23,1002160244.18848,"BVR"
2021-04-24,1003037142.38181,"BVR"
2021-04-25,1006304651.59382,"BVR"
2021-04-26,1005089522.14092,"BVR"
2021-04-27,1003877240.44244,"BVR"
2021-04-28,1002928360.26483,"BVR"
2021-04-29,1001936679.70446,"BVR"
2021-04-30,1000065568.44591,"BVR"
2021-05-01,997778233.18511,"BVR"
2021-05-02,996448394.923396,"BVR"
2021-05-03,997768763.554735,"BVR"
2021-05-04,1001452845.17858,"BVR"
2021-05-05,1005772520.8344,"BVR"
2021-05-06,1004155122.42672,"BVR"
2021-05-07,1003134964.3222,"BVR"
2021-05-08,1001809350.40467,"BVR"
2021-05-09,1000076612.68904,"BVR"
2021-05-10,998605763.29637,"BVR"
2021-05-11,996943368.267277,"BVR"
2021-05-12,995254607.866132,"BVR"
2021-05-13,993812740.416912,"BVR"
2021-05-14,992090729.076849,"BVR"
2021-05-15,990590721.717306,"BVR"
2021-05-16,990351573.396391,"BVR"
2021-05-17,990279885.645039,"BVR"
2021-05-18,989667376.754562,"BVR"
2021-05-19,988761360.009639,"BVR"
2021-05-20,987551768.44079,"BVR"
2021-05-21,986143979.469675,"BVR"
2021-05-22,985435834.369133,"BVR"
2021-05-23,984871716.287067,"BVR"
2021-05-24,983937221.997998,"BVR"
2021-05-25,983202543.392301,"BVR"
2021-05-26,982521026.371784,"BVR"
2021-05-27,981180900.465893,"BVR"
2021-05-28,981793062.581847,"BVR"
2021-05-29,984750040.462835,"BVR"
2021-05-30,986906515.628704,"BVR"
2021-05-31,985978673.587514,"BVR"
2021-06-01,985097361.418229,"BVR"
2021-06-02,983961737.905928,"BVR"
2021-06-03,985866759.509482,"BVR"
2021-06-04,989111181.944925,"BVR"
2021-06-05,987352457.156723,"BVR"
2021-06-06,985740386.466714,"BVR"
2021-06-07,985166695.306154,"BVR"
2021-06-08,987519423.835298,"BVR"
2021-06-09,992221139.932067,"BVR"
2021-06-10,995486232.230734,"BVR"
2021-06-11,999606586.094166,"BVR"
2021-06-12,1010316622.65639,"BVR"
2021-06-13,1009984402.15522,"BVR"
2021-06-14,1012765481.28659,"BVR"
2021-06-15,1010368260.53533,"BVR"
2021-06-16,1007211635.10407,"BVR"
2021-06-17,1003840671.49276,"BVR"
2021-06-18,1001097664.00067,"BVR"
2021-06-19,998623375.238801,"BVR"
2021-06-20,996584435.619527,"BVR"
2021-06-21,994701239.794273,"BVR"
2021-06-22,994748012.321577,"BVR"
2021-06-23,993846146.362609,"BVR"
2021-06-24,991453202.497138,"BVR"
2021-06-25,989385974.483458,"BVR"
2021-06-26,987417104.334431,"BVR"
2021-06-27,987168834.792734,"BVR"
2021-06-28,991108607.106219,"BVR"
2021-06-29,990448008.23869,"BVR"
2021-06-30,988458426.193164,"BVR"
2021-07-01,987941732.154172,"BVR"
2021-07-02,990306272.033729,"BVR"
2021-07-03,987836049.991265,"BVR"
2021-07-04,984977503.533162,"BVR"
2021-07-05,982348259.101191,"BVR"
2021-07-06,979849843.239189,"BVR"
2021-07-07,977604373.120784,"BVR"
2021-07-08,976761269.680954,"BVR"
2021-07-09,975699624.73352,"BVR"
2021-07-10,973413750.129047,"BVR"
2021-07-11,971742874.886624,"BVR"
2021-07-12,971041127.616957,"BVR"
2021-07-13,971092977.397596,"BVR"
2021-07-14,969999986.134963,"BVR"
2021-07-15,971001576.040038,"BVR"
