Sample ID	Type	WL750.0	WL665.0	WL664.0	WL663.0	WL647.0	WL630.0	WL490.0	WL384.0	Comments
after_01	Unknown	0	0.064	0.063	0.061	0.018	0.01	0.059	0.152	
after_02	Unknown	-0.001	0.005	0.005	0.005	0	-0.001	0.004	0.018	
after_03	Unknown	-0.001	0.014	0.014	0.013	0.004	0.001	0.012	0.045	
after_04	Unknown	-0.001	-0.002	-0.002	-0.001	-0.001	-0.001	-0.001	0	
after_05	Unknown	-0.003	0.009	0.009	0.008	0	-0.002	0.006	0.028	
after_06	Unknown	-0.003	0.023	0.022	0.022	0.006	0.002	0.017	0.062	
after_07	Unknown	0	0.021	0.021	0.021	0.007	0.003	0.017	0.058	
after_08	Unknown	-0.003	0.049	0.048	0.047	0.012	0.004	0.041	0.122	
after_09	Unknown	-0.002	0.013	0.013	0.013	0.003	0	0.009	0.038	
after_10	Unknown	-0.005	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	-0.006	
after_12	Unknown	0.008	0.033	0.033	0.032	0.017	0.013	0.031	0.076	
after_13	Unknown	0.006	0.017	0.017	0.017	0.01	0.008	0.017	0.039	
after_14	Unknown	0.004	0.024	0.024	0.024	0.011	0.008	0.023	0.062	
after_15	Unknown	0.001	0	0	0.001	0	0	0.001	0.003	
after_16	Unknown	0.002	0.027	0.027	0.026	0.01	0.006	0.025	0.068	
after_17	Unknown	0.003	0.014	0.014	0.014	0.007	0.005	0.015	0.037	
before_01	Unknown	0	0.099	0.098	0.096	0.03	0.022	0.065	0.144	
before_02	Unknown	-0.002	0.01	0.01	0.01	0.002	0	0.005	0.017	
before_03	Unknown	-0.001	0.023	0.023	0.023	0.008	0.005	0.015	0.045	
before_04	Unknown	0	0	0	0	0	0	0.001	0.003	
before_05	Unknown	-0.003	0.016	0.016	0.016	0.004	0.002	0.01	0.029	
before_06	Unknown	-0.002	0.037	0.037	0.037	0.012	0.007	0.02	0.06	
before_07	Unknown	0	0.035	0.035	0.034	0.013	0.009	0.021	0.057	
before_08	Unknown	-0.003	0.079	0.078	0.076	0.022	0.015	0.047	0.115	
before_09	Unknown	0	0.024	0.025	0.024	0.008	0.006	0.013	0.04	
before_10	Unknown	-0.005	-0.005	-0.005	-0.005	-0.005	-0.005	-0.005	-0.004	
before_12	Unknown	0.008	0.046	0.046	0.045	0.022	0.018	0.035	0.075	
before_13	Unknown	0.006	0.024	0.024	0.024	0.013	0.011	0.02	0.039	
before_14	Unknown	0.004	0.036	0.036	0.036	0.016	0.013	0.026	0.062	
before_15	Unknown	0.001	0.001	0.002	0.001	0.001	0.002	0.003	0.004	
before_16	Unknown	0.002	0.041	0.041	0.041	0.015	0.012	0.029	0.067	
before_17	Unknown	0.003	0.022	0.023	0.022	0.01	0.008	0.019	0.037	
EtOH_blank	Unknown	0	0	0	0	0	0	0	0	
