"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"b1","Unknown",0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.002,""
"a1","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,""
"b2","Unknown",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,""
"a2","Unknown",0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,""
"b3","Unknown",0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.007,""
"a3","Unknown",0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.006,""
"b88","Unknown",-0.000,0.002,0.002,0.002,-0.000,-0.000,0.001,0.004,""
"a88","Unknown",0.000,0.001,0.001,0.001,-0.001,-0.001,0.001,0.004,""
"b89","Unknown",0.000,0.005,0.005,0.005,0.001,0.001,0.003,0.007,""
"a89","Unknown",0.001,0.003,0.003,0.003,0.001,-0.000,0.003,0.008,""
"b90","Unknown",-0.001,0.003,0.003,0.003,0.000,-0.000,0.001,0.005,""
"a90","Unknown",-0.000,0.001,0.001,0.001,-0.001,-0.001,0.001,0.005,""
"b91","Unknown",-0.001,0.003,0.003,0.003,0.000,-0.000,0.002,0.005,""
"a91","Unknown",-0.000,0.002,0.002,0.002,-0.001,-0.001,0.001,0.005,""
"b92","Unknown",-0.000,0.004,0.004,0.004,0.000,-0.000,0.002,0.005,""
"a92","Unknown",-0.000,0.002,0.002,0.002,-0.000,-0.001,0.002,0.006,""
"b93","Unknown",0.000,0.003,0.003,0.003,0.001,0.000,0.002,0.005,""
"a93","Unknown",0.001,0.002,0.002,0.002,0.000,-0.000,0.002,0.006,""
"b94","Unknown",-0.001,0.003,0.003,0.003,-0.000,-0.001,0.001,0.004,""
"a94","Unknown",-0.000,0.001,0.001,0.001,-0.001,-0.002,0.001,0.005,""
"b95","Unknown",-0.000,0.004,0.004,0.004,0.001,-0.000,0.002,0.007,""
"a95","Unknown",-0.000,0.002,0.002,0.002,-0.000,-0.001,0.002,0.007,""
"b96","Unknown",0.000,0.006,0.006,0.006,0.002,0.001,0.004,0.009,""
"a96","Unknown",0.000,0.003,0.003,0.003,0.001,-0.000,0.003,0.009,""
"b97","Unknown",0.004,0.009,0.009,0.009,0.006,0.006,0.010,0.018,""
"a97","Unknown",0.004,0.007,0.007,0.007,0.005,0.004,0.009,0.017,""
"b98","Unknown",0.003,0.007,0.007,0.007,0.004,0.004,0.009,0.015,""
"a98","Unknown",0.003,0.005,0.005,0.005,0.003,0.003,0.007,0.013,""
"b99","Unknown",0.003,0.008,0.008,0.007,0.004,0.004,0.008,0.015,""
"a99","Unknown",0.003,0.005,0.005,0.005,0.003,0.003,0.007,0.014,""
"b100","Unknown",0.004,0.008,0.008,0.008,0.006,0.006,0.010,0.018,""
"a100","Unknown",0.004,0.006,0.006,0.006,0.005,0.005,0.009,0.017,""
"b101","Unknown",0.004,0.009,0.009,0.009,0.007,0.006,0.012,0.020,""
"a101","Unknown",0.004,0.007,0.007,0.007,0.005,0.005,0.011,0.018,""
"b102","Unknown",0.000,0.005,0.005,0.005,0.002,0.001,0.005,0.009,""
"a102","Unknown",0.001,0.003,0.003,0.003,0.001,0.000,0.004,0.009,""
"b103","Unknown",-0.001,0.003,0.003,0.003,0.000,-0.000,0.004,0.011,""
"a103","Unknown",0.003,0.005,0.005,0.005,0.003,0.003,0.007,0.013,""
"b104","Unknown",0.001,0.005,0.005,0.005,0.002,0.002,0.004,0.009,""
"a104","Unknown",0.001,0.003,0.003,0.003,0.001,0.000,0.003,0.009,""
"b105","Unknown",-0.003,0.000,0.000,0.000,-0.002,-0.003,-0.000,0.006,""
"a105","Unknown",0.002,0.003,0.003,0.003,0.001,0.001,0.004,0.009,""
"b106","",,,,,,,,,""
"a106","",,,,,,,,,""
