"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"machine_blank","Unknown",0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,""
"before_1","Unknown",-0.003,-0.003,-0.004,-0.003,-0.004,-0.004,-0.005,-0.005,""
"acid_1","Unknown",-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.006,-0.006,""
"before_2","Unknown",-0.002,0.097,0.098,0.095,0.028,0.020,0.061,0.106,""
"acid_2","Unknown",-0.002,0.057,0.056,0.054,0.014,0.005,0.054,0.125,""
"before_3","Unknown",-0.002,0.214,0.212,0.207,0.051,0.039,0.235,0.222,""
"acid_3","Unknown",-0.002,0.121,0.119,0.114,0.024,0.011,0.224,0.259,""
"before_4","Unknown",-0.002,0.113,0.113,0.110,0.032,0.024,0.082,0.135,""
"acid_4","Unknown",-0.002,0.067,0.066,0.064,0.016,0.007,0.071,0.156,""
"before_5","Unknown",-0.003,0.057,0.056,0.055,0.015,0.012,0.043,0.067,""
"acid_5","Unknown",-0.002,0.033,0.033,0.032,0.007,0.003,0.039,0.076,""
"before_6","Unknown",-0.001,0.220,0.218,0.213,0.054,0.042,0.257,0.230,""
"acid_6","Unknown",-0.002,0.125,0.122,0.117,0.025,0.012,0.243,0.266,""
"before_7","Unknown",-0.003,0.251,0.249,0.243,0.060,0.047,0.287,0.270,""
"acid_7","Unknown",-0.003,0.143,0.140,0.135,0.029,0.014,0.274,0.314,""
"before_8","Unknown",-0.004,0.084,0.083,0.081,0.022,0.016,0.058,0.094,""
"acid_8","Unknown",-0.003,0.047,0.046,0.045,0.010,0.003,0.051,0.111,""
"before_9","Unknown",-0.003,0.094,0.094,0.092,0.026,0.018,0.059,0.102,""
"acid_9","Unknown",-0.003,0.055,0.054,0.052,0.013,0.004,0.052,0.120,""
"before_10","Unknown",0.006,0.056,0.055,0.055,0.025,0.020,0.053,0.125,""
"acid_10","Unknown",0.006,0.038,0.037,0.037,0.018,0.013,0.048,0.127,""
"before_11","Unknown",-0.002,0.054,0.053,0.052,0.013,0.009,0.044,0.066,""
"acid_11","Unknown",-0.002,0.032,0.031,0.030,0.006,0.001,0.039,0.073,""
"before_12","Unknown",-0.002,0.006,0.006,0.006,0.000,-0.001,0.005,0.014,""
"acid_12","Unknown",-0.002,0.003,0.003,0.003,-0.001,-0.002,0.003,0.013,""
"before_13","Unknown",0.013,0.056,0.056,0.054,0.033,0.027,0.063,0.167,""
"acid_13","Unknown",0.013,0.043,0.043,0.043,0.028,0.023,0.058,0.161,""
"before_14","Unknown",-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,""
"acid_14","Unknown",-0.004,-0.052,-0.052,-0.052,-0.051,-0.055,-0.060,-0.055,""
"acid_14_again","Unknown",-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.006,-0.006,""
"before_15","Unknown",-0.002,0.083,0.083,0.081,0.023,0.017,0.063,0.097,""
"acid_15","Unknown",-0.002,0.048,0.048,0.046,0.011,0.004,0.056,0.113,""
"before_16","Unknown",-0.001,0.006,0.006,0.006,0.002,0.000,0.006,0.019,""
"acid_16","Unknown",-0.001,0.004,0.004,0.004,0.000,-0.001,0.004,0.017,""
"before_17","Unknown",-0.002,0.005,0.005,0.005,0.000,-0.001,0.005,0.015,""
"acid_17","Unknown",-0.001,0.003,0.003,0.003,0.000,-0.001,0.004,0.013,""
"before_18","Unknown",0.003,0.061,0.060,0.059,0.026,0.016,0.041,0.137,""
"acid_18","Unknown",0.004,0.047,0.046,0.046,0.020,0.012,0.037,0.134,""
"before_19","Unknown",-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004,""
"acid_19","Unknown",-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004,""
"before_20","Unknown",-0.002,0.212,0.210,0.205,0.051,0.039,0.244,0.217,""
"acid_20","Unknown",-0.001,0.121,0.118,0.114,0.025,0.012,0.233,0.256,""
"before_21","Unknown",-0.002,0.251,0.249,0.243,0.061,0.047,0.301,0.268,""
"acid_21","Unknown",-0.002,0.144,0.140,0.136,0.030,0.014,0.286,0.311,""
"before_22","Unknown",0.007,0.018,0.018,0.018,0.014,0.014,0.037,0.085,""
"acid_22","Unknown",0.007,0.015,0.014,0.014,0.012,0.012,0.033,0.079,""
"before_chlorella","Unknown",-0.003,0.013,0.013,0.012,0.002,-0.001,0.001,0.016,""
"acid_chlorella","Unknown",-0.003,0.008,0.008,0.008,0.000,-0.002,0.000,0.016,""
