"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"b1","Unknown",0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.008,""
"a1","Unknown",0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.007,""
"b2","Unknown",-0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.007,""
"a2","Unknown",0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.006,""
"b3","Unknown",-0.001,0.077,0.076,0.074,0.023,0.015,0.056,0.099,""
"a3","Unknown",-0.001,0.048,0.047,0.046,0.013,0.005,0.051,0.108,""
"b4","Unknown",-0.000,0.024,0.023,0.023,0.007,0.004,0.014,0.050,""
"a4","Unknown",0.000,0.017,0.017,0.017,0.006,0.002,0.013,0.045,""
"b5","Unknown",-0.001,0.022,0.022,0.022,0.006,0.005,0.017,0.033,""
"a5","Unknown",-0.000,0.014,0.013,0.013,0.003,0.002,0.016,0.036,""
"b6","Unknown",-0.002,0.039,0.039,0.039,0.012,0.007,0.024,0.050,""
"a6","Unknown",-0.001,0.023,0.023,0.022,0.006,0.002,0.022,0.056,""
"b7","Unknown",-0.002,0.101,0.100,0.098,0.028,0.021,0.065,0.129,""
"a7","Unknown",-0.001,0.061,0.060,0.058,0.015,0.007,0.060,0.143,""
"b8","Unknown",-0.000,0.003,0.003,0.003,0.000,-0.000,0.003,0.008,""
"a8","Unknown",-0.000,0.001,0.001,0.001,-0.001,-0.001,0.001,0.006,""
"b9","Unknown",-0.002,0.082,0.082,0.080,0.024,0.017,0.058,0.102,""
"a9","Unknown",-0.001,0.050,0.049,0.047,0.013,0.005,0.052,0.113,""
"b10","Unknown",-0.001,0.051,0.051,0.050,0.014,0.010,0.028,0.065,""
"a10","Unknown",-0.001,0.031,0.031,0.030,0.008,0.003,0.026,0.071,""
"b11","Unknown",-0.000,0.012,0.012,0.012,0.004,0.002,0.009,0.028,""
"a11","Unknown",0.000,0.008,0.008,0.008,0.002,0.001,0.008,0.026,""
"b12","Unknown",-0.001,0.090,0.090,0.088,0.025,0.020,0.059,0.120,""
"a12","Unknown",-0.001,0.054,0.053,0.052,0.014,0.006,0.054,0.132,""
"b13","Unknown",-0.001,0.022,0.022,0.022,0.006,0.004,0.017,0.035,""
"a13","Unknown",-0.001,0.013,0.013,0.012,0.003,0.001,0.015,0.037,""
"b14","Unknown",-0.000,0.001,0.001,0.001,0.000,0.000,0.004,0.010,""
"a14","Unknown",0.000,0.001,0.001,0.001,-0.000,-0.000,0.003,0.009,""
"b15","Unknown",-0.001,0.037,0.037,0.036,0.010,0.007,0.019,0.051,""
"a15","Unknown",-0.001,0.022,0.022,0.021,0.005,0.002,0.018,0.056,""
"b16","Unknown",-0.001,0.042,0.042,0.041,0.012,0.009,0.024,0.055,""
"a16","Unknown",-0.001,0.024,0.024,0.023,0.005,0.002,0.022,0.061,""
"b17","Unknown",-0.001,0.054,0.054,0.053,0.015,0.011,0.024,0.064,""
"a17","Unknown",-0.001,0.031,0.031,0.030,0.008,0.004,0.023,0.073,""
"b18","Unknown",-0.001,0.096,0.095,0.094,0.030,0.020,0.036,0.103,""
"a18","Unknown",-0.001,0.057,0.056,0.054,0.016,0.006,0.034,0.119,""
"b19","Unknown",-0.001,0.100,0.099,0.097,0.028,0.022,0.056,0.123,""
"a19","Unknown",-0.001,0.060,0.058,0.057,0.015,0.007,0.052,0.139,""
"b20","Unknown",-0.001,0.173,0.172,0.169,0.049,0.035,0.044,0.176,""
"a20","Unknown",-0.000,0.099,0.097,0.094,0.025,0.012,0.045,0.204,""
"b21","Unknown",-0.001,0.101,0.100,0.098,0.028,0.023,0.064,0.135,""
"a21","Unknown",-0.001,0.062,0.060,0.058,0.015,0.007,0.058,0.149,""
"b22","Unknown",-0.001,0.001,0.001,0.001,-0.000,-0.001,0.001,0.006,""
"a22","Unknown",-0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.005,""
"b23","Unknown",-0.001,0.002,0.002,0.002,-0.000,-0.001,0.002,0.006,""
"a23","Unknown",-0.000,0.001,0.001,0.001,-0.001,-0.001,0.001,0.006,""
"b24","Unknown",-0.001,0.013,0.013,0.012,0.003,0.001,0.010,0.046,""
"a24","Unknown",-0.001,0.008,0.007,0.007,0.001,-0.001,0.009,0.047,""
"b25","Unknown",-0.001,0.020,0.020,0.019,0.005,0.003,0.012,0.029,""
"a25","Unknown",-0.001,0.012,0.011,0.011,0.002,-0.000,0.011,0.031,""
"b26","Unknown",-0.000,0.095,0.095,0.093,0.027,0.022,0.062,0.126,""
"a26","Unknown",0.000,0.059,0.058,0.056,0.016,0.008,0.058,0.141,""
"b27","Unknown",-0.001,0.152,0.151,0.148,0.044,0.035,0.085,0.178,""
"a27","Unknown",-0.000,0.093,0.091,0.088,0.024,0.012,0.081,0.208,""
"b28","Unknown",0.002,0.039,0.038,0.038,0.014,0.010,0.027,0.101,""
"a28","Unknown",0.002,0.029,0.028,0.028,0.011,0.006,0.025,0.098,""
"b29","Unknown",-0.000,0.107,0.106,0.104,0.031,0.023,0.059,0.118,""
"a29","Unknown",0.000,0.066,0.065,0.063,0.018,0.009,0.056,0.138,""
"b30","Unknown",-0.005,0.021,0.021,0.020,0.003,0.001,0.010,0.034,""
"a30","Unknown",0.000,0.017,0.016,0.016,0.005,0.002,0.014,0.042,""
"b31","Unknown",0.001,0.002,0.002,0.002,0.002,0.002,0.005,0.010,""
"a31","Unknown",0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.009,""
"b32","Unknown",0.002,0.003,0.003,0.003,0.003,0.003,0.007,0.014,""
"a32","Unknown",0.002,0.002,0.002,0.002,0.002,0.002,0.006,0.012,""
"b33","Unknown",-0.001,0.011,0.011,0.011,0.003,0.001,0.005,0.017,""
"a33","Unknown",-0.000,0.007,0.007,0.006,0.001,-0.000,0.005,0.018,""
"b34","Unknown",0.001,0.010,0.010,0.010,0.004,0.003,0.007,0.016,""
"a34","Unknown",0.000,0.005,0.005,0.005,0.001,-0.000,0.005,0.015,""
"b35","Unknown",-0.001,0.089,0.089,0.087,0.027,0.022,0.040,0.110,""
"a35","Unknown",-0.001,0.052,0.052,0.050,0.014,0.007,0.038,0.126,""
"b36","Unknown",-0.000,0.013,0.013,0.012,0.003,0.002,0.007,0.017,""
"a36","Unknown",0.001,0.008,0.008,0.008,0.002,0.001,0.007,0.019,""
"b37","Unknown",-0.000,0.097,0.096,0.094,0.029,0.024,0.047,0.119,""
"a37","Unknown",-0.000,0.057,0.056,0.054,0.015,0.007,0.044,0.136,""
"b38","Unknown",-0.001,0.019,0.019,0.018,0.005,0.003,0.011,0.025,""
"a38","Unknown",-0.001,0.011,0.010,0.010,0.002,-0.000,0.010,0.028,""
"b39","Unknown",-0.001,0.021,0.021,0.020,0.005,0.003,0.011,0.028,""
"a39","Unknown",-0.001,0.012,0.012,0.011,0.002,0.000,0.010,0.030,""
"b40","Unknown",-0.001,0.024,0.024,0.024,0.006,0.004,0.018,0.035,""
"a40","Unknown",-0.001,0.015,0.014,0.014,0.003,0.001,0.016,0.037,""
"b41","Unknown",-0.001,0.008,0.008,0.008,0.001,0.001,0.006,0.014,""
"a41","Unknown",-0.001,0.004,0.004,0.004,0.000,-0.000,0.005,0.014,""
"b42","Unknown",-0.002,0.012,0.011,0.011,0.002,0.001,0.006,0.019,""
"a42","Unknown",-0.001,0.006,0.006,0.006,0.000,-0.001,0.005,0.019,""
"b43","Unknown",-0.002,0.010,0.010,0.010,0.002,0.000,0.004,0.014,""
"a43","Unknown",-0.001,0.005,0.005,0.005,-0.000,-0.002,0.003,0.015,""
"b44","Unknown",-0.002,0.012,0.012,0.012,0.002,0.001,0.006,0.015,""
"a44","Unknown",-0.001,0.006,0.006,0.006,0.000,-0.001,0.005,0.017,""
"b45","Unknown",-0.001,0.016,0.016,0.016,0.004,0.003,0.008,0.023,""
"a45","Unknown",-0.001,0.009,0.009,0.009,0.002,-0.000,0.004,0.024,""
"b46","Unknown",-0.001,0.017,0.017,0.017,0.004,0.003,0.010,0.027,""
"a46","Unknown",-0.001,0.010,0.010,0.009,0.002,0.000,0.010,0.028,""
"b47","Unknown",-0.001,0.025,0.025,0.024,0.007,0.005,0.014,0.038,""
"a47","Unknown",-0.000,0.015,0.015,0.014,0.004,0.001,0.013,0.040,""
"b48","Unknown",-0.001,0.010,0.010,0.010,0.002,0.001,0.005,0.016,""
"a48","Unknown",-0.000,0.006,0.006,0.006,0.001,-0.000,0.004,0.017,""
"b49","Unknown",-0.000,0.018,0.018,0.017,0.006,0.004,0.009,0.025,""
"a49","Unknown",-0.000,0.010,0.010,0.010,0.003,0.001,0.007,0.027,""
"b50","Unknown",-0.001,0.020,0.020,0.020,0.006,0.004,0.014,0.028,""
"a50","Unknown",-0.000,0.012,0.012,0.011,0.002,0.000,0.012,0.030,""
"b51","Unknown",-0.000,0.025,0.025,0.024,0.007,0.005,0.015,0.035,""
"a51","Unknown",0.000,0.014,0.014,0.014,0.004,0.001,0.013,0.037,""
"b52","Unknown",-0.001,0.013,0.013,0.013,0.003,0.002,0.007,0.019,""
"a52","Unknown",-0.001,0.007,0.007,0.007,0.001,-0.000,0.005,0.020,""
"b53","Unknown",-0.001,0.013,0.013,0.013,0.003,0.001,0.006,0.017,""
"a53","Unknown",-0.001,0.007,0.007,0.007,0.001,-0.001,0.005,0.019,""
"b54","Unknown",-0.000,0.029,0.029,0.028,0.009,0.006,0.016,0.047,""
"a54","Unknown",-0.000,0.019,0.019,0.018,0.005,0.002,0.014,0.049,""
"b55","Unknown",-0.001,0.016,0.016,0.016,0.004,0.003,0.010,0.022,""
"a55","Unknown",-0.000,0.010,0.009,0.009,0.002,0.000,0.009,0.024,""
"b56","Unknown",-0.000,0.031,0.031,0.030,0.010,0.007,0.020,0.048,""
"a56","Unknown",0.000,0.020,0.020,0.019,0.006,0.003,0.019,0.052,""
"b57","Unknown",-0.002,0.014,0.014,0.014,0.007,0.005,0.011,0.023,""
"a57","Unknown",0.003,0.012,0.012,0.012,0.005,0.003,0.010,0.026,""
"b58","Unknown",-0.001,0.014,0.014,0.013,0.004,0.003,0.008,0.025,""
"a58","Unknown",-0.000,0.009,0.008,0.008,0.002,0.001,0.008,0.026,""
"b59","Unknown",-0.000,0.120,0.119,0.117,0.036,0.030,0.062,0.147,""
"a59","Unknown",-0.000,0.072,0.071,0.069,0.019,0.010,0.060,0.172,""
"b60","Unknown",-0.001,0.020,0.020,0.020,0.005,0.004,0.012,0.031,""
"a60","Unknown",-0.000,0.012,0.012,0.011,0.003,0.000,0.011,0.033,""
"b61","Unknown",-0.001,0.032,0.032,0.031,0.010,0.007,0.019,0.046,""
"a61","Unknown",-0.001,0.020,0.019,0.019,0.005,0.002,0.017,0.051,""
"b62","Unknown",0.001,0.030,0.030,0.030,0.011,0.008,0.021,0.047,""
"a62","Unknown",0.002,0.020,0.019,0.019,0.007,0.004,0.019,0.050,""
"b63","Unknown",-0.000,0.017,0.016,0.016,0.005,0.003,0.010,0.022,""
"a63","Unknown",0.000,0.010,0.010,0.010,0.003,0.001,0.009,0.024,""
"b64","Unknown",-0.001,0.098,0.098,0.096,0.029,0.024,0.052,0.120,""
"a64","Unknown",0.000,0.054,0.053,0.052,0.014,0.008,0.046,0.130,""
"a64a","Unknown",0.000,0.054,0.053,0.052,0.014,0.008,0.046,0.130,""
"b65","Unknown",-0.001,0.023,0.023,0.023,0.007,0.005,0.018,0.035,""
"a65","Unknown",-0.001,0.014,0.014,0.014,0.003,0.002,0.017,0.038,""
"b66","Unknown",0.000,0.031,0.031,0.030,0.011,0.011,0.032,0.049,""
"a66","Unknown",0.000,0.019,0.019,0.019,0.006,0.006,0.031,0.052,""
"b67","Unknown",0.000,0.105,0.105,0.103,0.032,0.027,0.052,0.129,""
"a67","Unknown",0.001,0.064,0.063,0.061,0.018,0.010,0.050,0.150,""
"b68","Unknown",-0.001,0.027,0.027,0.027,0.008,0.006,0.017,0.053,""
"a68","Unknown",-0.001,0.017,0.017,0.016,0.004,0.001,0.016,0.056,""
"b69","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.000,""
"a69","Unknown",-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,""
"b70","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,""
"a70","Unknown",-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.002,""
"b71","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.000,0.003,""
