"Sample ID","Type","WL750.0","WL664.0","WL665.0","Comments"
"1b","Unknown",0.000,-0.000,-0.000,""
"1a","Unknown",0.001,-0.000,-0.000,""
"2a","Unknown",0.002,0.050,0.050,"this is actually before acidification"
"2after","Unknown",0.003,0.032,0.032,""
"3b","Unknown",0.000,0.022,0.023,""
"3a","Unknown",0.001,0.014,0.014,""
"4b","Unknown",0.000,0.162,0.163,""
"4a","Unknown",0.001,0.094,0.096,""
"5b","Unknown",0.011,0.139,0.139,"going to centrifuge again and then run again"
"6b","Unknown",0.000,0.081,0.082,""
"6a","Unknown",0.001,0.050,0.051,""
"7b","Unknown",0.002,0.087,0.088,""
"7a","Unknown",0.002,0.052,0.053,""
"8b","Unknown",0.001,0.025,0.025,""
"8a","Unknown",0.001,0.016,0.016,""
"9b","Unknown",0.002,0.134,0.135,""
"9a","Unknown",0.003,0.080,0.081,""
"10b","Unknown",0.001,0.046,0.046,""
"10a","Unknown",0.002,0.029,0.030,""
"11b","Unknown",0.002,0.003,0.003,""
"11a","Unknown",0.003,0.003,0.003,""
"12b","Unknown",0.002,0.106,0.107,""
"12a","Unknown",0.003,0.065,0.067,""
"13b","Unknown",0.004,0.022,0.022,""
"13a","Unknown",0.004,0.015,0.015,""
"14b","Unknown",0.002,0.050,0.050,""
"14a","Unknown",0.002,0.032,0.032,""
"15b","Unknown",0.002,0.020,0.021,""
"15a","Unknown",0.003,0.013,0.014,""
"16b","Unknown",0.003,0.054,0.054,""
"16a","Unknown",0.004,0.036,0.037,""
"17b","Unknown",0.004,0.028,0.029,""
"17a","Unknown",0.005,0.019,0.020,""
"18b","Unknown",0.001,0.027,0.027,""
"18a","Unknown",0.002,0.017,0.018,""
"19b","Unknown",0.001,0.025,0.025,""
"19a","Unknown",0.002,0.016,0.016,""
"20b","Unknown",0.001,0.063,0.064,""
"20a","Unknown",0.002,0.041,0.041,""
"21b","Unknown",0.001,0.075,0.075,""
"21a","Unknown",0.001,0.044,0.044,""
"22b","Unknown",0.001,0.131,0.133,""
"22a","Unknown",0.001,0.080,0.081,""
"23b","Unknown",0.001,0.021,0.021,""
"23a","Unknown",0.001,0.013,0.013,""
"24b","Unknown",0.001,0.102,0.103,""
"24a","Unknown",0.001,0.062,0.063,""
"25b","Unknown",0.002,0.021,0.021,""
"25a","Unknown",0.003,0.014,0.015,""
"26b","Unknown",0.004,0.167,0.169,""
"26a","Unknown",0.004,0.106,0.108,""
"27b","Unknown",0.002,0.023,0.023,""
"27a","Unknown",0.002,0.015,0.015,""
"28b","Unknown",0.005,0.093,0.094,""
"28a","Unknown",0.006,0.057,0.058,""
"29b","Unknown",0.002,0.023,0.023,""
"29a","Unknown",0.002,0.015,0.016,""
"30b","Unknown",0.002,0.028,0.029,""
"30a","Unknown",0.003,0.018,0.018,""
"31b","Unknown",0.003,0.023,0.024,""
"31a","Unknown",0.003,0.016,0.016,""
"32b","Unknown",0.001,0.032,0.032,""
"32a","Unknown",0.003,0.021,0.021,""
"33b","Unknown",0.001,0.090,0.091,""
"33a","Unknown",0.002,0.053,0.054,""
"34b","Unknown",0.003,0.117,0.118,""
"34a","Unknown",0.003,0.071,0.073,""
"35b","Unknown",0.001,0.051,0.052,""
"35a","Unknown",0.002,0.033,0.033,""
"36b","Unknown",0.002,0.003,0.003,""
"36a","Unknown",0.002,0.002,0.002,""
"5brerun","Unknown",0.001,0.121,0.122,""
"37a","Unknown",0.003,0.072,0.073,""
