Sample ID	Type	WL750.0	WL665.0	WL664.0	WL663.0	WL647.0	WL630.0	WL490.0	WL384.0	Comments
acid_1	Unknown	-0.001	0.143	0.141	0.136	0.032	0.016	0.213	0.304	
acid_2	Unknown	-0.001	0.142	0.139	0.134	0.032	0.016	0.215	0.299	
acid_3	Unknown	-0.001	0.14	0.138	0.133	0.032	0.016	0.213	0.298	
acid_4	Unknown	-0.001	0.112	0.11	0.106	0.025	0.012	0.167	0.239	
acid_5	Unknown	-0.003	0.124	0.121	0.117	0.026	0.012	0.189	0.264	
acid_6	Unknown	-0.002	0.131	0.128	0.124	0.029	0.014	0.179	0.278	
acid_7	Unknown	-0.002	0.144	0.141	0.137	0.032	0.015	0.218	0.306	
acid_8	Unknown	-0.002	0.149	0.146	0.142	0.033	0.016	0.223	0.315	
acid_9	Unknown	-0.002	0.143	0.14	0.136	0.032	0.016	0.203	0.303	
acid_filter2	Unknown	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.004	-0.004	
before_1	Unknown	-0.001	0.246	0.244	0.239	0.063	0.05	0.219	0.258	
before_2	Unknown	-0.002	0.245	0.243	0.239	0.062	0.048	0.222	0.254	
before_3	Unknown	-0.001	0.242	0.24	0.235	0.062	0.048	0.22	0.254	
before_4	Unknown	-0.002	0.193	0.192	0.188	0.049	0.038	0.173	0.204	
before_5	Unknown	-0.003	0.215	0.213	0.209	0.054	0.041	0.194	0.224	
before_6	Unknown	-0.002	0.227	0.225	0.221	0.058	0.044	0.184	0.237	
before_7	Unknown	-0.003	0.248	0.247	0.242	0.063	0.048	0.224	0.259	
before_8	Unknown	-0.001	0.258	0.257	0.252	0.067	0.052	0.23	0.268	
before_9	Unknown	-0.003	0.245	0.244	0.239	0.062	0.048	0.208	0.257	
before_filter2	Unknown	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.004	-0.004	
