"Sample ID","Type","WL750.0","WL664.0","WL665.0","Comments"
"1b","Unknown",0.001,0.001,0.001,""
"1a","Unknown",0.002,0.001,0.001,""
"39b","Unknown",0.002,0.061,0.061,""
"39a","Unknown",0.002,0.041,0.042,""
"40b","Unknown",0.000,0.020,0.020,""
"40a","Unknown",0.001,0.013,0.014,""
"41b","Unknown",0.002,0.058,0.058,""
"41a","Unknown",0.002,0.041,0.042,""
"42b","Unknown",0.001,0.018,0.018,""
"42a","Unknown",0.001,0.012,0.012,""
"43b","Unknown",0.002,0.015,0.015,""
"43a","Unknown",0.002,0.011,0.011,""
"44b","Unknown",0.001,0.034,0.034,""
"44a","Unknown",0.001,0.021,0.022,""
"45b","Unknown",0.002,0.021,0.021,""
"45a","Unknown",0.002,0.014,0.014,""
"46b","Unknown",0.001,0.031,0.031,""
"46a","Unknown",0.002,0.021,0.021,""
"47b","Unknown",0.004,0.024,0.024,""
"47a","Unknown",0.003,0.017,0.017,""
"48b","Unknown",-0.001,0.015,0.015,""
"48a","Unknown",-0.000,0.010,0.010,""
"49b","Unknown",0.001,0.022,0.022,""
"49a","Unknown",0.001,0.015,0.015,""
"50b","Unknown",0.001,0.017,0.017,""
"50a","Unknown",0.001,0.011,0.011,""
"51b","Unknown",-0.000,0.024,0.025,""
"51a","Unknown",0.000,0.016,0.017,""
"52b","Unknown",0.000,0.021,0.022,""
"52a","Unknown",0.002,0.016,0.016,""
"53b","Unknown",0.001,0.022,0.022,""
"53a","Unknown",0.001,0.015,0.015,""
"2b","Unknown",0.001,0.001,0.001,""
"2a","Unknown",0.001,0.001,0.001,""
"54b","Unknown",0.001,0.043,0.043,""
"54a","Unknown",0.001,0.028,0.028,""
"55b","Unknown",0.000,0.084,0.085,""
"55a","Unknown",0.002,0.054,0.055,""
"56b","Unknown",-0.000,0.067,0.068,""
"56a","Unknown",0.000,0.042,0.042,""
"57b","Unknown",-0.000,0.023,0.023,""
"57a","Unknown",0.000,0.015,0.016,""
"58b","Unknown",0.000,0.067,0.068,""
"58a","Unknown",0.001,0.042,0.042,""
"59b","Unknown",0.001,0.016,0.016,""
"59a","Unknown",0.001,0.011,0.011,""
"60b","Unknown",0.001,0.027,0.027,""
"60a","Unknown",0.001,0.017,0.018,""
"61b","Unknown",0.000,0.020,0.020,""
"61a","Unknown",0.000,0.012,0.013,""
"62b","Unknown",0.000,0.030,0.030,""
"62a","Unknown",0.001,0.020,0.020,""
"63b","Unknown",-0.002,0.032,0.032,""
"63a","Unknown",0.001,0.021,0.021,""
"64b","Unknown",-0.000,0.026,0.026,""
"64a","Unknown",0.000,0.017,0.017,""
"65b","Unknown",0.001,0.928,0.928,""
"65a","Unknown",0.001,0.571,0.581,""
"66b","Unknown",-0.000,0.028,0.028,""
"66a","Unknown",0.000,0.019,0.019,""
"67b","Unknown",0.001,0.182,0.183,""
"67a","Unknown",0.001,0.117,0.119,""
"3b","Unknown",-0.001,-0.001,-0.001,""
"3a","Unknown",-0.000,-0.000,-0.000,""
